UPS Next Day Air®,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,,,

Weight Not To Exceed, Zone 102 , Zone 103 , Zone 104 , Zone 105 , Zone 106 , Zone 107 , Zone 108 , Zone 124 , Zone 125 , Zone 126

Letter,$13.40 ,$15.50 ,$16.80 ,$17.60 ,$18.40 ,$19.30 ,$19.80 ,$20.20 ,$20.20 ,$27.00 
42,$51.30 ,$66.10 ,$110.10 ,$120.40 ,$128.30 ,$131.60 ,$135.80 ,$137.00 ,$137.00 ,$148.20 
43,$52.50 ,$67.50 ,$112.10 ,$122.50 ,$130.70 ,$133.90 ,$138.40 ,$139.60 ,$139.60 ,$151.00 
44,$53.30 ,$69.10 ,$114.10 ,$124.60 ,$133.00 ,$136.20 ,$141.00 ,$142.20 ,$142.20 ,$153.80 
45,$54.50 ,$70.70 ,$116.10 ,$126.60 ,$135.20 ,$138.40 ,$143.60 ,$144.80 ,$144.80 ,$156.60 
46,$55.70 ,$72.30 ,$118.10 ,$128.60 ,$137.40 ,$140.70 ,$146.20 ,$147.40 ,$147.40 ,$159.40 
47,$56.40 ,$73.80 ,$120.10 ,$130.60 ,$139.70 ,$143.10 ,$148.80 ,$150.10 ,$150.10 ,$162.20 
48,$57.60 ,$75.40 ,$122.10 ,$132.60 ,$142.20 ,$145.70 ,$151.30 ,$152.80 ,$152.80 ,$165.00 
49,$58.80 ,$77.00 ,$124.10 ,$134.60 ,$144.80 ,$148.30 ,$153.80 ,$155.50 ,$155.50 ,$167.80 
50,$60.00 ,$78.50 ,$126.10 ,$136.60 ,$147.40 ,$150.90 ,$156.40 ,$158.20 ,$158.20 ,$170.60 
51,$61.20 ,$80.10 ,$128.10 ,$138.60 ,$149.90 ,$153.50 ,$159.00 ,$160.90 ,$160.90 ,$173.40 
52,$62.40 ,$81.70 ,$130.10 ,$140.70 ,$152.40 ,$156.10 ,$161.70 ,$163.60 ,$163.60 ,$176.20 
53,$63.60 ,$83.30 ,$132.20 ,$142.90 ,$154.90 ,$158.70 ,$164.40 ,$166.30 ,$166.30 ,$179.00 
54,$64.80 ,$84.90 ,$134.40 ,$145.10 ,$157.40 ,$161.40 ,$167.20 ,$169.00 ,$169.00 ,$181.80 
55,$66.00 ,$86.50 ,$136.70 ,$147.40 ,$160.00 ,$164.00 ,$170.10 ,$171.80 ,$171.80 ,$184.60 
56,$67.20 ,$88.10 ,$139.00 ,$149.70 ,$162.60 ,$166.60 ,$173.10 ,$174.70 ,$174.70 ,$187.40 
57,$68.40 ,$89.80 ,$141.40 ,$152.00 ,$165.30 ,$169.30 ,$176.20 ,$177.70 ,$177.70 ,$190.20 
58,$69.60 ,$91.50 ,$143.80 ,$154.30 ,$168.00 ,$172.00 ,$179.40 ,$180.80 ,$180.80 ,$193.00 
59,$70.80 ,$93.20 ,$146.30 ,$156.60 ,$170.70 ,$174.80 ,$182.60 ,$183.90 ,$183.90 ,$195.90 
60,$72.00 ,$94.90 ,$148.80 ,$158.90 ,$173.50 ,$177.70 ,$185.80 ,$187.00 ,$187.00 ,$198.80 
61,$73.20 ,$96.60 ,$151.30 ,$161.20 ,$176.30 ,$180.70 ,$189.00 ,$190.10 ,$190.10 ,$201.80 
62,$74.40 ,$98.30 ,$153.80 ,$163.60 ,$179.20 ,$183.80 ,$192.20 ,$193.20 ,$193.20 ,$204.80 
63,$75.60 ,$100.00 ,$156.30 ,$166.10 ,$182.10 ,$186.90 ,$195.40 ,$196.30 ,$196.30 ,$207.80 
64,$76.80 ,$101.80 ,$158.70 ,$168.70 ,$185.10 ,$190.10 ,$198.60 ,$199.40 ,$199.40 ,$210.90 
65,$78.00 ,$103.60 ,$161.20 ,$171.40 ,$188.10 ,$193.40 ,$201.80 ,$202.50 ,$202.50 ,$214.10 
66,$79.20 ,$105.40 ,$163.70 ,$174.20 ,$191.10 ,$196.80 ,$205.10 ,$205.80 ,$205.80 ,$217.40 
67,$81.10 ,$107.30 ,$166.30 ,$177.00 ,$194.10 ,$200.20 ,$208.40 ,$209.20 ,$209.20 ,$220.80 
68,$82.30 ,$109.30 ,$168.90 ,$179.80 ,$197.10 ,$203.60 ,$211.70 ,$212.60 ,$212.60 ,$224.20 
69,$84.20 ,$111.30 ,$171.60 ,$182.60 ,$200.10 ,$207.00 ,$215.00 ,$216.10 ,$216.10 ,$227.60 
70,$85.40 ,$113.40 ,$174.30 ,$185.40 ,$203.10 ,$210.40 ,$218.40 ,$219.60 ,$219.60 ,$231.00 
71,$86.60 ,$115.50 ,$177.00 ,$188.20 ,$206.10 ,$213.80 ,$221.80 ,$223.10 ,$223.10 ,$234.30 
72,$88.60 ,$117.60 ,$179.70 ,$191.00 ,$209.10 ,$217.20 ,$225.20 ,$226.60 ,$226.60 ,$237.60 
73,$89.80 ,$119.70 ,$182.30 ,$193.80 ,$212.10 ,$220.60 ,$228.60 ,$230.20 ,$230.20 ,$240.90 
74,$91.80 ,$121.80 ,$184.90 ,$196.60 ,$215.10 ,$224.00 ,$232.00 ,$233.80 ,$233.80 ,$244.20 
75,$93.00 ,$123.90 ,$187.50 ,$199.40 ,$218.10 ,$227.40 ,$235.40 ,$237.40 ,$237.40 ,$247.50 
76,$95.00 ,$126.00 ,$190.00 ,$202.20 ,$221.10 ,$230.80 ,$238.80 ,$241.00 ,$241.00 ,$250.80 
77,$96.30 ,$128.10 ,$192.50 ,$205.00 ,$224.10 ,$234.10 ,$242.20 ,$244.60 ,$244.60 ,$254.10 
78,$97.50 ,$130.30 ,$195.00 ,$207.80 ,$227.10 ,$237.40 ,$245.60 ,$248.20 ,$248.20 ,$257.40 
79,$98.80 ,$132.50 ,$197.50 ,$210.60 ,$230.10 ,$240.70 ,$248.90 ,$251.80 ,$251.80 ,$260.70 
