UPS Next Day Air Early AM®,,,,,,,,
Daily Rates,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,

Weight Not To Exceed,Zone 102,Zone 103,Zone 104,Zone 105,Zone 106,Zone 107,Zone 108,Zone 124

Letter,$41.90 ,$44.00 ,$45.30 ,$46.10 ,$46.90 ,$47.80 ,$48.30 ,$48.70 
52,$90.90 ,$110.20 ,$158.60 ,$169.20 ,$180.90 ,$184.60 ,$190.20 ,$192.10 
53,$92.10 ,$111.80 ,$160.70 ,$171.40 ,$183.40 ,$187.20 ,$192.90 ,$194.80 
54,$93.30 ,$113.40 ,$162.90 ,$173.60 ,$185.90 ,$189.90 ,$195.70 ,$197.50 
55,$94.50 ,$115.00 ,$165.20 ,$175.90 ,$188.50 ,$192.50 ,$198.60 ,$200.30 
56,$95.70 ,$116.60 ,$167.50 ,$178.20 ,$191.10 ,$195.10 ,$201.60 ,$203.20 
57,$96.90 ,$118.30 ,$169.90 ,$180.50 ,$193.80 ,$197.80 ,$204.70 ,$206.20 
58,$98.10 ,$120.00 ,$172.30 ,$182.80 ,$196.50 ,$200.50 ,$207.90 ,$209.30 
59,$99.30 ,$121.70 ,$174.80 ,$185.10 ,$199.20 ,$203.30 ,$211.10 ,$212.40 
60,$100.50 ,$123.40 ,$177.30 ,$187.40 ,$202.00 ,$206.20 ,$214.30 ,$215.50 
61,$101.70 ,$125.10 ,$179.80 ,$189.70 ,$204.80 ,$209.20 ,$217.50 ,$218.60 
62,$102.90 ,$126.80 ,$182.30 ,$192.10 ,$207.70 ,$212.30 ,$220.70 ,$221.70 
63,$104.10 ,$128.50 ,$184.80 ,$194.60 ,$210.60 ,$215.40 ,$223.90 ,$224.80 
64,$105.30 ,$130.30 ,$187.20 ,$197.20 ,$213.60 ,$218.60 ,$227.10 ,$227.90 
65,$106.50 ,$132.10 ,$189.70 ,$199.90 ,$216.60 ,$221.90 ,$230.30 ,$231.00 
66,$107.70 ,$133.90 ,$192.20 ,$202.70 ,$219.60 ,$225.30 ,$233.60 ,$234.30 
67,$109.60 ,$135.80 ,$194.80 ,$205.50 ,$222.60 ,$228.70 ,$236.90 ,$237.70 
68,$110.80 ,$137.80 ,$197.40 ,$208.30 ,$225.60 ,$232.10 ,$240.20 ,$241.10 
69,$112.70 ,$139.80 ,$200.10 ,$211.10 ,$228.60 ,$235.50 ,$243.50 ,$244.60 
70,$113.90 ,$141.90 ,$202.80 ,$213.90 ,$231.60 ,$238.90 ,$246.90 ,$248.10 
71,$115.10 ,$144.00 ,$205.50 ,$216.70 ,$234.60 ,$242.30 ,$250.30 ,$251.60 
72,$117.10 ,$146.10 ,$208.20 ,$219.50 ,$237.60 ,$245.70 ,$253.70 ,$255.10 
73,$118.30 ,$148.20 ,$210.80 ,$222.30 ,$240.60 ,$249.10 ,$257.10 ,$258.70 
74,$120.30 ,$150.30 ,$213.40 ,$225.10 ,$243.60 ,$252.50 ,$260.50 ,$262.30 
75,$121.50 ,$152.40 ,$216.00 ,$227.90 ,$246.60 ,$255.90 ,$263.90 ,$265.90 
76,$123.50 ,$154.50 ,$218.50 ,$230.70 ,$249.60 ,$259.30 ,$267.30 ,$269.50 
77,$124.80 ,$156.60 ,$221.00 ,$233.50 ,$252.60 ,$262.60 ,$270.70 ,$273.10 
78,$126.00 ,$158.80 ,$223.50 ,$236.30 ,$255.60 ,$265.90 ,$274.10 ,$276.70 
79,$127.30 ,$161.00 ,$226.00 ,$239.10 ,$258.60 ,$269.20 ,$277.40 ,$280.30 
80,$128.50 ,$163.20 ,$228.50 ,$241.90 ,$261.60 ,$272.40 ,$280.60 ,$283.90 
81,$130.60 ,$165.40 ,$231.00 ,$244.80 ,$264.60 ,$275.50 ,$283.70 ,$287.40 
82,$131.90 ,$167.60 ,$233.50 ,$247.70 ,$267.60 ,$278.60 ,$286.80 ,$290.80 
83,$133.10 ,$169.80 ,$236.00 ,$250.60 ,$270.60 ,$281.70 ,$290.00 ,$294.10 
84,$134.40 ,$171.90 ,$238.50 ,$253.50 ,$273.60 ,$284.70 ,$293.10 ,$297.30 
85,$135.60 ,$174.00 ,$241.00 ,$256.40 ,$276.60 ,$287.80 ,$296.30 ,$300.50 
86,$136.90 ,$176.10 ,$243.50 ,$259.30 ,$279.60 ,$290.80 ,$299.40 ,$303.70 
87,$138.20 ,$178.10 ,$246.00 ,$262.20 ,$282.60 ,$293.90 ,$302.60 ,$306.90 
88,$139.40 ,$180.00 ,$248.50 ,$265.10 ,$285.50 ,$296.90 ,$305.70 ,$310.10 
89,$140.70 ,$181.90 ,$251.00 ,$268.00 ,$288.40 ,$300.00 ,$308.90 ,$313.30 
90,$141.90 ,$183.80 ,$253.50 ,$270.90 ,$291.30 ,$303.00 ,$312.00 ,$316.50 
91,$144.10 ,$185.70 ,$256.00 ,$273.80 ,$294.30 ,$306.10 ,$315.20 ,$319.70 
92,$145.40 ,$187.60 ,$258.50 ,$276.70 ,$297.20 ,$309.10 ,$318.30 ,$322.90 
93,$146.70 ,$189.40 ,$261.00 ,$279.50 ,$300.10 ,$312.20 ,$321.50 ,$326.10 
94,$147.90 ,$191.20 ,$263.50 ,$282.30 ,$303.00 ,$315.20 ,$324.60 ,$329.30 
95,$149.20 ,$192.90 ,$266.00 ,$285.00 ,$305.90 ,$318.30 ,$327.80 ,$332.50 
96,$150.50 ,$194.60 ,$268.50 ,$287.70 ,$308.90 ,$321.30 ,$330.90 ,$335.70 
97,$151.70 ,$196.40 ,$271.00 ,$290.40 ,$311.80 ,$324.40 ,$334.10 ,$338.90 
98,$153.00 ,$198.10 ,$273.50 ,$293.10 ,$314.70 ,$327.40 ,$337.20 ,$342.10 
99,$154.30 ,$199.80 ,$276.00 ,$295.80 ,$317.60 ,$330.50 ,$340.40 ,$345.30 
100,$155.50 ,$201.50 ,$278.50 ,$298.50 ,$320.50 ,$333.50 ,$343.50 ,$348.50 
101,$156.80 ,$203.30 ,$281.00 ,$301.20 ,$323.50 ,$336.60 ,$346.70 ,$351.70 
102,$158.10 ,$205.00 ,$283.50 ,$303.90 ,$326.40 ,$339.60 ,$349.80 ,$354.90 
103,$159.40 ,$206.70 ,$286.00 ,$306.60 ,$329.30 ,$342.70 ,$353.00 ,$358.10 
104,$160.60 ,$208.50 ,$288.50 ,$309.30 ,$332.20 ,$345.70 ,$356.10 ,$361.30 
105,$161.90 ,$210.20 ,$291.00 ,$312.00 ,$335.10 ,$348.80 ,$359.30 ,$364.50 
106,$163.20 ,$211.90 ,$293.50 ,$314.70 ,$338.10 ,$351.80 ,$362.40 ,$367.70 
107,$164.40 ,$213.70 ,$296.00 ,$317.40 ,$341.00 ,$354.90 ,$365.60 ,$370.90 
108,$165.70 ,$215.40 ,$298.50 ,$320.10 ,$343.90 ,$357.90 ,$368.70 ,$374.10 
109,$167.00 ,$217.10 ,$301.00 ,$322.80 ,$346.80 ,$361.00 ,$371.90 ,$377.30 
110,$168.20 ,$218.80 ,$303.50 ,$325.50 ,$349.70 ,$364.00 ,$375.00 ,$380.50 
111,$169.50 ,$220.60 ,$306.00 ,$328.20 ,$352.70 ,$367.10 ,$378.20 ,$383.70 
112,$170.80 ,$222.30 ,$308.50 ,$330.90 ,$355.60 ,$370.10 ,$381.30 ,$386.90 
113,$172.10 ,$224.00 ,$311.00 ,$333.60 ,$358.50 ,$373.20 ,$384.50 ,$390.10 
114,$173.30 ,$225.80 ,$313.50 ,$336.30 ,$361.40 ,$376.20 ,$387.60 ,$393.30 
115,$174.60 ,$227.50 ,$316.00 ,$339.00 ,$364.30 ,$379.30 ,$390.80 ,$396.50 
116,$175.90 ,$229.20 ,$318.50 ,$341.70 ,$367.30 ,$382.30 ,$393.90 ,$399.70 
117,$177.10 ,$231.00 ,$321.00 ,$344.40 ,$370.20 ,$385.40 ,$397.10 ,$402.90 
118,$178.40 ,$232.70 ,$323.50 ,$347.10 ,$373.10 ,$388.40 ,$400.20 ,$406.10 
119,$179.70 ,$234.40 ,$326.00 ,$349.80 ,$376.00 ,$391.50 ,$403.40 ,$409.30 
120,$180.90 ,$236.10 ,$328.50 ,$352.50 ,$378.90 ,$394.50 ,$406.50 ,$412.50 
121,$182.20 ,$237.90 ,$331.00 ,$355.20 ,$381.90 ,$397.60 ,$409.70 ,$415.70 
122,$183.50 ,$239.60 ,$333.50 ,$357.90 ,$384.80 ,$400.60 ,$412.80 ,$418.90 
123,$184.80 ,$241.30 ,$336.00 ,$360.60 ,$387.70 ,$403.70 ,$416.00 ,$422.10 
124,$186.00 ,$243.10 ,$338.50 ,$363.30 ,$390.60 ,$406.70 ,$419.10 ,$425.30 
125,$187.30 ,$244.80 ,$341.00 ,$366.00 ,$393.50 ,$409.80 ,$422.30 ,$428.50 
126,$188.60 ,$246.50 ,$343.50 ,$368.70 ,$396.50 ,$412.80 ,$425.40 ,$431.70 
127,$189.80 ,$248.30 ,$346.00 ,$371.40 ,$399.40 ,$415.90 ,$428.60 ,$434.90 
128,$191.10 ,$250.00 ,$348.50 ,$374.10 ,$402.30 ,$418.90 ,$431.70 ,$438.10 
129,$192.40 ,$251.70 ,$351.00 ,$376.80 ,$405.20 ,$422.00 ,$434.90 ,$441.30 
130,$193.60 ,$253.40 ,$353.50 ,$379.50 ,$408.10 ,$425.00 ,$438.00 ,$444.50 
131,$194.90 ,$255.20 ,$356.00 ,$382.20 ,$411.10 ,$428.10 ,$441.20 ,$447.70 
132,$196.20 ,$256.90 ,$358.50 ,$384.90 ,$414.00 ,$431.10 ,$444.30 ,$450.90 
133,$197.50 ,$258.60 ,$361.00 ,$387.60 ,$416.90 ,$434.20 ,$447.50 ,$454.10 
134,$198.70 ,$260.40 ,$363.50 ,$390.30 ,$419.80 ,$437.20 ,$450.60 ,$457.30 
135,$200.00 ,$262.10 ,$366.00 ,$393.00 ,$422.70 ,$440.30 ,$453.80 ,$460.50 
136,$201.30 ,$263.80 ,$368.50 ,$395.70 ,$425.70 ,$443.30 ,$456.90 ,$463.70 
137,$202.50 ,$265.60 ,$371.00 ,$398.40 ,$428.60 ,$446.40 ,$460.10 ,$466.90 
138,$203.80 ,$267.30 ,$373.50 ,$401.10 ,$431.50 ,$449.40 ,$463.20 ,$470.10 
139,$205.10 ,$269.00 ,$376.00 ,$403.80 ,$434.40 ,$452.50 ,$466.40 ,$473.30 
140,$206.30 ,$270.70 ,$378.50 ,$406.50 ,$437.30 ,$455.50 ,$469.50 ,$476.50 
141,$207.60 ,$272.50 ,$381.00 ,$409.20 ,$440.30 ,$458.60 ,$472.70 ,$479.70 
142,$208.90 ,$274.20 ,$383.50 ,$411.90 ,$443.20 ,$461.60 ,$475.80 ,$482.90 
143,$210.20 ,$275.90 ,$386.00 ,$414.60 ,$446.10 ,$464.70 ,$479.00 ,$486.10 
144,$211.40 ,$277.70 ,$388.50 ,$417.30 ,$449.00 ,$467.70 ,$482.10 ,$489.30 
145,$212.70 ,$279.40 ,$391.00 ,$420.00 ,$451.90 ,$470.80 ,$485.30 ,$492.50 
146,$214.00 ,$281.10 ,$393.50 ,$422.70 ,$454.90 ,$473.80 ,$488.40 ,$495.70 
147,$215.20 ,$282.90 ,$396.00 ,$425.40 ,$457.80 ,$476.90 ,$491.60 ,$498.90 
148,$216.50 ,$284.60 ,$398.50 ,$428.10 ,$460.70 ,$479.90 ,$494.70 ,$502.10 
149,$217.80 ,$286.30 ,$401.00 ,$430.80 ,$463.60 ,$483.00 ,$497.90 ,$505.30 
150,$219.00 ,$288.00 ,$403.50 ,$433.50 ,$466.50 ,$486.00 ,$501.00 ,$508.50 
Multiplier,$1.28 ,$1.74 ,$2.51 ,$2.71 ,$2.93 ,$3.06 ,$3.16 ,$3.21 
