UPS 3 Day Select® ,,,,,,,
Daily Rates,,,,,,,
"Effective January 2, 2006",,,,,,,
Rates do not include a fuel surcharge.,,,,,,,

A $2.10 surcharge will be added to each package going to a residential destination.,,,,,,,

Weight Not To Exceed, Zone 302 , Zone 303 , Zone 304 , Zone 305 , Zone 306 , Zone 307 , Zone 308
61,$30.00 ,$38.70 ,$46.70 ,$56.60 ,$77.30 ,$85.10 ,$92.50 
62,$30.40 ,$39.30 ,$47.40 ,$57.40 ,$78.60 ,$86.50 ,$94.00 
63,$30.80 ,$39.80 ,$48.10 ,$58.30 ,$79.90 ,$87.90 ,$95.50 
64,$31.20 ,$40.30 ,$48.90 ,$59.10 ,$81.30 ,$89.30 ,$97.10 
65,$31.60 ,$40.80 ,$49.80 ,$59.80 ,$82.60 ,$90.70 ,$98.50 
66,$32.00 ,$41.50 ,$50.40 ,$60.70 ,$83.80 ,$92.10 ,$100.10 
67,$32.50 ,$42.00 ,$51.00 ,$61.60 ,$85.10 ,$93.50 ,$101.70 
68,$32.90 ,$42.50 ,$51.60 ,$62.40 ,$86.30 ,$94.90 ,$103.20 
69,$33.30 ,$43.20 ,$52.30 ,$63.20 ,$87.50 ,$96.30 ,$104.80 
70,$33.70 ,$43.70 ,$53.00 ,$64.00 ,$88.80 ,$97.60 ,$106.50 
71,$34.10 ,$44.10 ,$53.80 ,$64.60 ,$89.80 ,$98.70 ,$108.10 
72,$34.50 ,$44.50 ,$54.70 ,$65.40 ,$91.00 ,$100.10 ,$109.70 
73,$35.00 ,$45.10 ,$55.60 ,$66.30 ,$92.20 ,$101.50 ,$111.30 
74,$35.50 ,$45.70 ,$56.50 ,$67.30 ,$93.40 ,$102.90 ,$112.90 
75,$36.00 ,$46.30 ,$57.40 ,$68.40 ,$94.60 ,$104.30 ,$114.50 
76,$36.50 ,$46.90 ,$58.20 ,$69.50 ,$95.80 ,$105.70 ,$116.10 
77,$37.00 ,$47.50 ,$58.90 ,$70.50 ,$97.00 ,$107.10 ,$117.70 
78,$37.50 ,$48.20 ,$59.60 ,$71.50 ,$98.20 ,$108.50 ,$119.30 
79,$38.00 ,$48.90 ,$60.50 ,$72.40 ,$99.40 ,$109.90 ,$120.90 
80,$38.50 ,$49.70 ,$61.10 ,$73.30 ,$100.60 ,$111.20 ,$122.40 
81,$39.00 ,$50.50 ,$61.70 ,$74.10 ,$101.80 ,$112.60 ,$123.80 
82,$39.50 ,$51.10 ,$62.30 ,$75.10 ,$103.00 ,$114.00 ,$125.40 
83,$40.10 ,$51.70 ,$63.10 ,$76.00 ,$104.20 ,$115.40 ,$127.00 
84,$40.60 ,$52.30 ,$63.80 ,$76.80 ,$105.40 ,$116.80 ,$128.60 
85,$41.10 ,$53.00 ,$64.50 ,$77.70 ,$106.70 ,$118.20 ,$130.10 
86,$41.50 ,$53.60 ,$65.20 ,$78.50 ,$107.90 ,$119.60 ,$131.60 
87,$41.90 ,$54.20 ,$66.10 ,$79.40 ,$109.10 ,$121.00 ,$133.20 
88,$42.40 ,$54.80 ,$66.80 ,$80.40 ,$110.10 ,$122.40 ,$134.70 
89,$42.90 ,$55.40 ,$67.50 ,$81.40 ,$111.30 ,$123.80 ,$136.20 
90,$43.30 ,$56.00 ,$68.20 ,$82.20 ,$112.50 ,$125.10 ,$137.70 
91,$43.80 ,$56.60 ,$68.90 ,$83.10 ,$113.70 ,$126.50 ,$139.30 
92,$44.30 ,$57.20 ,$69.50 ,$84.10 ,$114.90 ,$127.90 ,$140.80 
93,$44.80 ,$57.80 ,$70.10 ,$84.90 ,$116.00 ,$129.30 ,$142.30 
94,$45.20 ,$58.50 ,$70.70 ,$85.80 ,$117.20 ,$130.70 ,$143.90 
95,$45.70 ,$59.10 ,$71.30 ,$86.60 ,$118.40 ,$132.10 ,$145.40 
96,$46.20 ,$59.70 ,$71.90 ,$87.50 ,$119.70 ,$133.50 ,$146.90 
97,$46.70 ,$60.30 ,$72.50 ,$88.40 ,$120.90 ,$134.90 ,$148.50 
98,$47.10 ,$60.90 ,$73.10 ,$89.20 ,$122.20 ,$136.30 ,$150.00 
99,$47.60 ,$61.50 ,$73.70 ,$90.10 ,$123.40 ,$137.70 ,$151.50 
100,$48.10 ,$62.10 ,$74.30 ,$90.90 ,$124.70 ,$139.00 ,$153.00 
101,$48.60 ,$62.70 ,$74.90 ,$91.70 ,$125.90 ,$140.40 ,$154.60 
102,$49.00 ,$63.40 ,$75.50 ,$92.40 ,$127.10 ,$141.80 ,$156.10 
103,$49.50 ,$64.00 ,$76.10 ,$93.20 ,$128.40 ,$143.20 ,$157.60 
104,$50.00 ,$64.60 ,$76.70 ,$94.00 ,$129.60 ,$144.60 ,$159.20 
105,$50.40 ,$65.20 ,$77.30 ,$94.80 ,$130.90 ,$146.00 ,$160.70 
106,$50.90 ,$65.80 ,$77.90 ,$95.70 ,$132.10 ,$147.40 ,$162.20 
107,$51.40 ,$66.40 ,$78.50 ,$96.40 ,$133.40 ,$148.80 ,$163.80 
108,$51.90 ,$67.00 ,$79.10 ,$97.30 ,$134.60 ,$150.20 ,$165.30 
109,$52.30 ,$67.60 ,$79.80 ,$98.00 ,$135.90 ,$151.60 ,$166.80 
110,$52.80 ,$68.20 ,$80.60 ,$98.70 ,$137.10 ,$152.90 ,$168.30 
111,$53.30 ,$68.90 ,$81.30 ,$99.60 ,$138.30 ,$154.30 ,$169.90 
112,$53.80 ,$69.50 ,$82.00 ,$100.40 ,$139.60 ,$155.70 ,$171.40 
113,$54.20 ,$70.10 ,$82.70 ,$101.40 ,$140.80 ,$157.10 ,$172.90 
114,$54.70 ,$70.70 ,$83.50 ,$102.50 ,$142.10 ,$158.50 ,$174.50 
115,$55.20 ,$71.30 ,$84.20 ,$103.50 ,$143.30 ,$159.90 ,$176.00 
116,$55.60 ,$71.90 ,$84.90 ,$104.40 ,$144.70 ,$161.30 ,$177.50 
117,$56.10 ,$72.50 ,$85.60 ,$105.20 ,$145.90 ,$162.70 ,$179.10 
118,$56.60 ,$73.10 ,$86.30 ,$106.10 ,$147.10 ,$164.10 ,$180.60 
119,$57.10 ,$73.70 ,$87.10 ,$106.90 ,$148.40 ,$165.50 ,$182.10 
120,$57.50 ,$74.40 ,$87.80 ,$107.70 ,$149.60 ,$166.80 ,$183.60 
121,$58.00 ,$75.00 ,$88.50 ,$108.70 ,$150.80 ,$168.20 ,$185.20 
122,$58.50 ,$75.60 ,$89.20 ,$109.50 ,$152.00 ,$169.60 ,$186.70 
123,$59.00 ,$76.20 ,$90.00 ,$110.40 ,$153.40 ,$171.00 ,$188.20 
124,$59.40 ,$76.80 ,$90.70 ,$111.20 ,$154.60 ,$172.40 ,$189.80 
125,$59.90 ,$77.40 ,$91.40 ,$112.00 ,$155.80 ,$173.80 ,$191.30 
126,$60.40 ,$78.00 ,$92.10 ,$112.90 ,$157.10 ,$175.20 ,$192.80 
127,$60.90 ,$78.60 ,$92.90 ,$113.70 ,$158.30 ,$176.60 ,$194.40 
128,$61.30 ,$79.30 ,$93.60 ,$114.50 ,$159.50 ,$178.00 ,$195.90 
129,$61.80 ,$79.90 ,$94.30 ,$115.40 ,$160.90 ,$179.40 ,$197.40 
130,$62.30 ,$80.50 ,$95.00 ,$116.20 ,$162.10 ,$180.70 ,$198.90 
131,$62.70 ,$81.10 ,$95.80 ,$117.10 ,$163.40 ,$182.10 ,$200.50 
132,$63.20 ,$81.70 ,$96.50 ,$118.00 ,$164.60 ,$183.50 ,$202.00 
133,$63.70 ,$82.30 ,$97.30 ,$118.90 ,$165.80 ,$184.90 ,$203.50 
134,$64.20 ,$82.90 ,$98.00 ,$119.80 ,$167.00 ,$186.30 ,$205.10 
135,$64.60 ,$83.50 ,$98.80 ,$120.60 ,$168.20 ,$187.70 ,$206.60 
136,$65.10 ,$84.10 ,$99.50 ,$121.50 ,$169.60 ,$189.10 ,$208.10 
137,$65.60 ,$84.80 ,$100.20 ,$122.40 ,$170.80 ,$190.50 ,$209.70 
138,$66.10 ,$85.40 ,$101.00 ,$123.30 ,$172.00 ,$191.90 ,$211.20 
139,$66.50 ,$86.00 ,$101.70 ,$124.20 ,$173.30 ,$193.30 ,$212.70 
140,$67.00 ,$86.60 ,$102.40 ,$125.10 ,$174.50 ,$194.60 ,$214.20 
141,$67.50 ,$87.20 ,$103.10 ,$126.00 ,$175.70 ,$196.00 ,$215.80 
142,$67.90 ,$87.80 ,$103.80 ,$126.80 ,$176.90 ,$197.40 ,$217.30 
143,$68.40 ,$88.40 ,$104.60 ,$127.70 ,$178.30 ,$198.80 ,$218.80 
144,$68.90 ,$89.00 ,$105.30 ,$128.60 ,$179.50 ,$200.20 ,$220.40 
145,$69.30 ,$89.60 ,$106.00 ,$129.50 ,$180.70 ,$201.60 ,$221.90 
146,$69.80 ,$90.30 ,$106.70 ,$130.40 ,$182.00 ,$203.00 ,$223.40 
147,$70.20 ,$90.90 ,$107.50 ,$131.30 ,$183.20 ,$204.40 ,$225.00 
148,$70.60 ,$91.50 ,$108.20 ,$132.20 ,$184.40 ,$205.80 ,$226.50 
149,$71.10 ,$92.10 ,$108.90 ,$133.00 ,$185.80 ,$207.20 ,$228.00 
150,$71.60 ,$92.70 ,$109.60 ,$133.90 ,$187.00 ,$208.50 ,$229.50 
Multiplier,$0.49 ,$0.63 ,$0.75 ,$0.91 ,$1.26 ,$1.40 ,$1.54 
