Hawaii -- Ground Commercial,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11
40,$39.44 ,$40.64 ,$42.36 ,$43.16 ,$45.50 ,$46.79 ,$47.06 ,$56.30 ,$69.03 ,$59.66 
41,$40.08 ,$41.30 ,$43.09 ,$43.87 ,$46.12 ,$47.63 ,$47.79 ,$57.39 ,$70.27 ,$60.74 
42,$40.70 ,$41.97 ,$43.81 ,$44.61 ,$46.72 ,$48.47 ,$48.58 ,$58.57 ,$71.31 ,$61.74 
43,$41.30 ,$42.64 ,$44.55 ,$45.33 ,$47.35 ,$49.31 ,$49.42 ,$59.83 ,$72.37 ,$62.73 
44,$41.92 ,$43.31 ,$45.27 ,$46.06 ,$47.97 ,$50.16 ,$50.26 ,$61.01 ,$73.33 ,$63.74 
45,$42.54 ,$44.00 ,$46.00 ,$46.79 ,$48.58 ,$50.98 ,$51.15 ,$62.29 ,$74.47 ,$64.81 
46,$43.16 ,$44.61 ,$46.67 ,$47.52 ,$49.19 ,$51.83 ,$52.05 ,$63.28 ,$75.62 ,$66.08 
47,$43.76 ,$45.22 ,$47.35 ,$48.18 ,$49.87 ,$52.66 ,$52.95 ,$64.37 ,$76.76 ,$67.26 
48,$44.43 ,$45.84 ,$48.02 ,$48.80 ,$50.54 ,$53.51 ,$53.84 ,$65.36 ,$77.98 ,$68.53 
49,$45.12 ,$46.45 ,$48.70 ,$49.42 ,$51.21 ,$54.35 ,$54.74 ,$66.35 ,$79.13 ,$69.80 
50,$45.74 ,$47.06 ,$49.36 ,$50.03 ,$51.83 ,$55.19 ,$55.62 ,$67.53 ,$80.17 ,$70.89 
51,$46.34 ,$47.63 ,$50.03 ,$50.70 ,$52.44 ,$55.96 ,$56.53 ,$68.62 ,$81.31 ,$72.06 
52,$46.91 ,$48.24 ,$50.70 ,$51.38 ,$53.05 ,$56.75 ,$57.37 ,$69.71 ,$82.37 ,$72.97 
53,$47.45 ,$48.85 ,$51.38 ,$52.05 ,$53.73 ,$57.54 ,$58.20 ,$70.89 ,$83.25 ,$73.87 
54,$47.97 ,$49.47 ,$52.05 ,$52.77 ,$54.45 ,$58.32 ,$59.06 ,$71.96 ,$84.21 ,$74.86 
55,$48.47 ,$50.09 ,$52.72 ,$53.56 ,$55.19 ,$59.11 ,$59.89 ,$73.05 ,$85.17 ,$75.87 
56,$48.98 ,$50.70 ,$53.39 ,$54.35 ,$55.86 ,$59.83 ,$60.72 ,$73.96 ,$86.14 ,$76.86 
57,$49.54 ,$51.33 ,$54.07 ,$55.13 ,$56.64 ,$60.56 ,$61.50 ,$75.14 ,$87.19 ,$77.95 
58,$50.09 ,$51.94 ,$54.74 ,$55.86 ,$57.48 ,$61.29 ,$62.22 ,$76.40 ,$88.07 ,$78.85 
59,$50.59 ,$52.50 ,$55.35 ,$56.53 ,$58.32 ,$62.02 ,$62.96 ,$77.58 ,$89.12 ,$79.76 
60,$51.15 ,$53.05 ,$55.96 ,$57.19 ,$59.11 ,$62.69 ,$63.68 ,$78.85 ,$90.26 ,$80.93 
61,$51.66 ,$53.56 ,$56.53 ,$57.80 ,$59.89 ,$63.34 ,$64.36 ,$80.03 ,$91.48 ,$82.20 
62,$52.22 ,$54.07 ,$57.08 ,$58.37 ,$60.61 ,$63.96 ,$65.03 ,$81.29 ,$92.63 ,$83.29 
63,$52.72 ,$54.58 ,$57.59 ,$58.87 ,$61.29 ,$64.58 ,$65.65 ,$82.47 ,$93.85 ,$84.55 
64,$53.22 ,$55.07 ,$58.09 ,$59.38 ,$61.97 ,$65.13 ,$66.20 ,$83.65 ,$94.99 ,$85.54 
65,$53.73 ,$55.57 ,$58.54 ,$59.89 ,$62.57 ,$65.70 ,$66.77 ,$84.91 ,$95.97 ,$86.45 
66,$54.18 ,$56.02 ,$58.98 ,$60.38 ,$63.14 ,$66.26 ,$67.32 ,$86.09 ,$96.93 ,$87.45 
67,$54.63 ,$56.53 ,$59.38 ,$60.95 ,$63.76 ,$66.82 ,$67.89 ,$87.35 ,$97.98 ,$88.53 
68,$55.01 ,$56.98 ,$59.78 ,$61.57 ,$64.30 ,$67.32 ,$68.44 ,$88.53 ,$99.12 ,$89.71 
69,$55.40 ,$57.48 ,$60.10 ,$62.17 ,$64.80 ,$67.83 ,$69.00 ,$89.71 ,$100.34 ,$90.98 
70,$55.81 ,$57.99 ,$60.44 ,$62.79 ,$65.32 ,$68.33 ,$69.56 ,$90.98 ,$101.49 ,$92.16 
71,$56.19 ,$58.43 ,$60.72 ,$63.34 ,$65.82 ,$68.78 ,$70.12 ,$92.33 ,$102.63 ,$93.34 
72,$56.58 ,$58.87 ,$61.00 ,$63.91 ,$66.33 ,$69.18 ,$70.63 ,$93.78 ,$103.85 ,$94.60 
73,$56.98 ,$59.33 ,$61.29 ,$64.48 ,$66.82 ,$69.56 ,$71.14 ,$95.15 ,$105.00 ,$95.69 
74,$57.37 ,$59.78 ,$61.62 ,$65.03 ,$67.32 ,$69.97 ,$71.58 ,$96.50 ,$106.05 ,$96.77 
75,$57.75 ,$60.23 ,$61.97 ,$65.54 ,$67.83 ,$70.36 ,$72.03 ,$97.77 ,$107.10 ,$97.77 
76,$58.15 ,$60.66 ,$62.35 ,$66.04 ,$68.33 ,$70.74 ,$72.42 ,$98.95 ,$108.24 ,$98.85 
77,$58.60 ,$61.11 ,$62.74 ,$66.54 ,$68.84 ,$71.14 ,$72.81 ,$100.13 ,$109.38 ,$100.03 
78,$59.06 ,$61.62 ,$63.19 ,$67.06 ,$69.35 ,$71.58 ,$73.21 ,$101.30 ,$110.52 ,$101.21 
79,$59.54 ,$62.17 ,$63.63 ,$67.50 ,$69.84 ,$72.03 ,$73.66 ,$102.48 ,$111.75 ,$102.38 
80,$60.05 ,$62.79 ,$64.15 ,$68.00 ,$70.30 ,$72.48 ,$74.10 ,$103.83 ,$113.06 ,$103.66 
81,$60.61 ,$63.41 ,$64.65 ,$68.51 ,$70.80 ,$72.93 ,$74.60 ,$105.01 ,$114.30 ,$104.82 
82,$61.17 ,$64.01 ,$65.22 ,$68.95 ,$71.29 ,$73.37 ,$75.11 ,$106.27 ,$115.53 ,$106.00 
83,$61.78 ,$64.65 ,$65.76 ,$69.45 ,$71.81 ,$73.82 ,$75.67 ,$107.45 ,$116.75 ,$107.28 
84,$62.41 ,$65.27 ,$66.38 ,$69.97 ,$72.31 ,$74.27 ,$76.23 ,$108.63 ,$117.89 ,$108.36 
85,$62.96 ,$65.82 ,$67.00 ,$70.41 ,$72.76 ,$74.78 ,$76.84 ,$109.90 ,$119.12 ,$109.63 
86,$63.53 ,$66.38 ,$67.61 ,$70.91 ,$73.26 ,$75.28 ,$77.46 ,$111.08 ,$120.26 ,$110.81 
87,$64.07 ,$66.88 ,$68.23 ,$71.42 ,$73.76 ,$75.84 ,$78.08 ,$112.26 ,$121.40 ,$111.98 
88,$64.65 ,$67.45 ,$68.84 ,$71.92 ,$74.27 ,$76.40 ,$78.64 ,$113.52 ,$122.71 ,$113.34 
89,$65.22 ,$68.00 ,$69.45 ,$72.42 ,$74.78 ,$76.96 ,$79.20 ,$114.70 ,$123.86 ,$114.51 
90,$65.76 ,$68.57 ,$70.07 ,$72.93 ,$75.28 ,$77.52 ,$79.76 ,$116.15 ,$125.26 ,$115.96 
91,$66.33 ,$69.12 ,$70.68 ,$73.42 ,$75.77 ,$78.08 ,$80.32 ,$117.50 ,$126.75 ,$117.41 
92,$66.88 ,$69.69 ,$71.29 ,$73.98 ,$76.28 ,$78.64 ,$80.87 ,$118.68 ,$128.24 ,$118.68 
93,$67.45 ,$70.25 ,$71.92 ,$74.60 ,$76.79 ,$79.20 ,$81.44 ,$119.95 ,$129.55 ,$119.85 
94,$68.00 ,$70.80 ,$72.54 ,$75.28 ,$77.35 ,$79.70 ,$81.99 ,$121.13 ,$130.78 ,$121.03 
95,$68.57 ,$71.36 ,$73.15 ,$76.00 ,$77.90 ,$80.25 ,$82.56 ,$122.21 ,$131.92 ,$122.21 
96,$69.12 ,$71.92 ,$73.76 ,$76.67 ,$78.46 ,$80.76 ,$83.11 ,$123.38 ,$133.06 ,$123.38 
97,$69.69 ,$72.48 ,$74.39 ,$77.28 ,$79.02 ,$81.26 ,$83.68 ,$124.56 ,$134.03 ,$124.39 
98,$70.25 ,$73.04 ,$75.00 ,$77.96 ,$79.58 ,$81.77 ,$84.17 ,$125.65 ,$135.08 ,$125.47 
99,$70.80 ,$73.60 ,$75.61 ,$78.58 ,$80.14 ,$82.27 ,$84.74 ,$126.83 ,$136.23 ,$126.64 
100,$71.36 ,$74.10 ,$76.23 ,$79.13 ,$80.65 ,$82.77 ,$85.28 ,$127.82 ,$137.19 ,$127.65 
101,$71.92 ,$74.60 ,$76.79 ,$79.64 ,$81.15 ,$83.22 ,$85.85 ,$129.10 ,$138.41 ,$128.91 
102,$72.48 ,$75.11 ,$77.35 ,$80.14 ,$81.65 ,$83.73 ,$86.35 ,$130.27 ,$139.56 ,$130.09 
103,$73.04 ,$75.61 ,$77.90 ,$80.59 ,$82.17 ,$84.17 ,$86.92 ,$131.45 ,$140.78 ,$131.26 
104,$73.60 ,$76.11 ,$78.46 ,$81.10 ,$82.67 ,$84.68 ,$87.47 ,$132.71 ,$141.84 ,$132.44 
105,$74.16 ,$76.62 ,$79.02 ,$81.55 ,$83.16 ,$85.13 ,$87.99 ,$133.89 ,$142.97 ,$133.62 
106,$74.72 ,$77.13 ,$79.58 ,$82.04 ,$83.68 ,$85.63 ,$88.53 ,$135.16 ,$144.11 ,$134.80 
107,$75.28 ,$77.63 ,$80.14 ,$82.56 ,$84.17 ,$86.14 ,$89.04 ,$136.33 ,$145.25 ,$135.97 
108,$75.84 ,$78.13 ,$80.71 ,$83.11 ,$84.68 ,$86.59 ,$89.60 ,$137.51 ,$146.40 ,$137.15 
109,$76.40 ,$78.64 ,$81.26 ,$83.62 ,$85.18 ,$87.08 ,$90.17 ,$138.96 ,$147.80 ,$138.60 
110,$76.96 ,$79.13 ,$81.83 ,$84.17 ,$85.68 ,$87.52 ,$90.67 ,$140.31 ,$149.21 ,$140.05 
111,$77.52 ,$79.64 ,$82.38 ,$84.74 ,$86.19 ,$88.04 ,$91.22 ,$141.59 ,$150.60 ,$141.40 
112,$78.08 ,$80.14 ,$82.94 ,$85.23 ,$86.74 ,$88.48 ,$91.73 ,$142.76 ,$151.92 ,$142.58 
113,$78.64 ,$80.65 ,$83.49 ,$85.73 ,$87.31 ,$88.98 ,$92.29 ,$143.94 ,$153.15 ,$143.75 
114,$79.20 ,$81.15 ,$84.06 ,$86.25 ,$87.86 ,$89.50 ,$92.85 ,$145.20 ,$154.38 ,$145.02 
115,$79.76 ,$81.65 ,$84.61 ,$86.74 ,$88.43 ,$89.99 ,$93.41 ,$146.38 ,$155.52 ,$146.20 
116,$80.32 ,$82.22 ,$85.18 ,$87.26 ,$88.98 ,$90.50 ,$93.92 ,$147.83 ,$156.93 ,$147.65 
117,$80.87 ,$82.77 ,$85.73 ,$87.71 ,$89.55 ,$91.06 ,$94.47 ,$149.01 ,$158.24 ,$149.01 
118,$81.44 ,$83.34 ,$86.30 ,$88.20 ,$90.11 ,$91.57 ,$94.98 ,$150.18 ,$159.38 ,$150.18 
119,$81.99 ,$83.89 ,$86.87 ,$88.72 ,$90.61 ,$92.13 ,$95.54 ,$151.45 ,$160.52 ,$151.36 
120,$82.56 ,$84.46 ,$87.42 ,$89.21 ,$91.11 ,$92.68 ,$96.10 ,$152.63 ,$161.66 ,$152.45 
121,$83.11 ,$85.00 ,$87.99 ,$89.70 ,$91.62 ,$93.24 ,$96.66 ,$153.89 ,$162.89 ,$153.63 
122,$83.68 ,$85.57 ,$88.53 ,$90.27 ,$92.13 ,$93.75 ,$97.17 ,$155.25 ,$164.20 ,$155.07 
123,$84.23 ,$86.14 ,$89.10 ,$90.77 ,$92.56 ,$94.25 ,$97.72 ,$156.43 ,$165.52 ,$156.24 
124,$84.80 ,$86.69 ,$89.65 ,$91.34 ,$93.07 ,$94.81 ,$98.28 ,$157.88 ,$166.92 ,$157.69 
125,$85.35 ,$87.26 ,$90.22 ,$91.90 ,$93.57 ,$95.31 ,$98.79 ,$159.06 ,$168.15 ,$158.87 
126,$85.92 ,$87.81 ,$90.77 ,$92.46 ,$94.13 ,$95.87 ,$99.35 ,$160.32 ,$169.28 ,$159.96 
127,$86.46 ,$88.38 ,$91.34 ,$92.95 ,$94.64 ,$96.37 ,$99.91 ,$161.50 ,$170.52 ,$161.32 
128,$87.03 ,$88.93 ,$91.90 ,$93.47 ,$95.15 ,$96.88 ,$100.47 ,$162.86 ,$171.83 ,$162.67 
129,$87.60 ,$89.50 ,$92.46 ,$93.92 ,$95.71 ,$97.43 ,$100.96 ,$164.12 ,$173.06 ,$163.94 
130,$88.15 ,$90.05 ,$93.02 ,$94.41 ,$96.27 ,$97.94 ,$101.51 ,$165.30 ,$174.28 ,$165.12 
131,$88.72 ,$90.61 ,$93.57 ,$94.92 ,$96.82 ,$98.45 ,$102.08 ,$166.57 ,$175.61 ,$166.29 
132,$89.27 ,$91.16 ,$94.13 ,$95.36 ,$97.38 ,$99.01 ,$102.63 ,$167.93 ,$176.92 ,$167.74 
133,$89.84 ,$91.73 ,$94.69 ,$95.87 ,$97.94 ,$99.52 ,$103.15 ,$169.10 ,$178.24 ,$168.92 
134,$90.39 ,$92.29 ,$95.25 ,$96.37 ,$98.50 ,$100.01 ,$103.70 ,$170.55 ,$179.63 ,$170.37 
135,$90.96 ,$92.85 ,$95.81 ,$96.88 ,$99.06 ,$100.52 ,$104.27 ,$171.91 ,$181.13 ,$171.82 
136,$91.50 ,$93.41 ,$96.37 ,$97.38 ,$99.62 ,$101.08 ,$104.76 ,$173.18 ,$182.53 ,$173.18 
137,$92.07 ,$93.97 ,$96.93 ,$97.94 ,$100.18 ,$101.59 ,$105.33 ,$174.36 ,$183.85 ,$174.26 
138,$92.63 ,$94.53 ,$97.49 ,$98.50 ,$100.74 ,$102.14 ,$105.88 ,$175.53 ,$184.99 ,$175.44 
139,$93.19 ,$95.09 ,$98.06 ,$99.01 ,$101.31 ,$102.70 ,$106.45 ,$176.80 ,$186.22 ,$176.71 
140,$93.75 ,$95.64 ,$98.61 ,$99.57 ,$101.85 ,$103.26 ,$107.00 ,$178.15 ,$187.53 ,$178.06 
141,$94.31 ,$96.20 ,$99.17 ,$100.13 ,$102.42 ,$103.83 ,$107.52 ,$179.43 ,$188.94 ,$179.51 
142,$94.87 ,$96.76 ,$99.73 ,$100.63 ,$102.97 ,$104.38 ,$108.06 ,$180.60 ,$190.16 ,$180.69 
143,$95.43 ,$97.33 ,$100.29 ,$101.13 ,$103.54 ,$104.95 ,$108.63 ,$181.78 ,$191.39 ,$181.78 
144,$95.99 ,$97.89 ,$100.85 ,$101.64 ,$104.09 ,$105.55 ,$109.18 ,$183.04 ,$192.62 ,$183.04 
145,$96.54 ,$98.45 ,$101.41 ,$102.14 ,$104.66 ,$106.12 ,$109.70 ,$184.22 ,$193.76 ,$184.22 
146,$97.10 ,$99.01 ,$101.97 ,$102.63 ,$105.21 ,$106.74 ,$110.25 ,$185.67 ,$195.16 ,$185.67 
147,$97.66 ,$99.57 ,$102.53 ,$103.15 ,$105.78 ,$107.29 ,$110.82 ,$186.85 ,$196.39 ,$186.94 
148,$98.22 ,$100.13 ,$103.10 ,$103.64 ,$106.35 ,$107.86 ,$111.37 ,$188.20 ,$197.80 ,$188.30 
149,$98.79 ,$100.68 ,$103.64 ,$104.15 ,$106.89 ,$108.46 ,$111.94 ,$189.65 ,$199.11 ,$189.75 
150,$99.35 ,$101.24 ,$104.21 ,$104.66 ,$107.46 ,$109.03 ,$112.49 ,$191.01 ,$200.43 ,$191.10 
