Alaska -- Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11
43,$43.05 ,$44.39 ,$46.30 ,$47.08 ,$49.10 ,$51.06 ,$51.17 ,$61.58 ,$110.05 ,$64.48 
44,$43.67 ,$45.06 ,$47.02 ,$47.81 ,$49.72 ,$51.91 ,$52.01 ,$62.76 ,$112.18 ,$65.49 
45,$44.29 ,$45.75 ,$47.75 ,$48.54 ,$50.33 ,$52.73 ,$52.90 ,$64.04 ,$114.48 ,$66.56 
46,$44.91 ,$46.36 ,$48.42 ,$49.27 ,$50.94 ,$53.58 ,$53.80 ,$65.03 ,$116.28 ,$67.83 
47,$45.51 ,$46.97 ,$49.10 ,$49.93 ,$51.62 ,$54.41 ,$54.70 ,$66.12 ,$118.25 ,$69.01 
48,$46.18 ,$47.59 ,$49.77 ,$50.55 ,$52.29 ,$55.26 ,$55.59 ,$67.11 ,$120.05 ,$70.28 
49,$46.87 ,$48.20 ,$50.45 ,$51.17 ,$52.96 ,$56.10 ,$56.49 ,$68.10 ,$121.85 ,$71.55 
50,$47.49 ,$48.81 ,$51.11 ,$51.78 ,$53.58 ,$56.94 ,$57.37 ,$69.28 ,$123.98 ,$72.64 
51,$48.09 ,$49.38 ,$51.78 ,$52.45 ,$54.19 ,$57.71 ,$58.28 ,$70.37 ,$125.95 ,$73.81 
52,$48.66 ,$49.99 ,$52.45 ,$53.13 ,$54.80 ,$58.50 ,$59.12 ,$71.46 ,$127.92 ,$74.72 
53,$49.20 ,$50.60 ,$53.13 ,$53.80 ,$55.48 ,$59.29 ,$59.95 ,$72.64 ,$130.05 ,$75.62 
54,$49.72 ,$51.22 ,$53.80 ,$54.52 ,$56.20 ,$60.07 ,$60.81 ,$73.71 ,$132.02 ,$76.61 
55,$50.22 ,$51.84 ,$54.47 ,$55.31 ,$56.94 ,$60.86 ,$61.64 ,$74.80 ,$133.98 ,$77.62 
56,$50.73 ,$52.45 ,$55.14 ,$56.10 ,$57.61 ,$61.58 ,$62.47 ,$75.71 ,$135.62 ,$78.61 
57,$51.29 ,$53.08 ,$55.82 ,$56.88 ,$58.39 ,$62.31 ,$63.25 ,$76.89 ,$137.75 ,$79.70 
58,$51.84 ,$53.69 ,$56.49 ,$57.61 ,$59.23 ,$63.04 ,$63.97 ,$78.15 ,$140.05 ,$80.60 
59,$52.34 ,$54.25 ,$57.10 ,$58.28 ,$60.07 ,$63.77 ,$64.71 ,$79.33 ,$142.17 ,$81.51 
60,$52.90 ,$54.80 ,$57.71 ,$58.94 ,$60.86 ,$64.44 ,$65.43 ,$80.60 ,$144.47 ,$82.68 
61,$53.41 ,$55.31 ,$58.28 ,$59.55 ,$61.64 ,$65.09 ,$66.11 ,$81.78 ,$146.60 ,$83.95 
62,$53.97 ,$55.82 ,$58.83 ,$60.12 ,$62.36 ,$65.71 ,$66.78 ,$83.04 ,$148.89 ,$85.04 
63,$54.47 ,$56.33 ,$59.34 ,$60.62 ,$63.04 ,$66.33 ,$67.40 ,$84.22 ,$151.02 ,$86.30 
64,$54.97 ,$56.82 ,$59.84 ,$61.13 ,$63.72 ,$66.88 ,$67.95 ,$85.40 ,$153.15 ,$87.29 
65,$55.48 ,$57.32 ,$60.29 ,$61.64 ,$64.32 ,$67.45 ,$68.52 ,$86.66 ,$155.45 ,$88.20 
66,$55.93 ,$57.77 ,$60.73 ,$62.13 ,$64.89 ,$68.01 ,$69.07 ,$87.84 ,$157.57 ,$89.20 
67,$56.38 ,$58.28 ,$61.13 ,$62.70 ,$65.51 ,$68.57 ,$69.64 ,$89.10 ,$159.87 ,$90.28 
68,$56.76 ,$58.73 ,$61.53 ,$63.32 ,$66.05 ,$69.07 ,$70.19 ,$90.28 ,$162.00 ,$91.46 
69,$57.15 ,$59.23 ,$61.85 ,$63.92 ,$66.55 ,$69.58 ,$70.75 ,$91.46 ,$164.13 ,$92.73 
70,$57.56 ,$59.74 ,$62.19 ,$64.54 ,$67.07 ,$70.08 ,$71.31 ,$92.73 ,$166.42 ,$93.91 
71,$57.94 ,$60.18 ,$62.47 ,$65.09 ,$67.57 ,$70.53 ,$71.87 ,$94.08 ,$168.88 ,$95.09 
72,$58.33 ,$60.62 ,$62.75 ,$65.66 ,$68.08 ,$70.93 ,$72.38 ,$95.53 ,$171.50 ,$96.35 
73,$58.73 ,$61.08 ,$63.04 ,$66.23 ,$68.57 ,$71.31 ,$72.89 ,$96.90 ,$173.96 ,$97.44 
74,$59.12 ,$61.53 ,$63.37 ,$66.78 ,$69.07 ,$71.72 ,$73.33 ,$98.25 ,$176.42 ,$98.52 
75,$59.50 ,$61.98 ,$63.72 ,$67.29 ,$69.58 ,$72.11 ,$73.78 ,$99.52 ,$178.71 ,$99.52 
76,$59.90 ,$62.41 ,$64.10 ,$67.79 ,$70.08 ,$72.49 ,$74.17 ,$100.70 ,$180.84 ,$100.60 
77,$60.35 ,$62.86 ,$64.49 ,$68.29 ,$70.59 ,$72.89 ,$74.56 ,$101.88 ,$182.97 ,$101.78 
78,$60.81 ,$63.37 ,$64.94 ,$68.81 ,$71.10 ,$73.33 ,$74.96 ,$103.05 ,$185.10 ,$102.96 
79,$61.29 ,$63.92 ,$65.38 ,$69.25 ,$71.59 ,$73.78 ,$75.41 ,$104.23 ,$187.23 ,$104.13 
80,$61.80 ,$64.54 ,$65.90 ,$69.75 ,$72.05 ,$74.23 ,$75.85 ,$105.58 ,$189.69 ,$105.41 
81,$62.36 ,$65.16 ,$66.40 ,$70.26 ,$72.55 ,$74.68 ,$76.35 ,$106.76 ,$191.82 ,$106.57 
82,$62.92 ,$65.76 ,$66.97 ,$70.70 ,$73.04 ,$75.12 ,$76.86 ,$108.02 ,$194.12 ,$107.75 
83,$63.53 ,$66.40 ,$67.51 ,$71.20 ,$73.56 ,$75.57 ,$77.42 ,$109.20 ,$196.25 ,$109.03 
84,$64.16 ,$67.02 ,$68.13 ,$71.72 ,$74.06 ,$76.02 ,$77.98 ,$110.38 ,$198.37 ,$110.11 
85,$64.71 ,$67.57 ,$68.75 ,$72.16 ,$74.51 ,$76.53 ,$78.59 ,$111.65 ,$200.67 ,$111.38 
86,$65.28 ,$68.13 ,$69.36 ,$72.66 ,$75.01 ,$77.03 ,$79.21 ,$112.83 ,$202.80 ,$112.56 
87,$65.82 ,$68.63 ,$69.98 ,$73.17 ,$75.51 ,$77.59 ,$79.83 ,$114.01 ,$204.93 ,$113.73 
88,$66.40 ,$69.20 ,$70.59 ,$73.67 ,$76.02 ,$78.15 ,$80.39 ,$115.27 ,$207.22 ,$115.09 
89,$66.97 ,$69.75 ,$71.20 ,$74.17 ,$76.53 ,$78.71 ,$80.95 ,$116.45 ,$209.35 ,$116.26 
90,$67.51 ,$70.32 ,$71.82 ,$74.68 ,$77.03 ,$79.27 ,$81.51 ,$117.90 ,$211.97 ,$117.71 
91,$68.08 ,$70.87 ,$72.43 ,$75.17 ,$77.52 ,$79.83 ,$82.07 ,$119.25 ,$214.43 ,$119.16 
92,$68.63 ,$71.44 ,$73.04 ,$75.73 ,$78.03 ,$80.39 ,$82.62 ,$120.43 ,$216.56 ,$120.43 
93,$69.20 ,$72.00 ,$73.67 ,$76.35 ,$78.54 ,$80.95 ,$83.19 ,$121.70 ,$218.85 ,$121.60 
94,$69.75 ,$72.55 ,$74.29 ,$77.03 ,$79.10 ,$81.45 ,$83.74 ,$122.88 ,$220.98 ,$122.78 
95,$70.32 ,$73.11 ,$74.90 ,$77.75 ,$79.65 ,$82.00 ,$84.31 ,$123.96 ,$222.95 ,$123.96 
96,$70.87 ,$73.67 ,$75.51 ,$78.42 ,$80.21 ,$82.51 ,$84.86 ,$125.13 ,$225.08 ,$125.13 
97,$71.44 ,$74.23 ,$76.14 ,$79.03 ,$80.77 ,$83.01 ,$85.43 ,$126.31 ,$227.21 ,$126.14 
98,$72.00 ,$74.79 ,$76.75 ,$79.71 ,$81.33 ,$83.52 ,$85.92 ,$127.40 ,$229.18 ,$127.22 
99,$72.55 ,$75.35 ,$77.36 ,$80.33 ,$81.89 ,$84.02 ,$86.49 ,$128.58 ,$231.30 ,$128.39 
100,$73.11 ,$75.85 ,$77.98 ,$80.88 ,$82.40 ,$84.52 ,$87.03 ,$129.57 ,$233.11 ,$129.40 
101,$73.67 ,$76.35 ,$78.54 ,$81.39 ,$82.90 ,$84.97 ,$87.60 ,$130.85 ,$235.40 ,$130.66 
102,$74.23 ,$76.86 ,$79.10 ,$81.89 ,$83.40 ,$85.48 ,$88.10 ,$132.02 ,$237.53 ,$131.84 
103,$74.79 ,$77.36 ,$79.65 ,$82.34 ,$83.92 ,$85.92 ,$88.67 ,$133.20 ,$239.67 ,$133.01 
104,$75.35 ,$77.86 ,$80.21 ,$82.85 ,$84.42 ,$86.43 ,$89.22 ,$134.46 ,$241.95 ,$134.19 
105,$75.91 ,$78.37 ,$80.77 ,$83.30 ,$84.91 ,$86.88 ,$89.74 ,$135.64 ,$244.08 ,$135.37 
106,$76.47 ,$78.88 ,$81.33 ,$83.79 ,$85.43 ,$87.38 ,$90.28 ,$136.91 ,$246.38 ,$136.55 
107,$77.03 ,$79.38 ,$81.89 ,$84.31 ,$85.92 ,$87.89 ,$90.79 ,$138.08 ,$248.51 ,$137.72 
108,$77.59 ,$79.88 ,$82.46 ,$84.86 ,$86.43 ,$88.34 ,$91.35 ,$139.26 ,$250.65 ,$138.90 
109,$78.15 ,$80.39 ,$83.01 ,$85.37 ,$86.93 ,$88.83 ,$91.92 ,$140.71 ,$253.27 ,$140.35 
110,$78.71 ,$80.88 ,$83.58 ,$85.92 ,$87.43 ,$89.27 ,$92.42 ,$142.06 ,$255.72 ,$141.80 
111,$79.27 ,$81.39 ,$84.13 ,$86.49 ,$87.94 ,$89.79 ,$92.97 ,$143.34 ,$258.02 ,$143.15 
112,$79.83 ,$81.89 ,$84.69 ,$86.98 ,$88.49 ,$90.23 ,$93.48 ,$144.51 ,$260.15 ,$144.33 
113,$80.39 ,$82.40 ,$85.24 ,$87.48 ,$89.06 ,$90.73 ,$94.04 ,$145.69 ,$262.28 ,$145.50 
114,$80.95 ,$82.90 ,$85.81 ,$88.00 ,$89.61 ,$91.25 ,$94.60 ,$146.95 ,$264.57 ,$146.77 
115,$81.51 ,$83.40 ,$86.36 ,$88.49 ,$90.18 ,$91.74 ,$95.16 ,$148.13 ,$266.70 ,$147.95 
116,$82.07 ,$83.97 ,$86.93 ,$89.01 ,$90.73 ,$92.25 ,$95.67 ,$149.58 ,$269.32 ,$149.40 
117,$82.62 ,$84.52 ,$87.48 ,$89.46 ,$91.30 ,$92.81 ,$96.22 ,$150.76 ,$271.45 ,$150.76 
118,$83.19 ,$85.09 ,$88.05 ,$89.95 ,$91.86 ,$93.32 ,$96.73 ,$151.93 ,$273.58 ,$151.93 
119,$83.74 ,$85.64 ,$88.62 ,$90.47 ,$92.36 ,$93.88 ,$97.29 ,$153.20 ,$275.88 ,$153.11 
120,$84.31 ,$86.21 ,$89.17 ,$90.96 ,$92.86 ,$94.43 ,$97.85 ,$154.38 ,$278.00 ,$154.20 
121,$84.86 ,$86.75 ,$89.74 ,$91.45 ,$93.37 ,$94.99 ,$98.41 ,$155.64 ,$280.30 ,$155.38 
122,$85.43 ,$87.32 ,$90.28 ,$92.02 ,$93.88 ,$95.50 ,$98.92 ,$157.00 ,$282.75 ,$156.82 
123,$85.98 ,$87.89 ,$90.85 ,$92.52 ,$94.31 ,$96.00 ,$99.47 ,$158.18 ,$284.88 ,$157.99 
124,$86.55 ,$88.44 ,$91.40 ,$93.09 ,$94.82 ,$96.56 ,$100.03 ,$159.63 ,$287.51 ,$159.44 
125,$87.10 ,$89.01 ,$91.97 ,$93.65 ,$95.32 ,$97.06 ,$100.54 ,$160.81 ,$289.64 ,$160.62 
126,$87.67 ,$89.56 ,$92.52 ,$94.21 ,$95.88 ,$97.62 ,$101.10 ,$162.07 ,$291.93 ,$161.71 
127,$88.21 ,$90.13 ,$93.09 ,$94.70 ,$96.39 ,$98.12 ,$101.66 ,$163.25 ,$294.07 ,$163.07 
128,$88.78 ,$90.68 ,$93.65 ,$95.22 ,$96.90 ,$98.63 ,$102.22 ,$164.61 ,$296.52 ,$164.42 
129,$89.35 ,$91.25 ,$94.21 ,$95.67 ,$97.46 ,$99.18 ,$102.71 ,$165.87 ,$298.82 ,$165.69 
130,$89.90 ,$91.80 ,$94.77 ,$96.16 ,$98.02 ,$99.69 ,$103.26 ,$167.05 ,$300.95 ,$166.87 
131,$90.47 ,$92.36 ,$95.32 ,$96.67 ,$98.57 ,$100.20 ,$103.83 ,$168.32 ,$303.24 ,$168.04 
132,$91.02 ,$92.91 ,$95.88 ,$97.11 ,$99.13 ,$100.76 ,$104.38 ,$169.68 ,$305.70 ,$169.49 
