Alaska -- Ground Commercial,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11
43,$41.30 ,$42.64 ,$44.55 ,$45.33 ,$47.35 ,$49.31 ,$49.42 ,$59.83 ,$108.30 ,$62.73 
44,$41.92 ,$43.31 ,$45.27 ,$46.06 ,$47.97 ,$50.16 ,$50.26 ,$61.01 ,$110.43 ,$63.74 
45,$42.54 ,$44.00 ,$46.00 ,$46.79 ,$48.58 ,$50.98 ,$51.15 ,$62.29 ,$112.73 ,$64.81 
46,$43.16 ,$44.61 ,$46.67 ,$47.52 ,$49.19 ,$51.83 ,$52.05 ,$63.28 ,$114.53 ,$66.08 
47,$43.76 ,$45.22 ,$47.35 ,$48.18 ,$49.87 ,$52.66 ,$52.95 ,$64.37 ,$116.50 ,$67.26 
48,$44.43 ,$45.84 ,$48.02 ,$48.80 ,$50.54 ,$53.51 ,$53.84 ,$65.36 ,$118.30 ,$68.53 
49,$45.12 ,$46.45 ,$48.70 ,$49.42 ,$51.21 ,$54.35 ,$54.74 ,$66.35 ,$120.10 ,$69.80 
50,$45.74 ,$47.06 ,$49.36 ,$50.03 ,$51.83 ,$55.19 ,$55.62 ,$67.53 ,$122.23 ,$70.89 
51,$46.34 ,$47.63 ,$50.03 ,$50.70 ,$52.44 ,$55.96 ,$56.53 ,$68.62 ,$124.20 ,$72.06 
52,$46.91 ,$48.24 ,$50.70 ,$51.38 ,$53.05 ,$56.75 ,$57.37 ,$69.71 ,$126.17 ,$72.97 
53,$47.45 ,$48.85 ,$51.38 ,$52.05 ,$53.73 ,$57.54 ,$58.20 ,$70.89 ,$128.30 ,$73.87 
54,$47.97 ,$49.47 ,$52.05 ,$52.77 ,$54.45 ,$58.32 ,$59.06 ,$71.96 ,$130.27 ,$74.86 
55,$48.47 ,$50.09 ,$52.72 ,$53.56 ,$55.19 ,$59.11 ,$59.89 ,$73.05 ,$132.23 ,$75.87 
56,$48.98 ,$50.70 ,$53.39 ,$54.35 ,$55.86 ,$59.83 ,$60.72 ,$73.96 ,$133.87 ,$76.86 
57,$49.54 ,$51.33 ,$54.07 ,$55.13 ,$56.64 ,$60.56 ,$61.50 ,$75.14 ,$136.00 ,$77.95 
58,$50.09 ,$51.94 ,$54.74 ,$55.86 ,$57.48 ,$61.29 ,$62.22 ,$76.40 ,$138.30 ,$78.85 
59,$50.59 ,$52.50 ,$55.35 ,$56.53 ,$58.32 ,$62.02 ,$62.96 ,$77.58 ,$140.42 ,$79.76 
60,$51.15 ,$53.05 ,$55.96 ,$57.19 ,$59.11 ,$62.69 ,$63.68 ,$78.85 ,$142.72 ,$80.93 
61,$51.66 ,$53.56 ,$56.53 ,$57.80 ,$59.89 ,$63.34 ,$64.36 ,$80.03 ,$144.85 ,$82.20 
62,$52.22 ,$54.07 ,$57.08 ,$58.37 ,$60.61 ,$63.96 ,$65.03 ,$81.29 ,$147.14 ,$83.29 
63,$52.72 ,$54.58 ,$57.59 ,$58.87 ,$61.29 ,$64.58 ,$65.65 ,$82.47 ,$149.27 ,$84.55 
64,$53.22 ,$55.07 ,$58.09 ,$59.38 ,$61.97 ,$65.13 ,$66.20 ,$83.65 ,$151.40 ,$85.54 
65,$53.73 ,$55.57 ,$58.54 ,$59.89 ,$62.57 ,$65.70 ,$66.77 ,$84.91 ,$153.70 ,$86.45 
66,$54.18 ,$56.02 ,$58.98 ,$60.38 ,$63.14 ,$66.26 ,$67.32 ,$86.09 ,$155.82 ,$87.45 
67,$54.63 ,$56.53 ,$59.38 ,$60.95 ,$63.76 ,$66.82 ,$67.89 ,$87.35 ,$158.12 ,$88.53 
68,$55.01 ,$56.98 ,$59.78 ,$61.57 ,$64.30 ,$67.32 ,$68.44 ,$88.53 ,$160.25 ,$89.71 
69,$55.40 ,$57.48 ,$60.10 ,$62.17 ,$64.80 ,$67.83 ,$69.00 ,$89.71 ,$162.38 ,$90.98 
70,$55.81 ,$57.99 ,$60.44 ,$62.79 ,$65.32 ,$68.33 ,$69.56 ,$90.98 ,$164.67 ,$92.16 
71,$56.19 ,$58.43 ,$60.72 ,$63.34 ,$65.82 ,$68.78 ,$70.12 ,$92.33 ,$167.13 ,$93.34 
72,$56.58 ,$58.87 ,$61.00 ,$63.91 ,$66.33 ,$69.18 ,$70.63 ,$93.78 ,$169.75 ,$94.60 
73,$56.98 ,$59.33 ,$61.29 ,$64.48 ,$66.82 ,$69.56 ,$71.14 ,$95.15 ,$172.21 ,$95.69 
74,$57.37 ,$59.78 ,$61.62 ,$65.03 ,$67.32 ,$69.97 ,$71.58 ,$96.50 ,$174.67 ,$96.77 
75,$57.75 ,$60.23 ,$61.97 ,$65.54 ,$67.83 ,$70.36 ,$72.03 ,$97.77 ,$176.96 ,$97.77 
76,$58.15 ,$60.66 ,$62.35 ,$66.04 ,$68.33 ,$70.74 ,$72.42 ,$98.95 ,$179.09 ,$98.85 
77,$58.60 ,$61.11 ,$62.74 ,$66.54 ,$68.84 ,$71.14 ,$72.81 ,$100.13 ,$181.22 ,$100.03 
78,$59.06 ,$61.62 ,$63.19 ,$67.06 ,$69.35 ,$71.58 ,$73.21 ,$101.30 ,$183.35 ,$101.21 
79,$59.54 ,$62.17 ,$63.63 ,$67.50 ,$69.84 ,$72.03 ,$73.66 ,$102.48 ,$185.48 ,$102.38 
80,$60.05 ,$62.79 ,$64.15 ,$68.00 ,$70.30 ,$72.48 ,$74.10 ,$103.83 ,$187.94 ,$103.66 
81,$60.61 ,$63.41 ,$64.65 ,$68.51 ,$70.80 ,$72.93 ,$74.60 ,$105.01 ,$190.07 ,$104.82 
82,$61.17 ,$64.01 ,$65.22 ,$68.95 ,$71.29 ,$73.37 ,$75.11 ,$106.27 ,$192.37 ,$106.00 
