ZONE CHART,,,,,,

UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 425-01 to 426-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air
,,,,,,
004-005,5,305,205,245,135,105
006-007,45,-,225,-,-,125
8,[1],-,[1],-,-,[1]
9,45,-,225,-,-,125
010-046,5,305,205,245,135,105
47,6,306,206,-,136,106
048-069,5,305,205,245,135,105
070-089,4,304,204,244,134,104
090-099,-,-,-,-,-,-
100-104,4,304,204,244,134,104
105-109,5,305,205,245,135,105
110-113,4,304,204,244,134,104
114-115,5,305,205,245,135,105
116,4,304,204,244,134,104
117-126,5,305,205,245,135,105
127,4,304,204,244,134,104
128-129,5,305,205,245,135,105
130-132,4,304,204,244,134,104
133-136,5,305,205,245,135,105
137-149,4,304,204,244,134,104
150-154,3,303,203,243,133,103
155-199,4,304,204,244,134,104
200-239,4,304,204,244,134,104
240-241,3,303,203,243,133,103
242,2,302,202,242,132,102
243-253,3,303,203,243,133,103
254,4,304,204,244,134,104
255-257,2,302,202,242,132,102
258-266,3,303,203,243,133,103
267,4,304,204,244,134,104
268-274,3,303,203,243,133,103
275-279,4,304,204,244,134,104
280-282,3,303,203,243,133,103
283-285,4,304,204,244,134,104
286,3,303,203,243,133,103
287-289,2,302,202,242,132,102
290-293,3,303,203,243,133,103
294-295,4,304,204,244,134,104
296-297,3,303,203,243,133,103
298-299,4,304,204,244,134,104
300-303,3,303,203,243,133,103
304,4,304,204,244,134,104
305-306,3,303,203,243,133,103
307,2,302,202,242,132,102
308-309,4,304,204,244,134,104
310-312,3,303,203,243,133,103
313-328,4,304,204,244,134,104
329-339,5,305,205,245,135,105
340,-,-,-,-,-,-
341-342,5,305,205,245,135,105
344,4,304,204,244,134,104
346,5,305,205,245,135,105
347,4,304,204,244,134,104
349,5,305,205,245,135,105
350-353,3,303,203,243,133,103
354,4,304,204,244,134,104
355-359,3,303,203,243,133,103
360-361,4,304,204,244,134,104
362,3,303,203,243,133,103
363-367,4,304,204,244,134,104
368,3,303,203,243,133,103
369,4,304,204,-,134,104
370-374,2,302,202,242,132,102
375,4,304,204,-,-,104
376-379,2,302,202,242,132,102
380-381,4,304,204,244,134,104
382-384,3,303,203,243,133,103
385,2,302,202,242,132,102
386-387,4,304,204,244,134,104
388,3,303,203,243,133,103
389-398,4,304,204,244,134,104
399,3,303,203,243,133,103
400-418,2,302,202,242,132,102
420,3,303,203,243,133,103
421-423,2,302,202,242,132,102
424,3,303,203,243,133,103
425-427,2,302,202,242,132,102
430-443,3,303,203,243,133,103
444-445,4,304,204,244,134,104
446-449,3,303,203,243,133,103
450-452,2,302,202,242,132,102
453-458,3,303,203,243,133,103
459,2,302,202,242,132,102
460-462,3,303,203,243,133,103
463-466,4,304,204,244,134,104
467-469,3,303,203,243,133,103
470-472,2,302,202,242,132,102
473-474,3,303,203,243,133,103
475,2,302,202,242,132,102
476-479,3,303,203,243,133,103
480-499,4,304,204,244,134,104
500-504,4,304,204,244,134,104
505,5,305,205,245,135,105
506-509,4,304,204,244,134,104
510-515,5,305,205,245,135,105
516-539,4,304,204,244,134,104
540,5,305,205,245,135,105
541-544,4,304,204,244,134,104
545,5,305,205,-,135,105
546-547,4,304,204,244,134,104
548,5,305,205,245,135,105
549,4,304,204,244,134,104
550-558,5,305,205,245,135,105
559,4,304,204,244,134,104
560-576,5,305,205,245,135,105
577,6,306,206,246,136,106
580-582,5,305,205,245,135,105
583,6,306,206,-,136,106
584,5,305,205,245,135,105
585-593,6,306,206,246,136,106
594-599,7,307,207,247,137,107
600-608,4,304,204,244,134,104
609,3,303,203,243,133,103
610-616,4,304,204,244,134,104
617-622,3,303,203,243,133,103
623,4,304,204,244,134,104
624-633,3,303,203,243,133,103
634-636,4,304,204,244,134,104
637-639,3,303,203,243,133,103
640-667,4,304,204,244,134,104
