UPS Standard to Canada,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,
Rates do not include a fuel surcharge.,,,,,,

Weight Not To Exceed,Zone 51,Zone 52,Zone 53,Zone 54,Zone 55,Zone 56

94,$60.15 ,$67.05 ,$75.35 ,$92.60 ,$103.55 ,$116.55 
96,$60.85 ,$68.30 ,$76.60 ,$94.55 ,$105.65 ,$119.00 
98,$61.55 ,$69.60 ,$77.95 ,$96.50 ,$107.85 ,$121.45 
100,$62.25 ,$70.85 ,$79.25 ,$98.45 ,$110.00 ,$123.95 
105,$65.55 ,$74.70 ,$84.85 ,$103.35 ,$115.70 ,$130.10 
110,$68.00 ,$78.55 ,$90.35 ,$108.20 ,$121.40 ,$136.25 
115,$70.40 ,$82.35 ,$95.40 ,$113.10 ,$127.10 ,$142.45 
120,$72.60 ,$86.20 ,$100.15 ,$118.05 ,$132.80 ,$148.60 
125,$74.70 ,$89.90 ,$104.65 ,$122.90 ,$138.50 ,$154.70 
130,$76.65 ,$92.65 ,$108.55 ,$127.80 ,$144.20 ,$160.90 
135,$78.65 ,$95.45 ,$112.45 ,$133.20 ,$149.90 ,$167.05 
140,$80.60 ,$98.20 ,$116.40 ,$138.65 ,$155.55 ,$173.20 
145,$82.55 ,$101.00 ,$120.30 ,$144.05 ,$161.15 ,$179.35 
150,$84.50 ,$103.75 ,$124.15 ,$149.45 ,$166.55 ,$185.50 
151-199,$0.52 ,$0.67 ,$0.82 ,$0.98 ,$1.10 ,$1.22 
Min,$84.50 ,$103.75 ,$124.15 ,$149.45 ,$166.55 ,$185.50 
200-499,$0.46 ,$0.66 ,$0.78 ,$0.96 ,$1.08 ,$1.22 
Min,$103.48 ,$133.33 ,$163.18 ,$195.02 ,$218.90 ,$242.78 
500+,$0.40 ,$0.60 ,$0.74 ,$0.89 ,$1.07 ,$1.19 
Min,$229.54 ,$329.34 ,$389.22 ,$479.04 ,$538.92 ,$608.78 
