Next Day Air -- Origin Hawaii,,,,,
Daily Rates,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,
Rates do not include a fuel surcharge.,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,

Weight Not To Exceed,Zone 12,Zone 22,Zone 142,Zone 144,Zone 146

84,$40.00 ,$40.00 ,$226.75 ,$226.75 ,$237.75 
85,$40.50 ,$40.50 ,$229.50 ,$229.50 ,$240.75 
86,$41.00 ,$41.00 ,$232.25 ,$232.25 ,$243.50 
87,$41.50 ,$41.50 ,$235.00 ,$235.00 ,$246.25 
88,$41.75 ,$41.75 ,$237.50 ,$237.50 ,$248.75 
89,$42.00 ,$42.00 ,$240.25 ,$240.25 ,$251.50 
90,$42.25 ,$42.25 ,$243.50 ,$243.50 ,$254.50 
91,$42.50 ,$42.50 ,$246.50 ,$246.50 ,$257.50 
92,$43.00 ,$43.00 ,$249.25 ,$249.25 ,$260.25 
93,$43.25 ,$43.25 ,$252.00 ,$252.00 ,$263.00 
94,$43.50 ,$43.50 ,$255.00 ,$255.00 ,$265.75 
95,$43.75 ,$43.75 ,$257.75 ,$257.75 ,$268.50 
96,$44.00 ,$44.00 ,$260.75 ,$260.75 ,$271.75 
97,$44.25 ,$44.25 ,$263.50 ,$263.50 ,$274.75 
98,$44.50 ,$44.50 ,$266.25 ,$266.25 ,$277.25 
99,$44.75 ,$44.75 ,$268.50 ,$268.50 ,$279.75 
100,$45.00 ,$45.00 ,$271.00 ,$271.00 ,$282.25 
101,$45.25 ,$45.25 ,$273.50 ,$273.50 ,$284.75 
102,$45.75 ,$45.75 ,$276.00 ,$276.00 ,$287.00 
103,$46.00 ,$46.00 ,$278.25 ,$278.25 ,$289.50 
104,$46.50 ,$46.50 ,$281.00 ,$281.00 ,$292.00 
105,$47.00 ,$47.00 ,$283.75 ,$283.75 ,$294.75 
106,$47.50 ,$47.50 ,$286.25 ,$286.25 ,$297.50 
107,$47.75 ,$47.75 ,$288.75 ,$288.75 ,$300.25 
108,$48.00 ,$48.00 ,$291.50 ,$291.50 ,$303.00 
109,$48.25 ,$48.25 ,$294.25 ,$294.25 ,$305.75 
110,$48.50 ,$48.50 ,$297.00 ,$297.00 ,$308.50 
111,$48.75 ,$48.75 ,$300.00 ,$300.00 ,$311.00 
112,$49.00 ,$49.00 ,$303.00 ,$303.00 ,$313.75 
113,$49.25 ,$49.25 ,$305.50 ,$305.50 ,$316.25 
114,$49.75 ,$49.75 ,$308.00 ,$308.00 ,$319.00 
115,$50.00 ,$50.00 ,$310.75 ,$310.75 ,$321.75 
116,$50.50 ,$50.50 ,$313.50 ,$313.50 ,$324.25 
117,$51.00 ,$51.00 ,$316.00 ,$316.00 ,$327.00 
118,$51.25 ,$51.25 ,$319.00 ,$319.00 ,$330.00 
119,$51.50 ,$51.50 ,$321.75 ,$321.75 ,$333.00 
120,$52.00 ,$52.00 ,$324.25 ,$324.25 ,$336.00 
121,$52.25 ,$52.25 ,$327.00 ,$327.00 ,$338.75 
122,$52.75 ,$52.75 ,$329.50 ,$329.50 ,$341.25 
123,$53.00 ,$53.00 ,$332.00 ,$332.00 ,$343.50 
124,$53.25 ,$53.25 ,$334.75 ,$334.75 ,$346.25 
125,$53.50 ,$53.50 ,$338.00 ,$338.00 ,$349.25 
126,$53.75 ,$53.75 ,$341.00 ,$341.00 ,$352.00 
127,$54.00 ,$54.00 ,$343.50 ,$343.50 ,$354.25 
128,$54.50 ,$54.50 ,$346.00 ,$346.00 ,$357.00 
129,$54.75 ,$54.75 ,$348.75 ,$348.75 ,$359.75 
130,$55.00 ,$55.00 ,$351.50 ,$351.50 ,$362.25 
131,$55.25 ,$55.25 ,$353.75 ,$353.75 ,$365.00 
132,$55.50 ,$55.50 ,$356.75 ,$356.75 ,$368.00 
133,$56.00 ,$56.00 ,$359.25 ,$359.25 ,$371.00 
