ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 590-01 to 591-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,7,307,207,247,137,107
006-007,-,-,225,-,-,125
008,-,-,[1],-,-,[1]
009,-,-,225,-,-,125
010-013,7,307,207,247,137,107
014-033,8,308,208,248,138,108
034-037,7,307,207,247,137,107
038-049,8,308,208,248,138,108
050-054,7,307,207,247,137,107
055,8,308,208,248,138,108
056-061,7,307,207,247,137,107
062-065,8,308,208,248,138,108
066-089,7,307,207,247,137,107
090-099,-,-,-,-,-,-
100-118,7,307,207,247,137,107
119,8,308,208,248,138,108
120-199,7,307,207,247,137,107
200-299,7,307,207,247,137,107
300-326,7,307,207,247,137,107
327-339,8,308,208,248,138,108
340,-,-,-,-,-,-
341-342,8,308,208,248,138,108
344,7,307,207,247,137,107
346-349,8,308,208,248,138,108
350-353,7,307,207,247,137,107
354-358,6,306,206,246,136,106
359-368,7,307,207,247,137,107
369-372,6,306,206,246,136,106
373-374,7,307,207,247,137,107
375,6,306,206,-,-,106
376-379,7,307,207,247,137,107
380-393,6,306,206,246,136,106
394-395,7,307,207,247,137,107
396-397,6,306,206,246,136,106
398-399,7,307,207,247,137,107
400-410,6,306,206,246,136,106
411-412,7,307,207,247,137,107
413-414,6,306,206,-,136,106
415-418,7,307,207,247,137,107
420-438,6,306,206,246,136,106
439,7,307,207,247,137,107
440-443,6,306,206,246,136,106
444-447,7,307,207,247,137,107
448-497,6,306,206,246,136,106
498-499,5,305,205,245,135,105
500-528,5,305,205,245,135,105
530-534,6,306,206,246,136,106
535-566,5,305,205,245,135,105
567-576,4,304,204,244,134,104
577,3,303,203,243,133,103
580-585,4,304,204,244,134,104
586,3,303,203,243,133,103
587,4,304,204,244,134,104
588,3,303,203,243,133,103
590-591,2,302,202,242,132,102
592,3,303,203,-,-,103
593,2,302,202,-,-,102
594-599,3,303,203,243,133,103
600-609,6,306,206,246,136,106
610-612,5,305,205,245,135,105
613,6,306,206,246,136,106
614-616,5,305,205,245,135,105
617-622,6,306,206,246,136,106
623,5,305,205,245,135,105
624-633,6,306,206,246,136,106
634-635,5,305,205,245,135,105
636-639,6,306,206,246,136,106
640-653,5,305,205,245,135,105
654-655,6,306,206,246,136,106
656-676,5,305,205,245,135,105
677,4,304,204,-,-,104
678-689,5,305,205,245,135,105
690-693,4,304,204,244,134,104
700-704,7,307,207,247,137,107
705-706,6,306,206,246,136,106
707-709,7,307,207,247,137,107
710-726,6,306,206,246,136,106
727,5,305,205,245,135,105
728-729,6,306,206,246,136,106
730-732,5,305,205,245,135,105
733,6,306,206,-,-,106
734-746,5,305,205,245,135,105
747,6,306,206,-,136,106
748,5,305,205,245,135,105
749-762,6,306,206,246,136,106
763,5,305,205,245,135,105
764-784,6,306,206,246,136,106
785,7,307,207,247,137,107
786-789,6,306,206,246,136,106
790-794,5,305,205,245,135,105
795-797,6,306,206,246,136,106
798-799,5,305,205,245,135,105
800-820,4,304,204,244,134,104
821,2,302,202,-,-,102
822-823,3,303,203,-,133,103
824,2,302,202,-,132,102
825-827,3,303,203,243,133,103
828,2,302,202,-,132,102
829-832,3,303,203,243,133,103
833,4,304,204,244,134,104
834,3,303,203,243,133,103
835-847,4,304,204,244,134,104
850-892,5,305,205,245,135,105
893,4,304,204,-,-,104
894-897,5,305,205,245,135,105
898,4,304,204,-,-,104
900-961,5,305,205,245,135,105
962-966,-,-,-,-,-,-
967-968,-,-,[2],-,-,[2]
969,-,-,[1],-,-,[1]
970-977,5,305,205,245,135,105
978-979,4,304,204,-,134,104
980-986,5,305,205,245,135,105
988-994,4,304,204,244,134,104
995-999,-,-,[3],-,-,[3]



"[1] For Virgin Islands, Guam, Marshall Islands, etc., please refer to the Worldwide Rate and Zone information.",,,,,,

"[2] For Hawaii, the following Postal Codes are Zone 124 for Next Day Air and Zone 224 for 2nd Day Air:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96701,96706,96707,96709,96712,96717,96730,96731,96734,96744,96759,96762,96782,96786,96789,96791,96792,96795,96797,96801,96802,96803,96804,96805,96806,96807,96808,96809,96810,96811,96812,96813,96814,96815,96816,96817,96818,96819,96820,96821,96822,96823,96824,96825,96826,96827,96828,96830,96835,96836,96837,96838,96839,96840,96841,96842,96843,96844,96845,96846,96847,96848,96849,96850,96853,96854,96857,96858,96859,96860,96861,96862,96863,96898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Hawaii, the following Postal Codes are Zone 126 for Next Day Air and Zone 226 for 2nd Day Air:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96703,96704,96705,96708,96710,96713,96714,96715,96716,96718,96719,96720,96721,96722,96725,96726,96727,96728,96729,96732,96733,96737,96738,96739,96740,96741,96742,96743,96745,96746,96747,96748,96749,96750,96751,96752,96753,96754,96755,96756,96757,96760,96761,96763,96764,96765,96766,96767,96768,96769,96770,96771,96772,96773,96774,96775,96776,96777,96778,96779,96780,96781,96783,96784,96785,96788,96790,96793,96796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"[3] For Alaska, the following Postal Codes are Zone 124 for Next Day Air and Zone 224 for 2nd Day Air:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99501,99502,99503,99504,99505,99506,99507,99508,99509,99510,99511,99512,99513,99514,99515,99516,99517,99518,99519,99520,99521,99522,99523,99524,99540,99556,99567,99568,99572,99577,99587,99603,99605,99610,99611,99631,99635,99639,99645,99654,99664,99669,99672,99687,99701,99702,99703,99705,99706,99707,99708,99709,99710,99711,99712,99775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Alaska, the following Postal Codes are Zone 126 for Next Day Air and Zone 226 for 2nd Day Air:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
