ZONE CHART,,,,,,

UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 290-01 to 292-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air
,,,,,,
004-005,5,305,205,245,135,105
006-007,45,-,225,-,-,125
8,[1],-,[1],-,-,[1]
9,45,-,225,-,-,125
010-045,5,305,205,245,135,105
046-047,6,306,206,-,136,106
048-069,5,305,205,245,135,105
070-089,4,304,204,244,134,104
090-099,-,-,-,-,-,-
100-104,4,304,204,244,134,104
105-109,5,305,205,245,135,105
110-113,4,304,204,244,134,104
114-115,5,305,205,245,135,105
116,4,304,204,244,134,104
117-146,5,305,205,245,135,105
147,4,304,204,244,134,104
148-149,5,305,205,245,135,105
150-187,4,304,204,244,134,104
188,5,305,205,-,-,105
189-199,4,304,204,244,134,104
200-238,4,304,204,244,134,104
239-243,3,303,203,243,133,103
244,4,304,204,244,134,104
245-253,3,303,203,243,133,103
254,4,304,204,244,134,104
255-259,3,303,203,243,133,103
260-268,4,304,204,244,134,104
270-278,3,303,203,243,133,103
279,4,304,204,244,134,104
280-282,2,302,202,242,132,102
283-285,3,303,203,243,133,103
286-288,2,302,202,242,132,102
289,3,303,203,-,-,103
290-299,2,302,202,242,132,102
300-303,3,303,203,243,133,103
304-306,2,302,202,242,132,102
307,3,303,203,243,133,103
308-310,2,302,202,242,132,102
311,3,303,203,243,133,103
312-314,2,302,202,242,132,102
315-323,3,303,203,243,133,103
324-325,4,304,204,244,134,104
326,3,303,203,243,133,103
327-339,4,304,204,244,134,104
340,-,-,-,-,-,-
341-342,4,304,204,244,134,104
344,3,303,203,243,133,103
346-358,4,304,204,244,134,104
359-363,3,303,203,243,133,103
364-367,4,304,204,244,134,104
368,3,303,203,243,133,103
369-372,4,304,204,244,134,104
373-374,3,303,203,243,133,103
375,4,304,204,-,-,104
376-379,3,303,203,243,133,103
380-384,4,304,204,244,134,104
385,3,303,203,243,133,103
386-397,4,304,204,244,134,104
398-399,3,303,203,243,133,103
400-406,4,304,204,244,134,104
407-409,3,303,203,-,133,103
410-412,4,304,204,244,134,104
413-418,3,303,203,243,133,103
420-424,4,304,204,244,134,104
425-426,3,303,203,243,133,103
427-462,4,304,204,244,134,104
463-464,5,305,205,245,135,105
465-483,4,304,204,244,134,104
484-491,5,305,205,245,135,105
492,4,304,204,244,134,104
493-499,5,305,205,245,135,105
500-555,5,305,205,245,135,105
556-558,6,306,206,246,136,106
559-561,5,305,205,245,135,105
562-585,6,306,206,246,136,106
586-593,7,307,207,247,137,107
594,8,308,208,248,138,108
595,7,307,207,-,-,107
596-599,8,308,208,248,138,108
600-616,5,305,205,245,135,105
617-622,4,304,204,244,134,104
623,5,305,205,245,135,105
624,4,304,204,244,134,104
625-627,5,305,205,245,135,105
628-633,4,304,204,244,134,104
634-635,5,305,205,245,135,105
636-639,4,304,204,244,134,104
640-675,5,305,205,245,135,105
676-679,6,306,206,246,136,106
680-686,5,305,205,245,135,105
687-693,6,306,206,246,136,106
700-702,4,304,204,244,134,104
703,5,305,205,245,135,105
704,4,304,204,244,134,104
705-722,5,305,205,245,135,105
723-725,4,304,204,244,134,104
726-737,5,305,205,245,135,105
738-739,6,306,206,246,136,106
740-767,5,305,205,245,135,105
768-769,6,306,206,246,136,106
770-779,5,305,205,245,135,105
780-785,6,306,206,246,136,106
786-787,5,305,205,245,135,105
788,6,306,206,246,136,106
789,5,305,205,-,-,105
790-797,6,306,206,246,136,106
798-799,7,307,207,247,137,107
800-811,6,306,206,246,136,106
812-816,7,307,207,247,137,107
820,6,306,206,246,136,106
821,7,307,207,-,-,107
822,6,306,206,-,136,106
823-832,7,307,207,247,137,107
833,8,308,208,248,138,108
834,7,307,207,247,137,107
835-838,8,308,208,248,138,108
840-853,7,307,207,247,137,107
854,8,308,208,-,-,108
855-863,7,307,207,247,137,107
