Extended Area Surcharge Listing
"EFFECTIVE JANUARY 5, 2004"

"An Extended Area Surcharge applies to UPS Worldwide Express Plus, "
"UPS Worldwide Express, and UPS Worldwide Expedited shipments to all"
the destinations and from certain origins listed in the following chart.

Locate the destination or origin country.  Locate the Postal Code or City.
"If the Postal Code or City is not listed, ""All Other Points"" applies."

"If ""YES"" is indicated in the ""Extended Area Surcharge"" column next to the"
"destination, a surcharge applies to your export shipment."

"If ""YES"" is indicated in the ""Extended Area Surcharge"" column AND "
"an asterisk is shown next to the origin, a surcharge applies to your import shipment."

"If a surcharge applies, add $20 or $.20 per pound (whichever is greater) to the ",,,
charges for your shipment.,,,

"Note: In the Extended Area Surcharge postal code listings for France, Guatemala, ",,,
"and Spain, some programs may drop the leading zeros.  For example, 6260 ",,,
should actually read as 06260.,,,

Destination,,,Extended Area
Country,Postal Codes,Cities,Surcharge

Canada,P3N0A0-P3P9Z9,,Yes
Canada,P4N0A0-P4R9Z9,,Yes
Canada,P5A0A0-P5A9Z9,,Yes
Canada,P5N0A0-P5N9Z9,,Yes
Canada,P8N0A0-P8N9Z9,,Yes
Canada,P8T0A0-P8T9Z9,,Yes
Canada,P9A0A0-P9A9Z9,,Yes
Canada,P9N0A0-P9N9Z9,,Yes
Canada,R0A0A0-R2B9Z9,,Yes
Canada,R4B0A0-R9Z9Z9,,Yes
Canada,S0A0A0-S0Z9Z9,,Yes
Canada,S3N0A0-S3N9Z9,,Yes
Canada,S4A0A0-S4A9Z9,,Yes
Canada,S4H0A0-S4H9Z9,,Yes
Canada,S5A0A0-S7G9Z9,,Yes
Canada,S7W0A0-S9Z9Z9,,Yes
Canada,T0A0A0-T0B9Z9,,Yes
Canada,T0E0A0-T1W9Z9,,Yes
Canada,T6Y0A0-T7W9Z9,,Yes
Canada,T8P0A0-T8Z9Z9,,Yes
Canada,T9G0A0-T9Z9Z9,,Yes
Canada,V0A0A0-V1L9Z9,,Yes
Canada,V1N0A0-V1N9Z9,,Yes
Canada,V1P1N3-V1R9Z9,,Yes
Canada,V1S1Z8-V1U9Z9,,Yes
Canada,V1V2P8-V1V9Z9,,Yes
Canada,V1W4Y9-V1W9Z9,,Yes
Canada,V1X7Y0-V1X9Z9,,Yes
Canada,V1Y9W9-V1Z1A2,,Yes
Canada,V1Z4A1-V2R9Z9,,Yes
Canada,V8A0A0-V8K9Z9,,Yes
Canada,V9G0A0-V9Z9Z9,,Yes
Canada,X0A0A0-X9Z9Z9,,Yes
Canada,Y0A0A0-Y9Z9Z9,,Yes
Canada,All Other Points,,

Chile,,ACHAO                                             ,Yes
Chile,,ALGARROBO                                         ,Yes
Chile,,ALTO HOSPICIO                                     ,Yes
Chile,,ANCUD                                             ,Yes
Chile,,ANDACOLLO                                         ,Yes
Chile,,ANGOL                                             ,Yes
Chile,,ARAUCO                                            ,Yes
Chile,,BAHIA INGLESA                                     ,Yes
Chile,,BALMACEDA                                         ,Yes
Chile,,BAQUEDANO                                         ,Yes
Chile,,BATUCO                                            ,Yes
Chile,,BUIN                                              ,Yes
Chile,,BULNES                                            ,Yes
Chile,,CABILDO                                           ,Yes
Chile,,CABRERO                                           ,Yes
Chile,,CACHAGUA                                          ,Yes
Chile,,CALBUCO                                           ,Yes
Chile,,CALDERA                                           ,Yes
Chile,,CALERA DE TANGO                                   ,Yes
Chile,,CANETE                                            ,Yes
Chile,,CARAMPANGUE                                       ,Yes
Chile,,CAREN                                             ,Yes
Chile,,CASTRO                                            ,Yes
Chile,,CATEMU                                            ,Yes
Chile,,CAUQUENES                                         ,Yes
Chile,,CERRILLOS                                         ,Yes
Chile,,CHAITEN                                           ,Yes
Chile,,CHANARAL                                          ,Yes
Chile,,CHEPICA                                           ,Yes
Chile,,CHIGUAYANTE                                       ,Yes
Chile,,CHILE CHICO                                       ,Yes
Chile,,CHIMBARONGO                                       ,Yes
Chile,,CHONCHI                                           ,Yes
Chile,,CHUQUICAMATA                                      ,Yes
Chile,,CODEGUA                                           ,Yes
Chile,,COELEMU                                           ,Yes
Chile,,COIHUECO                                          ,Yes
Chile,,COINCO                                            ,Yes
Chile,,COLBUN                                            ,Yes
Chile,,COLINA                                            ,Yes
Chile,,COLLIPULLI                                        ,Yes
Chile,,COLTAUCO                                          ,Yes
Chile,,COMBARBALA                                        ,Yes
Chile,,CON CON                                           ,Yes
Chile,,CONSTITUCION                                      ,Yes
Chile,,CORONEL                                           ,Yes
Chile,,CORRAL                                            ,Yes
Chile,,COSTA AZUL                                        ,Yes
Chile,,COYHAIQUE                                         ,Yes
Chile,,CURANILAHUE                                       ,Yes
Chile,,CUREPTO                                           ,Yes
Chile,,DICHATO                                           ,Yes
Chile,,DIEGO DE ALMAGRO                                  ,Yes
Chile,,DONIHUE                                           ,Yes
Chile,,EL BELLOTO                                        ,Yes
Chile,,EL MELON                                          ,Yes
Chile,,EL MONTE                                          ,Yes
Chile,,EL PAICO                                          ,Yes
Chile,,EL QUISCO                                         ,Yes
Chile,,EL SALVADOR                                       ,Yes
Chile,,EL TABO                                           ,Yes
Chile,,ENTRE LAGOS                                       ,Yes
Chile,,FARELLONES                                        ,Yes
Chile,,FLORIDA                                           ,Yes
Chile,,FREIRINA                                          ,Yes
Chile,,FRESIA                                            ,Yes
Chile,,FRUTILLAR                                         ,Yes
Chile,,FUTRONO                                           ,Yes
Chile,,GRANEROS                                          ,Yes
Chile,,GUANAQUEROS                                       ,Yes
Chile,,HIJUELAS                                          ,Yes
Chile,,HOSPITAL                                          ,Yes
Chile,,HUALQUI                                           ,Yes
Chile,,HUASCO                                            ,Yes
Chile,,ILLAPEL                                           ,Yes
Chile,,ISLA DE MAIPO                                     ,Yes
Chile,,LA CALERA                                         ,Yes
Chile,,LA LIGUA                                          ,Yes
Chile,,LA UNION                                          ,Yes
Chile,,LAGO COCHRANE                                     ,Yes
Chile,,LAGO RANCO                                        ,Yes
Chile,,LAJA                                              ,Yes
Chile,,LANCO                                             ,Yes
Chile,,LAS CABRAS                                        ,Yes
Chile,,LAS CRUCES                                        ,Yes
Chile,,LAS TACAS                                         ,Yes
Chile,,LAUTARO                                           ,Yes
Chile,,LEBU                                              ,Yes
Chile,,LICANTEN                                          ,Yes
Chile,,LIMACHE                                           ,Yes
Chile,,LINARES                                           ,Yes
Chile,,LLANQUIHUE                                        ,Yes
Chile,,LLAY LLAY                                         ,Yes
Chile,,LLOLLEO                                           ,Yes
Chile,,LO MIRANDA                                        ,Yes
Chile,,LONCOCHE                                          ,Yes
Chile,,LONGAVI                                           ,Yes
Chile,,LONQUIMAY                                         ,Yes
Chile,,LONTUE                                            ,Yes
Chile,,LOS ANDES                                         ,Yes
Chile,,LOS LAGOS                                         ,Yes
Chile,,LOS VILOS                                         ,Yes
Chile,,LOTA                                              ,Yes
Chile,,MACHALI                                           ,Yes
Chile,,MAITENSILLO                                       ,Yes
Chile,,MALLARAUCO                                        ,Yes
Chile,,MALLOCO                                           ,Yes
Chile,,MARBELLA                                          ,Yes
Chile,,MARIA ELENA                                       ,Yes
Chile,,MAULE                                             ,Yes
Chile,,MAULLIN                                           ,Yes
Chile,,MEJILLONES                                        ,Yes
Chile,,MELIPILLA                                         ,Yes
Chile,,MIRASOL                                           ,Yes
Chile,,MOLINA                                            ,Yes
Chile,,MONTE PATRIA                                      ,Yes
Chile,,MORRILLOS                                         ,Yes
Chile,,MORRO CHICO                                       ,Yes
Chile,,MULCHEN                                           ,Yes
Chile,,NACIMIENTO                                        ,Yes
Chile,,NANCAGUA                                          ,Yes
Chile,,NEGRETE                                           ,Yes
Chile,,NIEBLA                                            ,Yes
Chile,,NOGALES                                           ,Yes
Chile,,NUEVA IMPERIAL                                    ,Yes
Chile,,OFICINA VICTORIA                                  ,Yes
Chile,,OLMUE                                             ,Yes
Chile,,OVALLE                                            ,Yes
Chile,,PADRE HURTADO                                     ,Yes
Chile,,PAILLACO                                          ,Yes
Chile,,PAINE                                             ,Yes
Chile,,PANGUIPULLI                                       ,Yes
Chile,,PAPUDO                                            ,Yes
Chile,,PARRAL                                            ,Yes
Chile,,PENABLANCA                                        ,Yes
Chile,,PENCO                                             ,Yes
Chile,,PETORCA                                           ,Yes
Chile,,PEUMO                                             ,Yes
Chile,,PICA                                              ,Yes
Chile,,PICHIDANGUI                                       ,Yes
Chile,,PICHIDEGUA                                        ,Yes
Chile,,PICHILEMU                                         ,Yes
Chile,,PINTO                                             ,Yes
Chile,,PIRQUE                                            ,Yes
Chile,,PISAGUA                                           ,Yes
Chile,,POLPAICO                                          ,Yes
Chile,,POMAIRE                                           ,Yes
Chile,,PORVENIR                                          ,Yes
Chile,,POZO ALMONTE                                      ,Yes
Chile,,PUCON                                             ,Yes
Chile,,PUERTO AYSEN                                      ,Yes
Chile,,PUERTO CHABUCO                                    ,Yes
Chile,,PUERTO CISNES                                     ,Yes
Chile,,PUERTO IBANEZ                                     ,Yes
Chile,,PUERTO NATALES                                    ,Yes
Chile,,PUERTO OCTAY                                      ,Yes
Chile,,PUERTO VARAS                                      ,Yes
Chile,,PUERTO WILLIAMS                                   ,Yes
Chile,,PURRANQUE                                         ,Yes
Chile,,PUTAENDO                                          ,Yes
Chile,,QUELLON                                           ,Yes
Chile,,QUILPUE                                           ,Yes
Chile,,QUINTERO                                          ,Yes
Chile,,QUIRIHUE                                          ,Yes
Chile,,QUIRIQUINA                                        ,Yes
Chile,,RECREO                                            ,Yes
Chile,,RENGO                                             ,Yes
Chile,,REQUINOA                                          ,Yes
Chile,,RETIRO                                            ,Yes
Chile,,RINCONADA                                         ,Yes
Chile,,RIO BUENO                                         ,Yes
Chile,,RIO NEGRO                                         ,Yes
Chile,,ROMERAL                                           ,Yes
Chile,,ROSARIO                                           ,Yes
Chile,,SAGRADA FAMILIA                                   ,Yes
Chile,,SALADILLO                                         ,Yes
Chile,,SALAMANCA                                         ,Yes
Chile,,SAN CARLOS                                        ,Yes
Chile,,SAN CLEMENTE                                      ,Yes
Chile,,SAN FELIPE                                        ,Yes
Chile,,SAN FRANCISCO DE MOSTAZAL                         ,Yes
Chile,,SAN JAVIER                                        ,Yes
Chile,,SAN JOSE DE LA MARIQUINA                          ,Yes
Chile,,SAN JOSE DE MAIPO                                 ,Yes
Chile,,SAN PEDRO DE ATACAMA                              ,Yes
Chile,,SAN ROSENDO                                       ,Yes
Chile,,SAN SEBASTIAN                                     ,Yes
Chile,,SAN VICENTE                                       ,Yes
Chile,,SANTA CRUZ                                        ,Yes
Chile,,SANTA FE                                          ,Yes
Chile,,SANTO DOMINGO                                     ,Yes
Chile,,TALAGANTE                                         ,Yes
Chile,,TALTAL                                            ,Yes
Chile,,TENO                                              ,Yes
Chile,,TIERRA AMARILLA                                   ,Yes
Chile,,TILTIL                                            ,Yes
Chile,,TOCOPILLA                                         ,Yes
Chile,,TOME                                              ,Yes
Chile,,TONGOY                                            ,Yes
Chile,,TRAIGUEN                                          ,Yes
Chile,,VALLE HERMOSO                                     ,Yes
Chile,,VALLENAR                                          ,Yes
Chile,,VERTIENTES                                        ,Yes
Chile,,VICHUQUEN                                         ,Yes
Chile,,VICTORIA                                          ,Yes
Chile,,VICUNA                                            ,Yes
Chile,,VILLA ALEGRE                                      ,Yes
Chile,,VILLARRICA                                        ,Yes
Chile,,YUMBEL                                            ,Yes
Chile,,YUNGAY                                            ,Yes
Chile,,ZAPALLAR                                          ,Yes
Chile,All Other Points,,

China,010100-010115,,Yes
China,010200-010211,,Yes
China,010400-010427,,Yes
China,011200-011225,,Yes
China,011300-011369,,Yes
China,011400-011419,,Yes
China,011500-011518,,Yes
China,011600-011621,,Yes
China,011700-011719,,Yes
China,011800-011832,,Yes
China,012200-012218,,Yes
China,012300-012318,,Yes
China,012400-012415,,Yes
China,013250-013265,,Yes
China,013350-013368,,Yes
China,013450-013467,,Yes
China,013550-013565,,Yes
China,013650-013667,,Yes
China,013750-013767,,Yes
China,013800-013819,,Yes
China,014100-014119,,Yes
China,014200-014219,,Yes
China,014300-014328,,Yes
China,014400-014427,,Yes
China,014500-014529,,Yes
China,015100-015128,,Yes
China,015200-015221,,Yes
China,015300-015332,,Yes
China,015400-015422,,Yes
China,015500-015543,,Yes
China,017200-017214,,Yes
China,017300-017318,,Yes
China,017400-017424,,Yes
China,021100-021134,,Yes
China,021200-021221,,Yes
China,021300-021318,,Yes
China,021500-021522,,Yes
China,024200-024237,,Yes
China,024300-024331,,Yes
China,024400-024425,,Yes
China,024500-024533,,Yes
China,025150-025175,,Yes
China,025250-025265,,Yes
China,025350-025386,,Yes
China,025450-025475,,Yes
China,025550-025585,,Yes
China,026200-026229,,Yes
China,026300-026324,,Yes
China,027000-027025,,Yes
China,027200-027223,,Yes
China,027300-027316,,Yes
China,028100-028129,,Yes
China,028200-028221,,Yes
China,028300-028329,,Yes
China,028400-028419,,Yes
China,029100-029124,,Yes
China,029300-029331,,Yes
China,029400-029427,,Yes
China,030100-030107,,Yes
China,030300-030312,,Yes
China,030400-030407,,Yes
China,032100-032113,,Yes
China,032400-032410,,Yes
China,032500-032507,,Yes
China,033100-033106,,Yes
China,033200-033216,,Yes
China,033300-033313,,Yes
China,033400-033406,,Yes
China,033500-033507,,Yes
China,033600-033613,,Yes
China,034200-034211,,Yes
China,034300-034307,,Yes
China,034400-034408,,Yes
China,035100-035108,,Yes
China,035500-035515,,Yes
China,036100-036105,,Yes
China,036200-036206,,Yes
China,036300-036306,,Yes
China,036400-036414,,Yes
China,036700-036712,,Yes
China,037100-037105,,Yes
China,037300-037305,,Yes
China,037400-037413,,Yes
China,037500-037506,,Yes
China,038100-038115,,Yes
China,038200-038211,,Yes
China,038300-038303,,Yes
China,041200-041208,,Yes
China,041300-041308,,Yes
China,041400-041408,,Yes
China,041500-041509,,Yes
China,041600-041614,,Yes
China,042100-042110,,Yes
China,042200-042206,,Yes
China,042300-042305,,Yes
China,042400-042409,,Yes
China,042500-042509,,Yes
China,042600-042608,,Yes
China,043100-043103,,Yes
China,043200-043206,,Yes
China,043400-043409,,Yes
China,043500-043513,,Yes
China,043600-043610,,Yes
China,043700-043711,,Yes
China,043800-043806,,Yes
China,044100-044105,,Yes
China,044200-044205,,Yes
China,044300-044311,,Yes
China,044400-044409,,Yes
China,044600-044608,,Yes
China,045100-045118,,Yes
China,045200-045210,,Yes
China,045300-045314,,Yes
China,045400-045414,,Yes
China,046100-046108,,Yes
China,046200-046209,,Yes
China,046300-046311,,Yes
China,046400-046412,,Yes
China,046500-046512,,Yes
China,046600-046611,,Yes
China,047100-047105,,Yes
China,047300-047308,,Yes
China,047400-047414,,Yes
China,047600-047608,,Yes
China,050100,,Yes
China,050300-050306,,Yes
China,050400-050412,,Yes
China,050500-050504,,Yes
China,050600-050603,,Yes
China,050800-050806,,Yes
China,051130-051134,,Yes
China,051230-051232,,Yes
China,051330,,Yes
China,051430-051432,,Yes
China,051530-051533,,Yes
China,052460,,Yes
China,052560,,Yes
China,053100-053111,,Yes
China,053300-053311,,Yes
China,053400-053411,,Yes
China,053500-053517,,Yes
China,053600-053603,,Yes
China,053700-053703,,Yes
China,053900-053901,,Yes
China,054200-054206,,Yes
China,054300-054305,,Yes
China,054400-054402,,Yes
China,054500-054501,,Yes
China,054600-054602,,Yes
China,054700-054704,,Yes
China,054800-054804,,Yes
China,054900-054902,,Yes
China,055150-055153,,Yes
China,055250-055253,,Yes
China,055350-055354,,Yes
China,055550-055554,,Yes
China,056200-056202,,Yes
China,056400-056407,,Yes
China,056500-056505,,Yes
China,056600-056601,,Yes
China,056700,,Yes
China,056800-056805,,Yes
China,056900-056905,,Yes
China,057150-057154,,Yes
China,057250-057252,,Yes
China,057350-057351,,Yes
China,057450-057452,,Yes
China,057550-057552,,Yes
China,057650-057651,,Yes
China,057750-057753,,Yes
China,061021-061032,,Yes
China,061200-061203,,Yes
China,061300-061304,,Yes
China,061400-061403,,Yes
China,061500-061506,,Yes
China,061600-061605,,Yes
China,061800-061803,,Yes
China,062250-062257,,Yes
China,062350,,Yes
China,062650-062654,,Yes
China,063200-063211,,Yes
China,063500-063511,,Yes
China,063600-063608,,Yes
China,063700-063708,,Yes
China,064000-064013,,Yes
China,064100-064108,,Yes
China,064300-064308,,Yes
China,065400-065406,,Yes
China,065500-065507,,Yes
China,065600-065607,,Yes
China,065800-065812,,Yes
China,065900-065907,,Yes
China,066300-066326,,Yes
China,066400-066407,,Yes
China,066500-066513,,Yes
China,066600-066612,,Yes
China,067300-067307,,Yes
China,067500-067513,,Yes
China,067600-067604,,Yes
China,068150-068164,,Yes
China,068250-068259,,Yes
China,068350-068366,,Yes
China,068450-068467,,Yes
China,071100-071107,,Yes
China,071300-071301,,Yes
China,071400-071404,,Yes
China,071500-071504,,Yes
China,071600-071605,,Yes
China,071700-071703,,Yes
China,071800-071805,,Yes
China,072150-072159,,Yes
China,072250-072254,,Yes
China,072350-072359,,Yes
China,072450-072453,,Yes
China,072550-072558,,Yes
China,072650-072659,,Yes
China,073100-073104,,Yes
China,073200-073207,,Yes
China,074100-074104,,Yes
China,074200-074212,,Yes
China,074300-074312,,Yes
China,075400-075441,,Yes
China,075500-075545,,Yes
China,075600-075651,,Yes
China,075700-075746,,Yes
China,075800-075836,,Yes
China,076150-076196,,Yes
China,076250-076291,,Yes
China,076350-076381,,Yes
China,076450-076491,,Yes
China,076550-076586,,Yes
China,076650-076681,,Yes
China,076750-076781,,Yes
China,110200-110219,,Yes
China,110400-110421,,Yes
China,110500-110517,,Yes
China,112400-112417,,Yes
China,112500-112542,,Yes
China,113200-113221,,Yes
China,113300-113324,,Yes
China,114100-114115,,Yes
China,114300-114324,,Yes
China,116500-116506,,Yes
China,117100-117119,,Yes
China,117200-117221,,Yes
China,118200-118225,,Yes
China,121100-121121,,Yes
China,121400-121419,,Yes
China,122300-122319,,Yes
China,122400-122432,,Yes
China,123100-123139,,Yes
China,123200-123225,,Yes
China,124000-124126,,Yes
China,124200-124219,,Yes
China,125200-125218,,Yes
China,125300-125331,,Yes
China,130200-130232,,Yes
China,131100-131129,,Yes
China,131200-131229,,Yes
China,131400-131412,,Yes
China,131500-131533,,Yes
China,132200-132228,,Yes
China,133200-133222,,Yes
China,133600-133616,,Yes
China,134100-134123,,Yes
China,134400-134409,,Yes
China,134500-134528,,Yes
China,134700-134707,,Yes
China,135100-135126,,Yes
China,135200-135213,,Yes
China,135300-135325,,Yes
China,136300-136324,,Yes
China,136500-136535,,Yes
China,136600-136621,,Yes
China,137200-137221,,Yes
China,137300-137319,,Yes
China,150400-150432,,Yes
China,150500-150529,,Yes
China,150700-150781,,Yes
China,150800-150823,,Yes
China,150900-150933,,Yes
China,151800-151823,,Yes
China,151900-151953,,Yes
China,152101-152186,,Yes
China,152200-152244,,Yes
China,152400-152464,,Yes
China,153200-153223,,Yes
China,154200-154254,,Yes
China,154300-154350,,Yes
China,154402-154456,,Yes
China,154700-154734,,Yes
China,155600-155639,,Yes
China,155700-155761,,Yes
China,155800-155813,,Yes
China,155900-155924,,Yes
China,157200-157234,,Yes
China,157600-157631,,Yes
China,158200-158229,,Yes
China,161100-161143,,Yes
China,161200-161243,,Yes
China,161500-161542,,Yes
China,161600-161641,,Yes
China,162100-162131,,Yes
China,162400-162422,,Yes
China,166200-166269,,Yes
China,166300-166391,,Yes
China,166400-166431,,Yes
China,166500-166545,,Yes
China,164200-164253,,Yes
China,164400-164427,,Yes
China,211100-211165,,Yes
China,211200-211226,,Yes
China,211300-211321,,Yes
China,211500-211531,,Yes
China,211800-211813,,Yes
China,212106-212143,,Yes
China,221112-221168,,Yes
China,221200-221246,,Yes
China,221600-221644,,Yes
China,221700-221746,,Yes
China,222100-222146,,Yes
China,222200-222264,,Yes
China,222300-222346,,Yes
China,222500-222535,,Yes
China,223100-223126,,Yes
China,223400-223474,,Yes
China,223600-223666,,Yes
China,223700-223736,,Yes
China,223801-223854,,Yes
China,223900-223955,,Yes
China,224022-224056,,Yes
China,224300-224365,,Yes
China,224400-224435,,Yes
China,224500-224565,,Yes
China,224600-224638,,Yes
China,225101-225132,,Yes
China,225800-225832,,Yes
China,226400-226491,,Yes
China,226600-226692,,Yes
China,231100-231167,,Yes
China,231200-231283,,Yes
China,231600-231638,,Yes
China,232100-232181,,Yes
China,233300-233338,,Yes
China,233400-233444,,Yes
China,233700-233719,,Yes
China,235100-235164,,Yes
China,235200-235292,,Yes
China,235300-235392,,Yes
China,236200-236244,,Yes
China,236300-236325,,Yes
China,236400-236426,,Yes
China,236601-236652,,Yes
China,236700-236746,,Yes
China,237200-237283,,Yes
China,237300-237382,,Yes
China,237400-237495,,Yes
China,238100-238192,,Yes
China,238200-238284,,Yes
China,238300-238391,,Yes
China,239200-239239,,Yes
China,239500-239559,,Yes
China,241100-241137,,Yes
China,241200-241215,,Yes
China,241300-241320,,Yes
China,242100-242133,,Yes
China,242200-242247,,Yes
China,242500-242556,,Yes
China,242600-242611,,Yes
China,243100-243194,,Yes
China,244100-244171,,Yes
China,245200-245291,,Yes
China,245400-245461,,Yes
China,245500-245531,,Yes
China,245600-245617,,Yes
China,246100-246144,,Yes
China,246200-246285,,Yes
China,246300-246321,,Yes
China,246400-246497,,Yes
China,246500-246543,,Yes
China,246600-246691,,Yes
China,246700-246746,,Yes
China,247200-247282,,Yes
China,250300-250311,,Yes
China,250400-250411,,Yes
China,251400-251420,,Yes
China,251600-251621,,Yes
China,251800-251813,,Yes
China,251900-251913,,Yes
China,252100-252129,,Yes
China,252200-252225,,Yes
China,252300-252332,,Yes
China,252400-252439,,Yes
China,252500-252533,,Yes
China,252800-252874,,Yes
China,253121-253125,,Yes
China,253200-253221,,Yes
China,253300-253314,,Yes
China,253400-253424,,Yes
China,253500-253521,,Yes
China,253700-253713,,Yes
China,256200-256221,,Yes
China,256500-256512,,Yes
China,256800-256814,,Yes
China,257300-257345,,Yes
China,257400-257454,,Yes
China,257500-257514,,Yes
China,262300-262321,,Yes
China,262400-262424,,Yes
China,262600-262624,,Yes
China,265800-265819,,Yes
China,271400-271419,,Yes
China,271500-271517,,Yes
China,271801-271817,,Yes
China,272200-272215,,Yes
China,272300-272353,,Yes
China,272400-272415,,Yes
China,272600-272627,,Yes
China,273200-273215,,Yes
China,273300-273329,,Yes
China,273400-273426,,Yes
China,276100-276134,,Yes
China,276200-276225,,Yes
China,276300-276328,,Yes
China,276400-276428,,Yes
China,276500-276537,,Yes
China,301500-301517,,Yes
China,301600-301646,,Yes
China,301700-301739,,Yes
China,301800-301828,,Yes
China,311500-311524,,Yes
China,311700-311719,,Yes
China,312051-312094,,Yes
China,312500-312590,,Yes
China,313100-313124,,Yes
China,313200-313226,,Yes
China,313300-313310,,Yes
China,314101-314121,,Yes
China,314301-314318,,Yes
China,315102-315834,,Yes
China,316200-316295,,Yes
China,317100-317113,,Yes
China,317200-317213,,Yes
China,317300-317327,,Yes
China,317600-317610,,Yes
China,321025-321083,,Yes
China,321200-321211,,Yes
China,322200-322209,,Yes
China,322300-322315,,Yes
China,323300-323318,,Yes
China,323400-323406,,Yes
China,323500-323508,,Yes
China,323600-323607,,Yes
China,323800-323813,,Yes
China,323900-323913,,Yes
China,324200-324217,,Yes
China,324300-324309,,Yes
China,324400-324407,,Yes
China,325100-325116,,Yes
China,325300-325311,,Yes
China,325400-325412,,Yes
China,325500-325509,,Yes
China,325700-325706,,Yes
China,325800-325811,,Yes
China,330100-330132,,Yes
China,330200-330225,,Yes
China,330500-330516,,Yes
China,331700-331728,,Yes
China,332300-332328,,Yes
China,332400-332441,,Yes
China,332500-332517,,Yes
China,332600-332629,,Yes
China,332700-332726,,Yes
China,332800-332809,,Yes
China,333400-333438,,Yes
China,334300-334313,,Yes
China,334400-334422,,Yes
China,334500-334521,,Yes
China,334600-334618,,Yes
China,334700-334722,,Yes
China,335100-335122,,Yes
China,335200-335216,,Yes
China,336100-336119,,Yes
China,336200-336211,,Yes
China,336300-336318,,Yes
China,336400-336415,,Yes
China,336600-336616,,Yes
China,337100-337115,,Yes
China,337309-337354,,Yes
China,341100-341122,,Yes
China,341200-341215,,Yes
China,341300-341321,,Yes
China,341500-341519,,Yes
China,341600-341626,,Yes
China,341700-341715,,Yes
China,341800-341814,,Yes
China,341900-341912,,Yes
China,342100-342121,,Yes
China,342210-342215,,Yes
China,342300-342332,,Yes
China,342400-342432,,Yes
China,342600-342622,,Yes
China,342700-342715,,Yes
China,342800-342828,,Yes
China,343100-343136,,Yes
China,343200-343228,,Yes
China,343400-343425,,Yes
China,343500-343511,,Yes
China,343700-343733,,Yes
China,343800-343824,,Yes
China,343900-343928,,Yes
China,344200-344223,,Yes
China,344300-344328,,Yes
China,344400-344421,,Yes
China,344500-344514,,Yes
China,344600-344616,,Yes
China,344700-344713,,Yes
China,344800-344818,,Yes
China,344900-344918,,Yes
China,350100-350119,,Yes
China,350400-350415,,Yes
China,350500-350519,,Yes
China,350600-350610,,Yes
China,350700-350722,,Yes
China,350800-350821,,Yes
China,351201-351268,,Yes
China,352200-352268,,Yes
China,352300-352309,,Yes
China,353300-353312,,Yes
China,353500-353507,,Yes
China,353600-353608,,Yes
China,354100-354108,,Yes
China,354400-354413,,Yes
China,354500-354508,,Yes
China,355201-355215,,Yes
China,355300-355304,,Yes
China,355400-355408,,Yes
China,355500-355514,,Yes
China,362100-362143,,Yes
China,362400-362442,,Yes
China,362500-362517,,Yes
China,362600-362619,,Yes
China,363200-363219,,Yes
China,363300-363309,,Yes
China,363400-363404,,Yes
China,363500-363512,,Yes
China,363600-363612,,Yes
China,363700-363716,,Yes
China,363800-363812,,Yes
China,363900-363905,,Yes
China,364100-364120,,Yes
China,364300-364316,,Yes
China,365100-365129,,Yes
China,365200-365207,,Yes
China,365300-365316,,Yes
China,365400-365416,,Yes
China,365500-365515,,Yes
China,366100-366121,,Yes
China,366200-366215,,Yes
China,366300-366319,,Yes
China,401220-401258,,Yes
China,401420-401445,,Yes
China,402360-402374,,Yes
China,402460-402473,,Yes
China,402560-402574,,Yes
China,402660-402682,,Yes
China,402760-402774,,Yes
China,404300-404317,,Yes
China,404500-404515,,Yes
China,404600-404617,,Yes
China,404700-404711,,Yes
China,405200-405229,,Yes
China,405400-405427,,Yes
China,405800-405809,,Yes
China,405900-405915,,Yes
China,408200-408233,,Yes
China,408300-408329,,Yes
China,408500-408538,,Yes
China,409000-409013,,Yes
China,409100-409111,,Yes
China,409600-409614,,Yes
China,409800-409818,,Yes
China,409900-409912,,Yes
China,410200-410218,,Yes
China,410600-410645,,Yes
China,412300-412318,,Yes
China,412400-412425,,Yes
China,412500-412515,,Yes
China,413200-413225,,Yes
China,413400-413415,,Yes
China,413500-413524,,Yes
China,414200-414216,,Yes
China,415200-415218,,Yes
China,415300-415333,,Yes
China,415500-415541,,Yes
China,415600-415621,,Yes
China,415700-415728,,Yes
China,415900-415922,,Yes
China,416100-416117,,Yes
China,416200-416211,,Yes
China,416300-416311,,Yes
China,416400-416409,,Yes
China,416500-416511,,Yes
China,416700-416719,,Yes
China,416800-416821,,Yes
China,417600-417634,,Yes
China,417700-417719,,Yes
China,418100-418116,,Yes
China,418300-418325,,Yes
China,418400-418414,,Yes
China,418500-418511,,Yes
China,419100-419113,,Yes
China,419200-419215,,Yes
China,419300-419315,,Yes
China,419400-419413,,Yes
China,419500-419524,,Yes
China,419600-419641,,Yes
China,421101-421165,,Yes
China,421300-421352,,Yes
China,421400-421453,,Yes
China,422100-422119,,Yes
China,422200-422216,,Yes
China,422300-422328,,Yes
China,422500-422512,,Yes
China,422600-422624,,Yes
China,422700-422716,,Yes
China,422800-422828,,Yes
China,422900-422925,,Yes
China,423300-423314,,Yes
China,423500-423506,,Yes
China,423600-423618,,Yes
China,424100-424121,,Yes
China,424200-424226,,Yes
China,424300-424323,,Yes
China,424400-424423,,Yes
China,424500-424512,,Yes
