UPS Worldwide Expedited,,,,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,,,,

Weight Not To Exceed,Zone 71,Zone 72,Zone 74,Zone 601,Zone 602,Zone 603,Zone 604,Zone 605,Zone 606,Zone 607,Zone 608,Zone 609,Zone 610
46,$142.25,$154.50,$178.75,$235.00,$240.25,$272.00,$318.00,$242.75,$240.00,$275.50,$312.50,$480.75,$495.00
47,$144.00,$156.75,$180.50,$237.25,$243.25,$276.00,$322.00,$245.75,$243.00,$279.00,$316.75,$487.50,$502.25
48,$145.75,$158.75,$182.25,$239.50,$246.25,$279.75,$326.00,$249.00,$246.00,$282.50,$320.75,$494.25,$509.50
49,$147.50,$160.75,$184.00,$242.00,$249.50,$283.75,$329.75,$252.00,$248.25,$286.25,$325.00,$501.00,$516.75
50,$149.50,$162.75,$187.00,$245.75,$252.50,$287.50,$333.75,$255.50,$250.75,$290.50,$329.00,$507.50,$523.75
52,$153.50,$167.00,$189.75,$249.50,$258.25,$291.25,$340.75,$261.25,$256.50,$297.75,$335.25,$516.50,$533.25
54,$157.75,$170.75,$192.75,$253.50,$263.75,$295.25,$347.75,$267.00,$262.00,$305.25,$341.50,$525.25,$542.50
56,$161.75,$174.75,$195.50,$257.25,$269.50,$298.75,$354.50,$272.50,$268.75,$312.00,$347.75,$534.25,$551.50
58,$166.00,$178.50,$198.25,$261.25,$275.25,$302.50,$361.50,$278.25,$274.25,$318.75,$353.75,$543.25,$560.50
60,$170.00,$182.00,$201.25,$265.00,$280.75,$306.00,$368.50,$283.75,$280.00,$325.25,$360.00,$552.25,$569.50
62,$174.00,$185.25,$204.00,$268.75,$286.50,$309.00,$375.50,$289.50,$285.50,$332.00,$366.25,$560.50,$576.75
64,$177.75,$188.75,$206.75,$272.25,$292.00,$312.25,$382.50,$295.25,$291.25,$338.75,$372.50,$568.75,$584.00
66,$180.25,$192.50,$209.75,$276.00,$297.75,$315.25,$389.50,$300.50,$296.75,$345.50,$378.50,$577.00,$590.25
68,$184.00,$196.00,$212.50,$279.50,$303.50,$318.50,$396.50,$306.00,$302.50,$351.50,$384.75,$585.25,$595.25
70,$188.00,$199.75,$215.50,$283.25,$309.00,$321.50,$403.50,$311.75,$308.25,$357.75,$391.00,$593.50,$606.25
72,$191.50,$203.25,$218.25,$286.00,$314.75,$324.25,$410.25,$317.00,$313.75,$362.00,$397.50,$601.75,$611.00
74,$194.25,$207.00,$221.00,$289.00,$320.50,$327.00,$417.25,$322.50,$319.50,$366.00,$404.00,$610.00,$615.50
76,$196.75,$210.50,$224.00,$291.25,$326.00,$329.25,$424.00,$327.75,$325.50,$370.00,$410.00,$616.25,$619.50
78,$200.25,$214.00,$226.75,$293.50,$331.75,$331.50,$430.75,$333.50,$330.50,$373.50,$416.25,$621.50,$623.50
80,$203.75,$217.75,$229.75,$296.00,$337.50,$333.75,$437.50,$339.00,$334.50,$377.00,$422.50,$625.50,$627.50
82,$207.50,$221.25,$232.50,$298.25,$343.00,$336.25,$443.75,$345.25,$338.25,$380.50,$428.25,$629.75,$631.25
84,$211.00,$225.00,$235.25,$300.50,$348.75,$338.50,$449.75,$350.75,$341.75,$383.75,$433.25,$633.75,$635.25
86,$214.50,$228.50,$238.25,$302.75,$354.25,$340.50,$456.00,$356.25,$344.75,$387.00,$438.50,$638.00,$639.25
88,$218.00,$232.25,$241.00,$305.25,$360.00,$342.50,$462.25,$361.50,$348.00,$390.00,$442.50,$642.00,$643.00
90,$221.50,$235.75,$243.75,$307.50,$365.75,$344.75,$468.50,$367.25,$351.00,$393.00,$446.75,$646.25,$647.00
92,$225.25,$239.25,$245.25,$309.75,$371.25,$346.75,$474.50,$373.00,$354.50,$396.25,$451.25,$650.25,$650.75
94,$228.75,$242.50,$248.00,$312.25,$377.00,$348.75,$480.75,$378.50,$358.25,$399.25,$456.00,$654.50,$654.75
96,$232.25,$244.75,$248.75,$314.25,$382.75,$350.75,$487.00,$384.25,$361.75,$402.25,$460.75,$658.50,$658.75
98,$235.75,$246.75,$251.50,$316.25,$388.25,$353.00,$493.25,$390.00,$366.00,$405.50,$465.75,$662.75,$663.75
100,$239.25,$250.00,$260.50,$318.50,$394.00,$354.75,$499.25,$395.50,$370.00,$408.25,$471.25,$666.75,$666.75
105,$249.50,$261.75,$269.75,$328.75,$409.50,$365.00,$515.25,$404.75,$381.25,$419.50,$486.75,$683.75,$690.00
110,$259.75,$273.50,$278.75,$339.00,$425.25,$375.25,$531.25,$414.00,$395.00,$431.00,$500.25,$700.75,$712.50
115,$269.75,$285.00,$289.00,$349.50,$440.50,$385.50,$547.25,$423.25,$409.00,$442.25,$517.75,$718.00,$736.75
120,$280.00,$296.75,$300.50,$359.50,$455.00,$396.00,$563.25,$432.50,$423.00,$453.50,$538.25,$735.00,$760.75
125,$290.25,$308.50,$311.50,$368.50,$470.50,$406.25,$579.25,$441.75,$437.00,$466.00,$553.75,$752.00,$778.25
130,$300.25,$320.25,$322.75,$377.25,$484.50,$414.50,$595.25,$451.00,$448.25,$478.25,$569.25,$761.50,$796.25
135,$310.50,$332.00,$334.00,$385.50,$500.75,$422.75,$611.25,$460.50,$457.50,$490.75,$584.75,$773.00,$821.75
140,$320.50,$343.75,$345.25,$393.25,$513.25,$430.00,$625.50,$468.25,$466.75,$505.00,$598.50,$786.00,$840.75
145,$328.75,$352.75,$353.75,$401.00,$514.00,$432.75,$635.25,$477.50,$468.25,$514.50,$608.00,$798.50,$858.50
150,$336.00,$360.00,$360.50,$402.00,$516.00,$434.00,$642.75,$480.25,$473.75,$521.50,$615.25,$811.00,$879.00
151 to 199,$2.18,$2.36,$2.40,$2.59,$3.42,$2.88,$4.26,$3.15,$3.14,$3.42,$4.08,$5.41,$5.86
Min,$336.00,$360.00,$360.50,$402.00,$516.00,$434.00,$642.75,$480.25,$473.75,$521.50,$615.25,$811.00,$879.00
200 +,$2.04,$2.12,$2.21,$2.41,$3.25,$2.69,$4.12,$2.98,$2.92,$3.11,$3.78,$5.26,$5.58
Min,$433.82,$469.64,$477.60,$515.41,$680.58,$573.12,$847.74,$626.85,$624.86,$680.58,$811.92,"$1,076.59","$1,166.14"
