ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 473-01 to 473-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,4,304,204,244,134,104
006-007,-,-,225,-,-,125
008,-,-,[1],-,-,[1]
009,-,-,225,-,-,125
010-067,5,305,205,245,135,105
068-089,4,304,204,244,134,104
090-099,-,-,-,-,-,-
100-118,4,304,204,244,134,104
119-123,5,305,205,245,135,105
124-127,4,304,204,244,134,104
128-129,5,305,205,245,135,105
130-149,4,304,204,244,134,104
150-154,3,303,203,243,133,103
155,4,304,204,244,134,104
156,3,303,203,243,133,103
157-159,4,304,204,244,134,104
160-165,3,303,203,243,133,103
166-199,4,304,204,244,134,104
200-241,4,304,204,244,134,104
242-243,3,303,203,243,133,103
244-245,4,304,204,244,134,104
246-253,3,303,203,243,133,103
254,4,304,204,244,134,104
255-266,3,303,203,243,133,103
267-299,4,304,204,244,134,104
300-314,4,304,204,244,134,104
315-316,5,305,205,245,135,105
317-319,4,304,204,244,134,104
320-329,5,305,205,245,135,105
330-332,6,306,206,246,136,106
333-339,5,305,205,245,135,105
340,-,-,-,-,-,-
341-349,5,305,205,245,135,105
350-362,4,304,204,244,134,104
363-366,5,305,205,245,135,105
367-369,4,304,204,244,134,104
370-372,3,303,203,243,133,103
373-375,4,304,204,244,134,104
376,3,303,203,243,133,103
377-384,4,304,204,244,134,104
385,3,303,203,243,133,103
386-393,4,304,204,244,134,104
394-396,5,305,205,245,135,105
397-399,4,304,204,244,134,104
400-406,2,302,202,242,132,102
407-409,3,303,203,-,133,103
410,2,302,202,242,132,102
411-427,3,303,203,243,133,103
430-438,2,302,202,242,132,102
439-447,3,303,203,243,133,103
448-456,2,302,202,242,132,102
457,3,303,203,243,133,103
458-475,2,302,202,242,132,102
476-477,3,303,203,243,133,103
478-479,2,302,202,242,132,102
480-489,3,303,203,243,133,103
490-492,2,302,202,242,132,102
493-496,3,303,203,243,133,103
497-499,4,304,204,244,134,104
500-526,4,304,204,244,134,104
527-537,3,303,203,243,133,103
538,4,304,204,244,134,104
539,3,303,203,243,133,103
540-564,4,304,204,244,134,104
565-587,5,305,205,245,135,105
588-595,6,306,206,246,136,106
596-599,7,307,207,247,137,107
600-601,2,302,202,242,132,102
602,3,303,203,243,133,103
603-609,2,302,202,242,132,102
610-617,3,303,203,243,133,103
618-619,2,302,202,242,132,102
620-622,3,303,203,243,133,103
623,4,304,204,244,134,104
624-633,3,303,203,243,133,103
634-636,4,304,204,244,134,104
637,3,303,203,243,133,103
638-668,4,304,204,244,134,104
669-672,5,305,205,245,135,105
673,4,304,204,244,134,104
674-679,5,305,205,245,135,105
680-685,4,304,204,244,134,104
686-693,5,305,205,245,135,105
700-714,5,305,205,245,135,105
716-717,4,304,204,244,134,104
718,5,305,205,245,135,105
719-729,4,304,204,244,134,104
730-742,5,305,205,245,135,105
743,4,304,204,244,134,104
744-748,5,305,205,245,135,105
749,4,304,204,-,134,104
750-768,5,305,205,245,135,105
769,6,306,206,246,136,106
770-778,5,305,205,245,135,105
779-785,6,306,206,246,136,106
786-787,5,305,205,245,135,105
788,6,306,206,246,136,106
789-796,5,305,205,245,135,105
797-799,6,306,206,246,136,106
800-806,6,306,206,246,136,106
807,5,305,205,245,135,105
808-832,6,306,206,246,136,106
833,7,307,207,247,137,107
834,6,306,206,246,136,106
835-838,7,307,207,247,137,107
840-846,6,306,206,246,136,106
847-864,7,307,207,247,137,107
865-885,6,306,206,246,136,106
