ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 673-01 to 673-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,6,306,206,246,136,106
006-007,-,-,225,-,-,125
008,-,-,[1],-,-,[1]
009,-,-,225,-,-,125
010-042,6,306,206,246,136,106
043-049,7,307,207,247,137,107
050-089,6,306,206,246,136,106
090-099,-,-,-,-,-,-
100-139,6,306,206,246,136,106
140-143,5,305,205,245,135,105
144-146,6,306,206,246,136,106
147,5,305,205,245,135,105
148-149,6,306,206,246,136,106
150-168,5,305,205,245,135,105
169-199,6,306,206,246,136,106
200-205,5,305,205,245,135,105
206-208,6,306,206,246,136,106
209,5,305,205,245,135,105
210-214,6,306,206,246,136,106
215,5,305,205,245,135,105
216,6,306,206,246,136,106
217,5,305,205,245,135,105
218-219,6,306,206,246,136,106
220-232,5,305,205,245,135,105
233-238,6,306,206,246,136,106
239-278,5,305,205,245,135,105
279,6,306,206,246,136,106
280-283,5,305,205,245,135,105
284,6,306,206,246,136,106
285-299,5,305,205,245,135,105
300-306,5,305,205,245,135,105
307,4,304,204,244,134,104
308-326,5,305,205,245,135,105
327-334,6,306,206,246,136,106
335-338,5,305,205,245,135,105
339,6,306,206,246,136,106
340,-,-,-,-,-,-
341,6,306,206,246,136,106
342-346,5,305,205,245,135,105
347-349,6,306,206,246,136,106
350-359,4,304,204,244,134,104
360-361,5,305,205,245,135,105
362,4,304,204,244,134,104
363-364,5,305,205,245,135,105
365-367,4,304,204,244,134,104
368,5,305,205,245,135,105
369-375,4,304,204,244,134,104
376-379,5,305,205,245,135,105
380-397,4,304,204,244,134,104
398-399,5,305,205,245,135,105
400-402,4,304,204,244,134,104
403-405,5,305,205,245,135,105
406,4,304,204,244,134,104
407-409,5,305,205,-,135,105
410,4,304,204,244,134,104
411-418,5,305,205,245,135,105
420-427,4,304,204,244,134,104
430-449,5,305,205,245,135,105
450-452,4,304,204,244,134,104
453-458,5,305,205,245,135,105
