ZONE CHART,,,,,,

UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 509-01 to 509-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air
,,,,,,
004-005,6,306,206,246,136,106
006-007,45,-,225,-,-,125
8,[1],-,[1],-,-,[1]
9,45,-,225,-,-,125
010-069,6,306,206,246,136,106
070-076,5,305,205,245,135,105
77,6,306,206,246,136,106
078-083,5,305,205,245,135,105
84,6,306,206,246,136,106
085-086,5,305,205,245,135,105
087-089,6,306,206,246,136,106
090-099,-,-,-,-,-,-
100-104,5,305,205,245,135,105
105-108,6,306,206,246,136,106
109-113,5,305,205,245,135,105
114-115,6,306,206,246,136,106
116,5,305,205,245,135,105
117-126,6,306,206,246,136,106
127,5,305,205,245,135,105
128-129,6,306,206,246,136,106
130-199,5,305,205,245,135,105
200-299,5,305,205,245,135,105
300-319,5,305,205,245,135,105
320-322,6,306,206,246,136,106
323-325,5,305,205,245,135,105
326-339,6,306,206,246,136,106
340,-,-,-,-,-,-
341-349,6,306,206,246,136,106
350-355,5,305,205,245,135,105
356-358,4,304,204,244,134,104
359-369,5,305,205,245,135,105
370-372,4,304,204,244,134,104
373-374,5,305,205,245,135,105
375,4,304,204,-,-,104
376-379,5,305,205,245,135,105
380-389,4,304,204,244,134,104
390-399,5,305,205,245,135,105
400-410,4,304,204,244,134,104
411-412,5,305,205,245,135,105
413-414,4,304,204,-,134,104
415-418,5,305,205,245,135,105
420-436,4,304,204,244,134,104
437-447,5,305,205,245,135,105
448-456,4,304,204,244,134,104
457,5,305,205,245,135,105
458-499,4,304,204,244,134,104
500-528,2,302,202,242,132,102
530-533,4,304,204,244,134,104
534-537,3,303,203,243,133,103
538,2,302,202,242,132,102
539-540,3,303,203,243,133,103
541-543,4,304,204,244,134,104
544,3,303,203,243,133,103
545,4,304,204,-,134,104
546-555,3,303,203,243,133,103
556-558,4,304,204,244,134,104
559-560,3,303,203,243,133,103
561,2,302,202,242,132,102
562-564,3,303,203,243,133,103
565-567,4,304,204,244,134,104
