Next Day Air -- Origin Hawaii,,,,,
Daily Rates,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,
Rates do not include a fuel surcharge.,,,,,

A $1.75 surcharge will be added to each Letter and package going to a residential destination.,,,,,

Weight Not To Exceed,Zone 12,Zone 22,Zone 142,Zone 144,Zone 146

84,$40.00 ,$40.00 ,$214.75 ,$214.75 ,$225.25 
85,$40.50 ,$40.50 ,$217.50 ,$217.50 ,$228.00 
86,$41.00 ,$41.00 ,$220.00 ,$220.00 ,$230.75 
87,$41.50 ,$41.50 ,$222.75 ,$222.75 ,$233.25 
88,$41.75 ,$41.75 ,$225.00 ,$225.00 ,$235.75 
89,$42.00 ,$42.00 ,$227.75 ,$227.75 ,$238.25 
90,$42.25 ,$42.25 ,$230.75 ,$230.75 ,$241.25 
91,$42.50 ,$42.50 ,$233.50 ,$233.50 ,$244.00 
92,$43.00 ,$43.00 ,$236.25 ,$236.25 ,$246.50 
93,$43.25 ,$43.25 ,$238.75 ,$238.75 ,$249.25 
94,$43.50 ,$43.50 ,$241.50 ,$241.50 ,$251.75 
95,$43.75 ,$43.75 ,$244.25 ,$244.25 ,$254.50 
96,$44.00 ,$44.00 ,$247.00 ,$247.00 ,$257.50 
97,$44.25 ,$44.25 ,$249.75 ,$249.75 ,$260.25 
98,$44.50 ,$44.50 ,$252.25 ,$252.25 ,$262.75 
99,$44.75 ,$44.75 ,$254.50 ,$254.50 ,$265.00 
100,$45.00 ,$45.00 ,$256.75 ,$256.75 ,$267.50 
101,$45.25 ,$45.25 ,$259.25 ,$259.25 ,$269.75 
102,$45.75 ,$45.75 ,$261.50 ,$261.50 ,$272.00 
103,$46.00 ,$46.00 ,$263.75 ,$263.75 ,$274.25 
104,$46.50 ,$46.50 ,$266.25 ,$266.25 ,$276.75 
105,$47.00 ,$47.00 ,$268.75 ,$268.75 ,$279.25 
106,$47.50 ,$47.50 ,$271.25 ,$271.25 ,$282.00 
107,$47.75 ,$47.75 ,$273.50 ,$273.50 ,$284.50 
108,$48.00 ,$48.00 ,$276.25 ,$276.25 ,$287.00 
109,$48.25 ,$48.25 ,$278.75 ,$278.75 ,$289.75 
110,$48.50 ,$48.50 ,$281.50 ,$281.50 ,$292.25 
111,$48.75 ,$48.75 ,$284.25 ,$284.25 ,$294.75 
112,$49.00 ,$49.00 ,$287.00 ,$287.00 ,$297.25 
113,$49.25 ,$49.25 ,$289.50 ,$289.50 ,$299.75 
114,$49.75 ,$49.75 ,$291.75 ,$291.75 ,$302.25 
115,$50.00 ,$50.00 ,$294.50 ,$294.50 ,$304.75 
116,$50.50 ,$50.50 ,$297.00 ,$297.00 ,$307.25 
117,$51.00 ,$51.00 ,$299.50 ,$299.50 ,$309.75 
118,$51.25 ,$51.25 ,$302.25 ,$302.25 ,$312.75 
119,$51.50 ,$51.50 ,$304.75 ,$304.75 ,$315.50 
120,$52.00 ,$52.00 ,$307.25 ,$307.25 ,$318.25 
121,$52.25 ,$52.25 ,$309.75 ,$309.75 ,$321.00 
122,$52.75 ,$52.75 ,$312.25 ,$312.25 ,$323.25 
123,$53.00 ,$53.00 ,$314.50 ,$314.50 ,$325.50 
124,$53.25 ,$53.25 ,$317.25 ,$317.25 ,$328.00 
125,$53.50 ,$53.50 ,$320.25 ,$320.25 ,$331.00 
126,$53.75 ,$53.75 ,$323.00 ,$323.00 ,$333.50 
127,$54.00 ,$54.00 ,$325.50 ,$325.50 ,$335.75 
128,$54.50 ,$54.50 ,$327.75 ,$327.75 ,$338.25 
129,$54.75 ,$54.75 ,$330.50 ,$330.50 ,$340.75 
130,$55.00 ,$55.00 ,$333.00 ,$333.00 ,$343.25 
131,$55.25 ,$55.25 ,$335.25 ,$335.25 ,$345.75 
132,$55.50 ,$55.50 ,$338.00 ,$338.00 ,$348.75 
133,$56.00 ,$56.00 ,$340.50 ,$340.50 ,$351.50 
134,$56.25 ,$56.25 ,$343.00 ,$343.00 ,$354.00 
135,$56.50 ,$56.50 ,$345.50 ,$345.50 ,$356.75 
136,$57.00 ,$57.00 ,$348.00 ,$348.00 ,$359.25 
137,$57.50 ,$57.50 ,$350.50 ,$350.50 ,$361.75 
138,$58.00 ,$58.00 ,$353.00 ,$353.00 ,$364.25 
139,$58.50 ,$58.50 ,$355.75 ,$355.75 ,$366.75 
140,$59.00 ,$59.00 ,$358.50 ,$358.50 ,$369.00 
141,$59.50 ,$59.50 ,$361.00 ,$361.00 ,$371.50 
142,$59.75 ,$59.75 ,$363.25 ,$363.25 ,$374.00 
143,$60.00 ,$60.00 ,$366.00 ,$366.00 ,$376.50 
144,$60.50 ,$60.50 ,$368.50 ,$368.50 ,$379.25 
145,$60.75 ,$60.75 ,$371.25 ,$371.25 ,$382.00 
146,$61.00 ,$61.00 ,$374.00 ,$374.00 ,$384.75 
147,$61.25 ,$61.25 ,$376.75 ,$376.75 ,$387.50 
148,$61.50 ,$61.50 ,$379.25 ,$379.25 ,$390.25 
149,$61.75 ,$61.75 ,$381.75 ,$381.75 ,$393.00 
150,$62.00 ,$62.00 ,$384.75 ,$384.75 ,$395.75 
Multiplier,$0.43 ,$0.43 ,$2.58 ,$2.58 ,$2.65 
