UPS Hundredweight Service®,,,,,,,,,,
Daily Rates for Multiple-Package Domestic Shipments,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

UPS Next Day Air®,,,,,,,,,,
Hundredweight Shipment Rates per Pound,,,,,,,,,,
Weight Not To Exceed, Zone 102 , Zone 103 , Zone 104 , Zone 105 , Zone 106 , Zone 107 , Zone 108 ,Zone 124,Zone 125,Zone 126
100 to 499 Lbs.,$1.27 ,$1.73 ,$2.50 ,$2.84 ,$3.08 ,$3.26 ,$3.37 ,$3.38 ,$3.38 ,$3.79 
500 to 999 Lbs.,$1.27 ,$1.73 ,$2.50 ,$2.84 ,$3.08 ,$3.26 ,$3.37 ,$3.38 ,$3.38 ,$3.79 
1000+  Lbs.,$1.27 ,$1.73 ,$2.50 ,$2.84 ,$3.08 ,$3.26 ,$3.37 ,$3.38 ,$3.38 ,$3.79 

Note: The minimum charge for a Next Day hundredweight shipment will be based on an ,,,,,,,,,,
average weight of 10 pounds per package.  Minimum shipment of 100 pounds.,,,,,,,,,,

Note:  UPS Next Day Air hundredweight rates are for both Commercial and Residential shipments.,,,,,,,,,,
