UPS Next Day Air® -- Origin Alaska,,,
Daily Rates,,,
"EFFECTIVE JANUARY 2, 2006",,,
Rates do not include a fuel surcharge.,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,

Weight Not To Exceed,Zone 22,Zone 24,Zone 26

139,$308.25 ,$376.00 ,$387.00 
140,$310.50 ,$378.25 ,$389.25 
141,$312.50 ,$381.00 ,$392.25 
142,$314.75 ,$383.50 ,$395.00 
143,$316.75 ,$386.50 ,$397.50 
144,$319.00 ,$389.00 ,$400.50 
145,$321.00 ,$392.00 ,$403.25 
146,$323.00 ,$394.75 ,$406.25 
147,$325.25 ,$397.50 ,$409.25 
148,$327.25 ,$400.50 ,$412.00 
149,$329.50 ,$403.25 ,$415.00 
150,$331.50 ,$406.25 ,$417.75 
Multiplier,$2.22 ,$2.72 ,$2.80 
