ZONE CHART,,,,,,

UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 315-01 to 315-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air
,,,,,,
004-005,5,305,205,245,135,105
006-007,45,-,225,-,-,125
8,[1],-,[1],-,-,[1]
9,45,-,225,-,-,125
010-034,5,305,205,245,135,105
35,6,306,206,246,136,106
036-037,5,305,205,245,135,105
038-049,6,306,206,246,136,106
050-055,5,305,205,245,135,105
56,6,306,206,246,136,106
57,5,305,205,245,135,105
058-059,6,306,206,246,136,106
060-089,5,305,205,245,135,105
090-099,-,-,-,-,-,-
100-128,5,305,205,245,135,105
129,6,306,206,246,136,106
130-153,5,305,205,245,135,105
154,4,304,204,244,134,104
155-199,5,305,205,245,135,105
200-209,4,304,204,244,134,104
210-213,5,305,205,245,135,105
214-218,4,304,204,244,134,104
219,5,305,205,-,135,105
220-259,4,304,204,244,134,104
260,5,305,205,245,135,105
261-279,4,304,204,244,134,104
280-282,3,303,203,243,133,103
283-285,4,304,204,244,134,104
286-297,3,303,203,243,133,103
298-299,2,302,202,242,132,102
300-303,3,303,203,243,133,103
304,2,302,202,242,132,102
305-306,3,303,203,243,133,103
307,4,304,204,244,134,104
308-310,2,302,202,242,132,102
311,3,303,203,243,133,103
312-323,2,302,202,242,132,102
324-325,3,303,203,243,133,103
326,2,302,202,242,132,102
327-329,3,303,203,243,133,103
330-334,4,304,204,244,134,104
335-339,3,303,203,243,133,103
340,-,-,-,-,-,-
341-342,3,303,203,243,133,103
344,2,302,202,242,132,102
346-347,3,303,203,243,133,103
349,4,304,204,244,134,104
350-353,3,303,203,243,133,103
354-358,4,304,204,244,134,104
359-364,3,303,203,243,133,103
365-366,4,304,204,244,134,104
367-368,3,303,203,243,133,103
369-397,4,304,204,244,134,104
398,2,302,202,242,132,102
399,3,303,203,243,133,103
400-432,4,304,204,244,134,104
433-436,5,305,205,245,135,105
437-438,4,304,204,244,134,104
439-449,5,305,205,245,135,105
450-457,4,304,204,244,134,104
458,5,305,205,245,135,105
459,4,304,204,244,134,104
460-469,5,305,205,245,135,105
470-472,4,304,204,244,134,104
473,5,305,205,245,135,105
474-478,4,304,204,244,134,104
479-497,5,305,205,245,135,105
498-499,6,306,206,246,136,106
500-503,5,305,205,245,135,105
504-505,6,306,206,246,136,106
506-509,5,305,205,245,135,105
510-514,6,306,206,246,136,106
515-539,5,305,205,245,135,105
540,6,306,206,246,136,106
541-544,5,305,205,245,135,105
545,6,306,206,-,136,106
546,5,305,205,245,135,105
547-548,6,306,206,246,136,106
549,5,305,205,245,135,105
550-576,6,306,206,246,136,106
577,7,307,207,247,137,107
580-582,6,306,206,246,136,106
583,7,307,207,-,137,107
584,6,306,206,246,136,106
585-593,7,307,207,247,137,107
594-599,8,308,208,248,138,108
600-628,5,305,205,245,135,105
629,4,304,204,244,134,104
630-636,5,305,205,245,135,105
637-639,4,304,204,244,134,104
640-668,5,305,205,245,135,105
669,6,306,206,-,136,106
670-675,5,305,205,245,135,105
676-693,6,306,206,246,136,106
700-705,4,304,204,244,134,104
706,5,305,205,245,135,105
707-709,4,304,204,244,134,104
710-711,5,305,205,245,135,105
712-716,4,304,204,244,134,104
717-722,5,305,205,245,135,105
723-724,4,304,204,244,134,104
725-737,5,305,205,245,135,105
738-739,6,306,206,246,136,106
740-768,5,305,205,245,135,105
769,6,306,206,246,136,106
770-784,5,305,205,245,135,105
785,6,306,206,246,136,106
786-787,5,305,205,245,135,105
788,6,306,206,246,136,106
789,5,305,205,-,-,105
790-799,6,306,206,246,136,106
800-802,6,306,206,246,136,106
803,7,307,207,247,137,107
804,6,306,206,246,136,106
805,7,307,207,247,137,107
806-811,6,306,206,246,136,106
812-831,7,307,207,247,137,107
832-838,8,308,208,248,138,108
840-853,7,307,207,247,137,107
854,8,308,208,-,-,108
