UPS Hundredweight Service®,,,,,,,
Daily Rates for Multiple-Package Domestic Shipments,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,
Rates do not include a fuel surcharge.,,,,,,,

UPS Next Day Air Saver®,,,,,,,
Hundredweight Shipment Rates per Pound,,,,,,,
Weight Not To Exceed,Zone 132,Zone 133,Zone 134,Zone 135,Zone 136,Zone 137,Zone 138
100 to 499 Lbs.,$1.11 ,$1.58 ,$2.34 ,$2.49 ,$2.81 ,$2.96 ,$3.08 
500 to 999 Lbs.,$1.11 ,$1.58 ,$2.34 ,$2.49 ,$2.81 ,$2.96 ,$3.08 
1000+  Lbs.,$1.11 ,$1.58 ,$2.34 ,$2.49 ,$2.81 ,$2.96 ,$3.08 

Note: The minimum charge for a Next Day Saver hundredweight shipment will be based on an ,,,,,,,
average weight of 10 pounds per package.  Minimum shipment of 100 pounds.,,,,,,,

Note:  UPS Next Day Air Saver hundredweight rates are for both Commercial and Residential shipments.,,,,,,,
