ZONE CHART

UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air

For shipments originating in ZIP Codes 389-01 to 389-99.  To determine zone
take the first three digits of the receiver's ZIP Code and refer to the chart below:

ZONES
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,5,305,205,245,135,105
006-007,45,-,225,-,-,125
008,[1],-,[1],-,-,[1]
009,45,-,225,-,-,125
010-046,6,306,206,246,136,106
047,7,307,207,-,137,107
048-067,6,306,206,246,136,106
068-089,5,305,205,245,135,105
090-099,-,-,-,-,-,-
100-118,5,305,205,245,135,105
119-126,6,306,206,246,136,106
127,5,305,205,245,135,105
128-129,6,306,206,246,136,106
130-199,5,305,205,245,135,105
200-239,5,305,205,245,135,105
240-243,4,304,204,244,134,104
244-245,5,305,205,245,135,105
246-253,4,304,204,244,134,104
254,5,305,205,245,135,105
255-259,4,304,204,244,134,104
260,5,305,205,245,135,105
261,4,304,204,244,134,104
262-265,5,305,205,245,135,105
266,4,304,204,-,134,104
267-268,5,305,205,245,135,105
270-274,4,304,204,244,134,104
275-279,5,305,205,245,135,105
280-282,4,304,204,244,134,104
283-285,5,305,205,245,135,105
286-299,4,304,204,244,134,104
300-306,4,304,204,244,134,104
307,3,303,203,243,133,103
308-317,4,304,204,244,134,104
318-319,3,303,203,243,133,103
320-324,4,304,204,244,134,104
325,3,303,203,243,133,103
326-328,4,304,204,244,134,104
329-334,5,305,205,245,135,105
335-338,4,304,204,244,134,104
339,5,305,205,245,135,105
340,-,-,-,-,-,-
341,5,305,205,245,135,105
342-347,4,304,204,244,134,104
349,5,305,205,245,135,105
350-353,3,303,203,243,133,103
354-355,2,302,202,242,132,102
356-368,3,303,203,243,133,103
369,2,302,202,-,132,102
370-374,3,303,203,243,133,103
375,2,302,202,-,-,102
376-379,4,304,204,244,134,104
380-381,2,302,202,242,132,102
382,3,303,203,243,133,103
383,2,302,202,242,132,102
384-385,3,303,203,243,133,103
386-393,2,302,202,242,132,102
394-395,3,303,203,243,133,103
396-397,2,302,202,242,132,102
398-399,4,304,204,244,134,104
400-418,4,304,204,244,134,104
420-424,3,303,203,243,133,103
425-433,4,304,204,244,134,104
434-436,5,305,205,245,135,105
437-438,4,304,204,244,134,104
439-447,5,305,205,245,135,105
448-475,4,304,204,244,134,104
476-477,3,303,203,243,133,103
478-479,4,304,204,244,134,104
480-499,5,305,205,245,135,105
500-503,4,304,204,244,134,104
504-505,5,305,205,245,135,105
506-509,4,304,204,244,134,104
510-514,5,305,205,245,135,105
515-516,4,304,204,244,134,104
520-521,5,305,205,245,135,105
522-528,4,304,204,244,134,104
530-566,5,305,205,245,135,105
567,6,306,206,246,136,106
570-576,5,305,205,245,135,105
577,6,306,206,246,136,106
580-581,5,305,205,245,135,105
582-583,6,306,206,246,136,106
584,5,305,205,245,135,105
585-593,6,306,206,246,136,106
594-599,7,307,207,247,137,107
600-628,4,304,204,244,134,104
629,3,303,203,243,133,103
630-635,4,304,204,244,134,104
636-639,3,303,203,243,133,103
640-653,4,304,204,244,134,104
654-658,3,303,203,243,133,103
660-675,4,304,204,244,134,104
676-682,5,305,205,245,135,105
683-685,4,304,204,244,134,104
686-693,5,305,205,245,135,105
700-711,3,303,203,243,133,103
712,2,302,202,242,132,102
713-714,3,303,203,243,133,103
716,2,302,202,242,132,102
717-719,3,303,203,243,133,103
720-724,2,302,202,242,132,102
725-729,3,303,203,243,133,103
730-738,4,304,204,244,134,104
739,5,305,205,-,-,105
740-748,4,304,204,244,134,104
749,3,303,203,-,133,103
750-754,4,304,204,244,134,104
755-756,3,303,203,243,133,103
757-768,4,304,204,244,134,104
769,5,305,205,245,135,105
770-784,4,304,204,244,134,104
785,5,305,205,245,135,105
786-787,4,304,204,244,134,104
788,5,305,205,245,135,105
789,4,304,204,-,-,104
790-791,5,305,205,245,135,105
792,4,304,204,-,-,104
793-794,5,305,205,245,135,105
795-796,4,304,204,244,134,104
797-799,5,305,205,245,135,105
800-812,5,305,205,245,135,105
