Hawaii -- 48 State Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11
43,$41.40 ,$42.70 ,$44.54 ,$45.30 ,$47.25 ,$49.14 ,$49.25 ,$59.31 ,$71.42 ,$62.11 
44,$42.00 ,$43.35 ,$45.24 ,$46.00 ,$47.85 ,$49.96 ,$50.06 ,$60.45 ,$72.35 ,$63.08 
45,$42.60 ,$44.01 ,$45.94 ,$46.71 ,$48.44 ,$50.76 ,$50.92 ,$61.68 ,$73.45 ,$64.12 
46,$43.20 ,$44.60 ,$46.59 ,$47.41 ,$49.03 ,$51.58 ,$51.79 ,$62.64 ,$74.56 ,$65.35 
47,$43.78 ,$45.19 ,$47.25 ,$48.05 ,$49.68 ,$52.38 ,$52.66 ,$63.69 ,$75.66 ,$66.49 
48,$44.43 ,$45.79 ,$47.90 ,$48.65 ,$50.33 ,$53.20 ,$53.52 ,$64.65 ,$76.84 ,$67.71 
49,$45.09 ,$46.38 ,$48.55 ,$49.25 ,$50.98 ,$54.01 ,$54.39 ,$65.61 ,$77.95 ,$68.94 
50,$45.69 ,$46.97 ,$49.19 ,$49.84 ,$51.58 ,$54.82 ,$55.24 ,$66.75 ,$78.96 ,$69.99 
51,$46.27 ,$47.52 ,$49.84 ,$50.49 ,$52.17 ,$55.57 ,$56.12 ,$67.80 ,$80.06 ,$71.12 
52,$46.82 ,$48.11 ,$50.49 ,$51.14 ,$52.76 ,$56.33 ,$56.93 ,$68.85 ,$81.08 ,$72.00 
53,$47.35 ,$48.70 ,$51.14 ,$51.79 ,$53.41 ,$57.09 ,$57.73 ,$69.99 ,$81.93 ,$72.87 
54,$47.85 ,$49.30 ,$51.79 ,$52.49 ,$54.11 ,$57.85 ,$58.56 ,$71.03 ,$82.86 ,$73.83 
55,$48.33 ,$49.90 ,$52.44 ,$53.25 ,$54.82 ,$58.61 ,$59.36 ,$72.08 ,$83.79 ,$74.80 
56,$48.82 ,$50.49 ,$53.08 ,$54.01 ,$55.47 ,$59.31 ,$60.17 ,$72.96 ,$84.73 ,$75.76 
57,$49.36 ,$51.09 ,$53.74 ,$54.77 ,$56.22 ,$60.01 ,$60.92 ,$74.10 ,$85.74 ,$76.81 
58,$49.90 ,$51.68 ,$54.39 ,$55.47 ,$57.04 ,$60.72 ,$61.62 ,$75.32 ,$86.59 ,$77.68 
59,$50.38 ,$52.22 ,$54.98 ,$56.12 ,$57.85 ,$61.42 ,$62.33 ,$76.46 ,$87.61 ,$78.56 
