UPS Worldwide Express,,,,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,,,,

Weight Not To Exceed,Zone 80,Zone 81,Zone 82,Zone 84,Zone 900,Zone 901,Zone 902,Zone 903,Zone 904,Zone 905,Zone 906,Zone 907,Zone 908

Letter,$25.50 ,$24.00 ,$25.00 ,$25.50 ,$25.75 ,$32.00 ,$32.00 ,$36.00 ,$37.00 ,$37.25 ,$47.75 ,$74.50 ,$78.50 
32,$160.75 ,$134.00 ,$148.25 ,$160.75 ,$197.75 ,$207.00 ,$220.25 ,$236.25 ,$273.75 ,$273.75 ,$435.25 ,$504.00 ,$509.75 
33,$163.50 ,$136.25 ,$151.00 ,$163.50 ,$202.25 ,$211.00 ,$225.25 ,$241.25 ,$280.00 ,$280.00 ,$443.75 ,$515.25 ,$521.50 
34,$166.00 ,$139.25 ,$153.50 ,$166.00 ,$206.50 ,$215.25 ,$229.25 ,$246.00 ,$286.00 ,$286.00 ,$452.00 ,$526.75 ,$533.50 
35,$168.50 ,$141.50 ,$156.00 ,$168.50 ,$211.00 ,$219.50 ,$234.25 ,$250.75 ,$292.25 ,$292.25 ,$460.25 ,$538.00 ,$545.25 
36,$171.00 ,$144.25 ,$158.50 ,$171.00 ,$215.25 ,$223.50 ,$237.00 ,$255.50 ,$298.50 ,$298.50 ,$468.50 ,$548.75 ,$557.25 
37,$173.25 ,$146.75 ,$161.25 ,$173.25 ,$219.75 ,$227.75 ,$242.00 ,$260.25 ,$304.75 ,$304.75 ,$476.75 ,$559.25 ,$569.00 
38,$175.50 ,$149.25 ,$163.50 ,$175.50 ,$224.25 ,$231.75 ,$247.00 ,$264.75 ,$311.00 ,$311.00 ,$485.00 ,$569.75 ,$581.00 
39,$178.00 ,$152.00 ,$165.75 ,$178.00 ,$228.50 ,$236.00 ,$252.25 ,$269.50 ,$317.25 ,$317.25 ,$493.50 ,$580.50 ,$592.75 
40,$180.25 ,$154.50 ,$168.00 ,$180.25 ,$233.00 ,$240.00 ,$257.25 ,$274.25 ,$323.50 ,$323.50 ,$501.75 ,$589.75 ,$604.75 
41,$182.75 ,$156.75 ,$170.25 ,$182.75 ,$237.50 ,$244.00 ,$262.25 ,$279.00 ,$329.75 ,$329.75 ,$510.00 ,$599.00 ,$616.75 
42,$185.00 ,$159.25 ,$172.75 ,$185.00 ,$241.75 ,$247.75 ,$267.25 ,$284.00 ,$336.00 ,$336.00 ,$518.25 ,$608.50 ,$628.50 
43,$187.25 ,$161.50 ,$175.50 ,$187.25 ,$246.75 ,$251.75 ,$272.25 ,$289.00 ,$342.25 ,$342.25 ,$526.50 ,$617.75 ,$640.50 
44,$189.75 ,$163.75 ,$178.00 ,$189.75 ,$251.25 ,$255.50 ,$277.25 ,$294.00 ,$348.50 ,$348.50 ,$534.75 ,$627.00 ,$651.75 
45,$192.25 ,$166.25 ,$180.25 ,$192.25 ,$256.50 ,$259.50 ,$282.25 ,$298.75 ,$354.75 ,$354.75 ,$543.00 ,$636.25 ,$663.25 
46,$194.75 ,$168.25 ,$183.25 ,$194.75 ,$261.75 ,$263.50 ,$287.25 ,$303.50 ,$361.00 ,$361.00 ,$551.25 ,$645.50 ,$674.50 
47,$197.50 ,$170.25 ,$185.25 ,$197.50 ,$267.00 ,$267.75 ,$292.25 ,$308.25 ,$367.25 ,$367.25 ,$559.50 ,$655.00 ,$686.00 
48,$200.00 ,$172.50 ,$188.25 ,$200.00 ,$272.25 ,$271.75 ,$297.25 ,$312.75 ,$373.50 ,$373.50 ,$567.75 ,$664.25 ,$697.25 
49,$202.75 ,$174.75 ,$190.25 ,$202.75 ,$277.50 ,$276.00 ,$302.25 ,$317.50 ,$379.50 ,$379.50 ,$576.00 ,$673.50 ,$708.75 
50,$205.25 ,$177.00 ,$192.25 ,$205.25 ,$282.50 ,$280.00 ,$307.25 ,$322.25 ,$385.75 ,$385.75 ,$584.25 ,$682.75 ,$720.00 
52,$209.75 ,$181.25 ,$196.25 ,$209.75 ,$292.75 ,$288.75 ,$316.75 ,$332.50 ,$398.50 ,$398.50 ,$600.75 ,$701.50 ,$741.25 
54,$214.00 ,$185.25 ,$200.25 ,$214.00 ,$302.50 ,$297.75 ,$326.00 ,$343.00 ,$411.25 ,$411.25 ,$617.25 ,$720.00 ,$762.50 
56,$218.50 ,$189.50 ,$204.00 ,$218.50 ,$312.50 ,$306.50 ,$335.25 ,$353.50 ,$423.25 ,$423.25 ,$633.75 ,$738.75 ,$783.75 
58,$222.75 ,$193.50 ,$208.00 ,$222.75 ,$322.50 ,$315.25 ,$344.50 ,$363.75 ,$435.50 ,$435.50 ,$650.50 ,$757.25 ,$799.50 
60,$227.25 ,$197.75 ,$211.75 ,$227.25 ,$332.25 ,$324.00 ,$353.75 ,$374.25 ,$447.75 ,$447.75 ,$667.00 ,$776.00 ,$818.75 
62,$231.50 ,$201.00 ,$215.75 ,$231.50 ,$342.25 ,$332.75 ,$363.00 ,$384.25 ,$460.00 ,$460.00 ,$683.50 ,$794.50 ,$839.75 
64,$235.75 ,$205.25 ,$219.50 ,$235.75 ,$352.25 ,$341.50 ,$372.25 ,$394.50 ,$472.25 ,$472.25 ,$700.00 ,$813.00 ,$860.75 
66,$239.75 ,$208.25 ,$223.50 ,$239.75 ,$362.00 ,$350.25 ,$381.75 ,$404.50 ,$484.50 ,$484.75 ,$716.50 ,$831.75 ,$882.00 
68,$244.00 ,$212.25 ,$227.50 ,$244.00 ,$372.00 ,$359.00 ,$391.00 ,$414.75 ,$496.50 ,$497.50 ,$733.00 ,$850.25 ,$903.00 
70,$248.25 ,$216.50 ,$231.25 ,$248.25 ,$381.75 ,$367.75 ,$400.25 ,$424.75 ,$508.75 ,$510.25 ,$749.50 ,$869.00 ,$924.00 
72,$252.25 ,$220.25 ,$235.00 ,$252.25 ,$392.25 ,$376.75 ,$408.75 ,$435.00 ,$520.75 ,$522.75 ,$766.00 ,$887.50 ,$946.50 
74,$256.00 ,$223.00 ,$238.50 ,$256.00 ,$402.00 ,$385.50 ,$417.25 ,$445.00 ,$533.00 ,$535.50 ,$782.50 ,$906.25 ,$969.00 
76,$259.25 ,$225.75 ,$242.25 ,$259.25 ,$411.50 ,$394.25 ,$425.75 ,$455.25 ,$545.00 ,$548.25 ,$798.00 ,$924.75 ,$991.00 
78,$262.75 ,$229.50 ,$245.75 ,$262.75 ,$422.00 ,$403.00 ,$434.25 ,$465.25 ,$557.00 ,$560.75 ,$813.50 ,$943.50 ,"$1,013.00 "
80,$266.00 ,$233.25 ,$249.50 ,$266.00 ,$431.75 ,$411.75 ,$443.00 ,$475.50 ,$569.00 ,$573.50 ,$829.00 ,$962.00 ,"$1,035.00 "
82,$269.25 ,$237.25 ,$253.00 ,$269.25 ,$441.50 ,$420.50 ,$451.50 ,$485.50 ,$581.00 ,$586.00 ,$844.50 ,$980.50 ,"$1,056.75 "
84,$272.25 ,$241.00 ,$257.00 ,$272.25 ,$452.25 ,$427.75 ,$460.00 ,$494.25 ,$593.00 ,$598.75 ,$857.00 ,$999.25 ,"$1,078.25 "
86,$275.50 ,$244.50 ,$261.00 ,$275.50 ,$461.50 ,$434.25 ,$468.50 ,$503.50 ,$600.25 ,$611.50 ,$868.25 ,"$1,017.75 ","$1,099.75 "
