UPS 2nd Day Air®,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,,,

Weight Not To Exceed, Zone 202 , Zone 203 , Zone 204 , Zone 205 , Zone 206 , Zone 207 , Zone 208 , Zone 224 , Zone 225 , Zone 226

Letter,$7.50 ,$8.00 ,$8.40 ,$9.10 ,$9.80 ,$10.20 ,$10.60 ,$14.60 ,$14.60 ,$20.20 
41,$29.60 ,$34.50 ,$44.80 ,$59.80 ,$86.90 ,$92.90 ,$95.60 ,$97.50 ,$97.50 ,$107.50 
42,$30.20 ,$35.20 ,$45.70 ,$61.00 ,$88.70 ,$95.00 ,$97.80 ,$99.60 ,$99.60 ,$109.30 
43,$30.80 ,$35.90 ,$46.60 ,$62.20 ,$90.50 ,$97.00 ,$99.90 ,$101.60 ,$101.60 ,$111.10 
44,$31.40 ,$36.60 ,$47.50 ,$63.40 ,$92.30 ,$98.90 ,$101.90 ,$103.60 ,$103.60 ,$113.00 
45,$32.00 ,$37.30 ,$48.40 ,$64.60 ,$94.00 ,$100.80 ,$103.90 ,$105.60 ,$105.60 ,$115.00 
46,$32.60 ,$38.00 ,$49.30 ,$65.80 ,$95.70 ,$102.60 ,$105.90 ,$107.60 ,$107.60 ,$117.00 
47,$33.20 ,$38.70 ,$50.20 ,$67.10 ,$97.40 ,$104.40 ,$107.90 ,$109.60 ,$109.60 ,$119.00 
48,$33.70 ,$39.40 ,$51.10 ,$68.40 ,$99.10 ,$106.20 ,$109.90 ,$111.60 ,$111.60 ,$121.10 
49,$34.20 ,$40.10 ,$52.00 ,$69.60 ,$100.80 ,$108.00 ,$111.90 ,$113.50 ,$113.50 ,$123.20 
50,$34.70 ,$40.80 ,$52.90 ,$70.90 ,$102.50 ,$109.80 ,$113.90 ,$115.40 ,$115.40 ,$125.20 
51,$35.30 ,$41.50 ,$53.80 ,$72.10 ,$104.20 ,$111.70 ,$115.90 ,$117.30 ,$117.30 ,$127.20 
52,$35.90 ,$42.20 ,$54.70 ,$73.30 ,$105.90 ,$113.60 ,$117.90 ,$119.30 ,$119.30 ,$129.20 
53,$36.50 ,$42.90 ,$55.50 ,$74.50 ,$107.60 ,$115.50 ,$120.00 ,$121.30 ,$121.30 ,$131.20 
54,$37.10 ,$43.70 ,$56.30 ,$75.70 ,$109.40 ,$117.50 ,$122.00 ,$123.30 ,$123.30 ,$133.20 
55,$37.70 ,$44.60 ,$57.10 ,$77.00 ,$111.20 ,$119.50 ,$124.00 ,$125.30 ,$125.30 ,$135.20 
56,$38.30 ,$45.40 ,$57.90 ,$78.30 ,$113.00 ,$121.40 ,$126.00 ,$127.30 ,$127.30 ,$137.20 
57,$38.90 ,$46.20 ,$58.70 ,$79.70 ,$114.90 ,$123.30 ,$128.00 ,$129.30 ,$129.30 ,$139.20 
58,$39.50 ,$47.00 ,$59.50 ,$81.10 ,$116.80 ,$125.30 ,$130.00 ,$131.30 ,$131.30 ,$141.20 
59,$40.10 ,$47.70 ,$60.30 ,$82.50 ,$118.70 ,$127.30 ,$132.00 ,$133.40 ,$133.40 ,$143.20 
