ZONE CHART

UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air

For shipments originating in ZIP Codes 874-01 to 874-99.  To determine zone
take the first three digits of the receiver's ZIP Code and refer to the chart below:

ZONES
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,8,308,208,248,138,108
006-007,45,-,225,-,-,125
008,[1],-,[1],-,-,[1]
009,45,-,225,-,-,125
010-079,8,308,208,248,138,108
080-083,7,307,207,247,137,107
084-089,8,308,208,248,138,108
090-099,-,-,-,-,-,-
100-126,8,308,208,248,138,108
127,7,307,207,247,137,107
128-129,8,308,208,248,138,108
130-199,7,307,207,247,137,107
200-288,7,307,207,247,137,107
289,6,306,206,-,-,106
290-299,7,307,207,247,137,107
300-303,6,306,206,246,136,106
304,7,307,207,247,137,107
305,6,306,206,246,136,106
306,7,307,207,247,137,107
307,6,306,206,246,136,106
308-309,7,307,207,247,137,107
310-312,6,306,206,246,136,106
313-316,7,307,207,247,137,107
317-319,6,306,206,246,136,106
320-323,7,307,207,247,137,107
324-325,6,306,206,246,136,106
326-339,7,307,207,247,137,107
340,-,-,-,-,-,-
341-349,7,307,207,247,137,107
350-374,6,306,206,246,136,106
375,5,305,205,-,-,105
376,7,307,207,247,137,107
377-379,6,306,206,246,136,106
380-381,5,305,205,245,135,105
382-385,6,306,206,246,136,106
386-387,5,305,205,245,135,105
388-399,6,306,206,246,136,106
400-436,6,306,206,246,136,106
437-447,7,307,207,247,137,107
448-456,6,306,206,246,136,106
457,7,307,207,247,137,107
458-499,6,306,206,246,136,106
500-528,5,305,205,245,135,105
530-537,6,306,206,246,136,106
538,5,305,205,245,135,105
539,6,306,206,246,136,106
540,5,305,205,245,135,105
541-545,6,306,206,246,136,106
546,5,305,205,245,135,105
547-549,6,306,206,246,136,106
550-555,5,305,205,245,135,105
556-558,6,306,206,246,136,106
559-576,5,305,205,245,135,105
577,4,304,204,244,134,104
580-599,5,305,205,245,135,105
600-611,6,306,206,246,136,106
612,5,305,205,245,135,105
613,6,306,206,246,136,106
614,5,305,205,245,135,105
615-619,6,306,206,246,136,106
620-623,5,305,205,245,135,105
624-629,6,306,206,246,136,106
630-636,5,305,205,245,135,105
637-638,6,306,206,246,136,106
639-668,5,305,205,245,135,105
669-672,4,304,204,244,134,104
673,5,305,205,245,135,105
674-679,4,304,204,244,134,104
680-687,5,305,205,245,135,105
688-693,4,304,204,244,134,104
700-705,6,306,206,246,136,106
706,5,305,205,245,135,105
707-709,6,306,206,246,136,106
710-729,5,305,205,245,135,105
730-732,4,304,204,244,134,104
733-734,5,305,205,245,135,105
735-739,4,304,204,244,134,104
740-745,5,305,205,245,135,105
746,4,304,204,244,134,104
747-762,5,305,205,245,135,105
763,4,304,204,244,134,104
764-768,5,305,205,245,135,105
769,4,304,204,244,134,104
770-789,5,305,205,245,135,105
790-799,4,304,204,244,134,104
800-806,3,303,203,243,133,103
807,4,304,204,244,134,104
808-810,3,303,203,243,133,103
811,2,302,202,-,-,102
812,3,303,203,243,133,103
813-814,2,302,202,242,132,102
815-816,3,303,203,243,133,103
820-834,4,304,204,244,134,104
835-838,5,305,205,245,135,105
840-844,4,304,204,244,134,104
845-847,3,303,203,243,133,103
850-851,4,304,204,244,134,104
852-853,3,303,203,243,133,103
854,4,304,204,-,-,104
855,3,303,203,243,133,103
856-858,4,304,204,244,134,104
