UPS Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed, Zone 2 , Zone 3 , Zone 4 , Zone 5 , Zone 6 , Zone 7 , Zone 8,Zone 44,Zone 45,Zone 46
43,$10.92 ,$13.00 ,$14.55 ,$17.16 ,$21.62 ,$26.03 ,$30.80 ,$80.32 ,$80.32 ,$90.10 
44,$11.06 ,$13.19 ,$14.78 ,$17.48 ,$21.97 ,$26.55 ,$31.41 ,$81.90 ,$81.90 ,$91.68 
45,$11.15 ,$13.39 ,$15.02 ,$17.81 ,$22.33 ,$27.08 ,$32.02 ,$83.47 ,$83.47 ,$93.25 
46,$11.25 ,$13.59 ,$15.22 ,$18.11 ,$22.65 ,$27.54 ,$32.58 ,$85.04 ,$85.04 ,$94.74 
47,$11.34 ,$13.76 ,$15.44 ,$18.41 ,$22.95 ,$28.01 ,$33.14 ,$86.62 ,$86.62 ,$97.10 
48,$11.44 ,$13.93 ,$15.65 ,$18.70 ,$23.26 ,$28.48 ,$33.66 ,$88.10 ,$88.10 ,$97.71 
49,$11.53 ,$14.09 ,$15.86 ,$18.99 ,$23.55 ,$28.92 ,$34.13 ,$89.59 ,$89.59 ,$99.29 
50,$11.62 ,$14.23 ,$16.05 ,$19.26 ,$23.84 ,$29.36 ,$34.57 ,$91.07 ,$91.07 ,$100.86 
51,$11.72 ,$14.35 ,$16.25 ,$19.52 ,$24.11 ,$29.78 ,$34.99 ,$92.57 ,$92.57 ,$102.43 
52,$11.82 ,$14.47 ,$16.44 ,$19.76 ,$24.38 ,$30.12 ,$35.41 ,$94.05 ,$94.05 ,$103.83 
53,$11.91 ,$14.60 ,$16.61 ,$20.01 ,$24.65 ,$30.44 ,$35.76 ,$95.45 ,$95.45 ,$105.32 
54,$12.01 ,$14.71 ,$16.80 ,$20.23 ,$24.93 ,$30.69 ,$36.08 ,$96.94 ,$96.94 ,$106.81 
55,$12.10 ,$14.83 ,$16.96 ,$20.47 ,$25.19 ,$30.90 ,$36.35 ,$98.42 ,$98.42 ,$108.29 
56,$12.19 ,$14.95 ,$17.13 ,$20.69 ,$25.47 ,$31.06 ,$36.59 ,$99.91 ,$99.91 ,$109.78 
57,$12.28 ,$15.08 ,$17.29 ,$20.91 ,$25.73 ,$31.23 ,$36.82 ,$101.49 ,$101.49 ,$111.27 
58,$12.39 ,$15.20 ,$17.44 ,$21.12 ,$25.99 ,$31.39 ,$37.07 ,$102.97 ,$102.97 ,$112.76 
59,$12.48 ,$15.31 ,$17.58 ,$21.31 ,$26.22 ,$31.57 ,$37.31 ,$104.54 ,$104.54 ,$114.33 
60,$12.58 ,$15.42 ,$17.73 ,$21.45 ,$26.44 ,$31.73 ,$37.55 ,$106.12 ,$106.12 ,$115.90 
61,$12.68 ,$15.53 ,$17.87 ,$21.59 ,$26.66 ,$31.90 ,$37.79 ,$107.87 ,$107.87 ,$117.65 
62,$12.77 ,$15.64 ,$18.00 ,$21.72 ,$26.84 ,$32.09 ,$38.03 ,$109.62 ,$109.62 ,$119.40 
