ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 613-01 to 613-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,5,305,205,245,135,105
006-007,-,-,225,-,-,125
8,-,-,[1],-,-,[1]
9,-,-,225,-,-,125
010-043,5,305,205,245,135,105
44,6,306,206,246,136,106
45,5,305,205,245,135,105
046-048,6,306,206,246,136,106
049-089,5,305,205,245,135,105
090-099,-,-,-,-,-,-
100-139,5,305,205,245,135,105
140-147,4,304,204,244,134,104
148-149,5,305,205,245,135,105
150-168,4,304,204,244,134,104
169-199,5,305,205,245,135,105
200-214,5,305,205,245,135,105
215,4,304,204,244,134,104
216-225,5,305,205,245,135,105
226,4,304,204,244,134,104
227,5,305,205,-,135,105
228-229,4,304,204,244,134,104
230-239,5,305,205,245,135,105
240-253,4,304,204,244,134,104
254,5,305,205,245,135,105
255-274,4,304,204,244,134,104
275-279,5,305,205,245,135,105
280-282,4,304,204,244,134,104
283-285,5,305,205,245,135,105
286-289,4,304,204,244,134,104
290-292,5,305,205,245,135,105
293,4,304,204,244,134,104
294-295,5,305,205,245,135,105
296-297,4,304,204,244,134,104
298-299,5,305,205,245,135,105
300-303,4,304,204,244,134,104
304,5,305,205,245,135,105
305-307,4,304,204,244,134,104
308-310,5,305,205,245,135,105
311,4,304,204,244,134,104
312-329,5,305,205,245,135,105
330-334,6,306,206,246,136,106
335-338,5,305,205,245,135,105
339,6,306,206,246,136,106
340,-,-,-,-,-,-
341,6,306,206,246,136,106
342-347,5,305,205,245,135,105
349,6,306,206,246,136,106
350-359,4,304,204,244,134,104
360-361,5,305,205,245,135,105
362,4,304,204,244,134,104
363-369,5,305,205,245,135,105
370-389,4,304,204,244,134,104
390-396,5,305,205,245,135,105
397,4,304,204,244,134,104
398,5,305,205,245,135,105
399,4,304,204,244,134,104
400-402,3,303,203,243,133,103
403-405,4,304,204,244,134,104
406,3,303,203,243,133,103
407-409,4,304,204,-,134,104
410,3,303,203,243,133,103
411-418,4,304,204,244,134,104
420,3,303,203,243,133,103
421-422,4,304,204,244,134,104
423-424,3,303,203,243,133,103
425-426,4,304,204,244,134,104
427,3,303,203,243,133,103
430-432,4,304,204,244,134,104
433-436,3,303,203,243,133,103
437-449,4,304,204,244,134,104
450-455,3,303,203,243,133,103
456-457,4,304,204,244,134,104
458-462,3,303,203,243,133,103
463-466,2,302,202,242,132,102
467-478,3,303,203,243,133,103
479,2,302,202,242,132,102
480-483,4,304,204,244,134,104
484-496,3,303,203,243,133,103
497,4,304,204,244,134,104
498-499,3,303,203,243,133,103
500-509,3,303,203,243,133,103
510-513,4,304,204,244,134,104
514,3,303,203,243,133,103
515,4,304,204,244,134,104
516,3,303,203,243,133,103
520,2,302,202,242,132,102
521,3,303,203,243,133,103
522-538,2,302,202,242,132,102
539-547,3,303,203,243,133,103
548,4,304,204,244,134,104
549-555,3,303,203,243,133,103
556-558,4,304,204,244,134,104
559,3,303,203,243,133,103
560-575,4,304,204,244,134,104
576-577,5,305,205,245,135,105
580-582,4,304,204,244,134,104
583,5,305,205,-,135,105
584,4,304,204,244,134,104
585-588,5,305,205,245,135,105
590-591,6,306,206,246,136,106
592-593,5,305,205,-,-,105
594-599,6,306,206,246,136,106
600-619,2,302,202,242,132,102
620-622,3,303,203,243,133,103
623-627,2,302,202,242,132,102
628-633,3,303,203,243,133,103
634,2,302,202,242,132,102
635-639,3,303,203,243,133,103
640-643,4,304,204,244,134,104
644-647,3,303,203,243,133,103
648-649,4,304,204,244,134,104
650-655,3,303,203,243,133,103
656-676,4,304,204,244,134,104
677-679,5,305,205,245,135,105
680-692,4,304,204,244,134,104
693,5,305,205,245,135,105
700-711,5,305,205,245,135,105
712,4,304,204,244,134,104
713-714,5,305,205,245,135,105
716-732,4,304,204,244,134,104
