ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 463-01 to 464-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,5,305,205,245,135,105
006-007,-,-,225,-,-,125
008,-,-,[1],-,-,[1]
009,-,-,225,-,-,125
010-089,5,305,205,245,135,105
090-099,-,-,-,-,-,-
100-129,5,305,205,245,135,105
130-132,4,304,204,244,134,104
133-135,5,305,205,245,135,105
136-179,4,304,204,244,134,104
180-181,5,305,205,245,135,105
182,4,304,204,244,134,104
183,5,305,205,245,135,105
184-188,4,304,204,244,134,104
189-194,5,305,205,245,135,105
195-196,4,304,204,244,134,104
197-199,5,305,205,245,135,105
200-217,4,304,204,244,134,104
218-219,5,305,205,245,135,105
220-232,4,304,204,244,134,104
233-237,5,305,205,245,135,105
238-277,4,304,204,244,134,104
278-279,5,305,205,245,135,105
280-282,4,304,204,244,134,104
283-285,5,305,205,245,135,105
286-289,4,304,204,244,134,104
290-292,5,305,205,245,135,105
293,4,304,204,244,134,104
294-295,5,305,205,245,135,105
296-297,4,304,204,244,134,104
298-299,5,305,205,245,135,105
300-303,4,304,204,244,134,104
304,5,305,205,245,135,105
305-307,4,304,204,244,134,104
308-310,5,305,205,245,135,105
311,4,304,204,244,134,104
312-329,5,305,205,245,135,105
330-334,6,306,206,246,136,106
335-338,5,305,205,245,135,105
339,6,306,206,246,136,106
340,-,-,-,-,-,-
341,6,306,206,246,136,106
342-347,5,305,205,245,135,105
349,6,306,206,246,136,106
350-359,4,304,204,244,134,104
360-361,5,305,205,245,135,105
362,4,304,204,244,134,104
363-369,5,305,205,245,135,105
370-386,4,304,204,244,134,104
387,5,305,205,245,135,105
388-389,4,304,204,244,134,104
390-396,5,305,205,245,135,105
397,4,304,204,244,134,104
398,5,305,205,245,135,105
399,4,304,204,244,134,104
400-406,3,303,203,243,133,103
407-409,4,304,204,-,134,104
410,3,303,203,243,133,103
411-422,4,304,204,244,134,104
423-424,3,303,203,243,133,103
425-426,4,304,204,244,134,104
427-438,3,303,203,243,133,103
439,4,304,204,244,134,104
440-443,3,303,203,243,133,103
444-447,4,304,204,244,134,104
448-459,3,303,203,243,133,103
460-469,2,302,202,242,132,102
470-472,3,303,203,243,133,103
473,2,302,202,242,132,102
474-478,3,303,203,243,133,103
479,2,302,202,242,132,102
480-487,3,303,203,243,133,103
488-495,2,302,202,242,132,102
496-499,3,303,203,243,133,103
500-505,4,304,204,244,134,104
506-507,3,303,203,243,133,103
508-516,4,304,204,244,134,104
520-528,3,303,203,243,133,103
530-537,2,302,202,242,132,102
538,3,303,203,243,133,103
539,2,302,202,242,132,102
540,4,304,204,244,134,104
541-547,3,303,203,243,133,103
548,4,304,204,244,134,104
549,3,303,203,243,133,103
550-558,4,304,204,244,134,104
559,3,303,203,243,133,103
560-566,4,304,204,244,134,104
567,5,305,205,245,135,105
570-574,4,304,204,244,134,104
575-577,5,305,205,245,135,105
580-581,4,304,204,244,134,104
582-588,5,305,205,245,135,105
590-591,6,306,206,246,136,106
592-593,5,305,205,-,-,105
594-599,6,306,206,246,136,106
600-611,2,302,202,242,132,102
612,3,303,203,243,133,103
613,2,302,202,242,132,102
614,3,303,203,243,133,103
615-619,2,302,202,242,132,102
620-635,3,303,203,243,133,103
636-675,4,304,204,244,134,104
676-679,5,305,205,245,135,105
680-689,4,304,204,244,134,104
690-693,5,305,205,245,135,105
700-714,5,305,205,245,135,105
716,4,304,204,244,134,104
717-718,5,305,205,245,135,105
719-729,4,304,204,244,134,104
730-739,5,305,205,245,135,105
740-744,4,304,204,244,134,104
745-748,5,305,205,245,135,105
749,4,304,204,-,134,104
750-778,5,305,205,245,135,105
779-785,6,306,206,246,136,106
786-787,5,305,205,245,135,105
788,6,306,206,246,136,106
789-796,5,305,205,245,135,105
797-799,6,306,206,246,136,106
