ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 598-01 to 598-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,8,308,208,248,138,108
006-007,-,-,225,-,-,125
008,-,-,[1],-,-,[1]
009,-,-,225,-,-,125
010-089,8,308,208,248,138,108
090-099,-,-,-,-,-,-
100-139,8,308,208,248,138,108
140-147,7,307,207,247,137,107
148-149,8,308,208,248,138,108
150-158,7,307,207,247,137,107
159,8,308,208,248,138,108
160-165,7,307,207,247,137,107
166,8,308,208,248,138,108
167,7,307,207,247,137,107
168-199,8,308,208,248,138,108
200-241,8,308,208,248,138,108
242,7,307,207,247,137,107
243-245,8,308,208,248,138,108
246-248,7,307,207,247,137,107
249,8,308,208,248,138,108
250-253,7,307,207,247,137,107
254,8,308,208,248,138,108
255-266,7,307,207,247,137,107
267-286,8,308,208,248,138,108
287-289,7,307,207,247,137,107
290-299,8,308,208,248,138,108
300-303,7,307,207,247,137,107
304,8,308,208,248,138,108
305,7,307,207,247,137,107
306,8,308,208,248,138,108
307,7,307,207,247,137,107
308-310,8,308,208,248,138,108
311,7,307,207,247,137,107
312-339,8,308,208,248,138,108
340,-,-,-,-,-,-
341-349,8,308,208,248,138,108
350-362,7,307,207,247,137,107
363,8,308,208,248,138,108
364-397,7,307,207,247,137,107
398,8,308,208,248,138,108
399,7,307,207,247,137,107
400-462,7,307,207,247,137,107
463-464,6,306,206,246,136,106
465-495,7,307,207,247,137,107
496-499,6,306,206,246,136,106
500-509,6,306,206,246,136,106
510-515,5,305,205,245,135,105
516-559,6,306,206,246,136,106
560-576,5,305,205,245,135,105
577,4,304,204,244,134,104
580-585,5,305,205,245,135,105
586,4,304,204,244,134,104
587,5,305,205,245,135,105
588,4,304,204,244,134,104
590-591,3,303,203,243,133,103
592-593,4,304,204,-,-,104
594,2,302,202,242,132,102
595,3,303,203,-,-,103
596-599,2,302,202,242,132,102
600-637,6,306,206,246,136,106
638,7,307,207,247,137,107
639-668,6,306,206,246,136,106
669,5,305,205,-,135,105
670-673,6,306,206,246,136,106
674,5,305,205,245,135,105
675,6,306,206,246,136,106
676-693,5,305,205,245,135,105
700-717,7,307,207,247,137,107
718-722,6,306,206,246,136,106
723-724,7,307,207,247,137,107
725-732,6,306,206,246,136,106
733,7,307,207,-,-,107
734-738,6,306,206,246,136,106
739,5,305,205,-,-,105
740-755,6,306,206,246,136,106
756,7,307,207,247,137,107
757,6,306,206,246,136,106
758-759,7,307,207,247,137,107
760-769,6,306,206,246,136,106
770-789,7,307,207,247,137,107
790-799,6,306,206,246,136,106
800-814,5,305,205,245,135,105
815-820,4,304,204,244,134,104
821,3,303,203,-,-,103
822-831,4,304,204,244,134,104
832-834,3,303,203,243,133,103
835,2,302,202,-,132,102
836-837,3,303,203,243,133,103
838,2,302,202,-,132,102
840-847,4,304,204,244,134,104
850-879,5,305,205,245,135,105
880-882,6,306,206,246,136,106
883-884,5,305,205,-,-,105
885,6,306,206,-,-,106
889-892,5,305,205,245,135,105
893-898,4,304,204,244,134,104
900-959,5,305,205,245,135,105
960-961,4,304,204,244,134,104
962-966,-,-,-,-,-,-
967-968,-,-,[2],-,-,[2]
