ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 030-01 to 031-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,3,303,203,243,133,103
006-007,-,-,225,-,-,125
8,-,-,[1],-,-,[1]
9,-,-,225,-,-,125
010-043,2,302,202,242,132,102
44,3,303,203,243,133,103
45,2,302,202,242,132,102
046-047,3,303,203,-,133,103
048-069,2,302,202,242,132,102
070-089,3,303,203,243,133,103
090-099,-,-,-,-,-,-
100-105,3,303,203,243,133,103
106,2,302,202,242,132,102
107-118,3,303,203,243,133,103
119-126,2,302,202,242,132,102
127,3,303,203,243,133,103
128-129,2,302,202,242,132,102
130-139,3,303,203,243,133,103
140-147,4,304,204,244,134,104
148-149,3,303,203,243,133,103
150-168,4,304,204,244,134,104
169,3,303,203,243,133,103
170-174,4,304,204,244,134,104
175-176,3,303,203,243,133,103
177,4,304,204,244,134,104
178-198,3,303,203,243,133,103
199,4,304,204,244,134,104
200-218,4,304,204,244,134,104
219,3,303,203,-,133,103
220-241,4,304,204,244,134,104
242-243,5,305,205,245,135,105
244-245,4,304,204,244,134,104
246-248,5,305,205,245,135,105
249,4,304,204,244,134,104
250-253,5,305,205,245,135,105
254,4,304,204,244,134,104
255-259,5,305,205,245,135,105
260-268,4,304,204,244,134,104
270-277,5,305,205,245,135,105
278-279,4,304,204,244,134,104
280-299,5,305,205,245,135,105
300-315,5,305,205,245,135,105
316-339,6,306,206,246,136,106
340,-,-,-,-,-,-
341-355,6,306,206,246,136,106
356-359,5,305,205,245,135,105
360-361,6,306,206,246,136,106
362,5,305,205,245,135,105
363-369,6,306,206,246,136,106
370-374,5,305,205,245,135,105
375,6,306,206,-,-,106
376-379,5,305,205,245,135,105
380-383,6,306,206,246,136,106
384-385,5,305,205,245,135,105
386-398,6,306,206,246,136,106
399,5,305,205,245,135,105
400-436,5,305,205,245,135,105
437-449,4,304,204,244,134,104
450-479,5,305,205,245,135,105
480-483,4,304,204,244,134,104
484-499,5,305,205,245,135,105
500-516,6,306,206,246,136,106
520,5,305,205,245,135,105
521-526,6,306,206,246,136,106
527-539,5,305,205,245,135,105
540,6,306,206,246,136,106
541-547,5,305,205,245,135,105
548,6,306,206,246,136,106
549,5,305,205,245,135,105
550-574,6,306,206,246,136,106
575-577,7,307,207,247,137,107
580-584,6,306,206,246,136,106
585-588,7,307,207,247,137,107
590-591,8,308,208,248,138,108
592-593,7,307,207,-,-,107
594-599,8,308,208,248,138,108
600-619,5,305,205,245,135,105
620-623,6,306,206,246,136,106
624-629,5,305,205,245,135,105
630-674,6,306,206,246,136,106
675-679,7,307,207,247,137,107
680-689,6,306,206,246,136,106
690-693,7,307,207,247,137,107
700-704,6,306,206,246,136,106
705-706,7,307,207,247,137,107
707-729,6,306,206,246,136,106
730-739,7,307,207,247,137,107
740-744,6,306,206,246,136,106
745-748,7,307,207,247,137,107
749,6,306,206,-,136,106
750-754,7,307,207,247,137,107
755,6,306,206,246,136,106
756-784,7,307,207,247,137,107
785,8,308,208,248,138,108
786-787,7,307,207,247,137,107
788,8,308,208,248,138,108
789-796,7,307,207,247,137,107
797-799,8,308,208,248,138,108
800-810,7,307,207,247,137,107
811-816,8,308,208,248,138,108
820,7,307,207,247,137,107
821,8,308,208,-,-,108
822,7,307,207,-,137,107
823-825,8,308,208,248,138,108
826-828,7,307,207,247,137,107
829-880,8,308,208,248,138,108
881,7,307,207,-,137,107
882-883,8,308,208,-,138,108
884,7,307,207,-,-,107
885-898,8,308,208,248,138,108
900-961,8,308,208,248,138,108
962-966,-,-,-,-,-,-
967-968,-,-,[2],-,-,[2]
969,-,-,[1],-,-,[1]
970-994,8,308,208,248,138,108
995-999,-,-,[3],-,-,[3]



