ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 785-01 to 785-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,7,307,207,247,137,107
006-007,-,-,225,-,-,125
008,-,-,[1],-,-,[1]
009,-,-,225,-,-,125
010-012,7,307,207,247,137,107
013-051,8,308,208,248,138,108
052,7,307,207,-,137,107
053-059,8,308,208,248,138,108
060-089,7,307,207,247,137,107
090-099,-,-,-,-,-,-
100-128,7,307,207,247,137,107
129,8,308,208,248,138,108
130-149,7,307,207,247,137,107
150-154,6,306,206,246,136,106
155-199,7,307,207,247,137,107
200-227,7,307,207,247,137,107
228-229,6,306,206,246,136,106
230-238,7,307,207,247,137,107
239-253,6,306,206,246,136,106
254,7,307,207,247,137,107
255-266,6,306,206,246,136,106
267,7,307,207,247,137,107
268-278,6,306,206,246,136,106
279,7,307,207,247,137,107
280-299,6,306,206,246,136,106
300-303,5,305,205,245,135,105
304-306,6,306,206,246,136,106
307,5,305,205,245,135,105
308-309,6,306,206,246,136,106
310-312,5,305,205,245,135,105
313-315,6,306,206,246,136,106
316-319,5,305,205,245,135,105
320-322,6,306,206,246,136,106
323-326,5,305,205,245,135,105
327-334,6,306,206,246,136,106
335-337,5,305,205,245,135,105
338-339,6,306,206,246,136,106
340,-,-,-,-,-,-
341,6,306,206,246,136,106
342-346,5,305,205,245,135,105
347-349,6,306,206,246,136,106
350-375,5,305,205,245,135,105
376-379,6,306,206,246,136,106
380-394,5,305,205,245,135,105
395-396,4,304,204,244,134,104
397-399,5,305,205,245,135,105
400-418,6,306,206,246,136,106
420-424,5,305,205,245,135,105
425-443,6,306,206,246,136,106
444-445,7,307,207,247,137,107
446-475,6,306,206,246,136,106
476-477,5,305,205,245,135,105
478-483,6,306,206,246,136,106
484-487,7,307,207,247,137,107
488-495,6,306,206,246,136,106
496-499,7,307,207,247,137,107
500-515,6,306,206,246,136,106
516,5,305,205,245,135,105
520-544,6,306,206,246,136,106
545,7,307,207,-,137,107
546-555,6,306,206,246,136,106
556-558,7,307,207,247,137,107
559-564,6,306,206,246,136,106
565-567,7,307,207,247,137,107
570-581,6,306,206,246,136,106
582-583,7,307,207,247,137,107
584,6,306,206,246,136,106
585-599,7,307,207,247,137,107
600-619,6,306,206,246,136,106
620-623,5,305,205,245,135,105
624-627,6,306,206,246,136,106
628-679,5,305,205,245,135,105
680-682,6,306,206,246,136,106
683-685,5,305,205,245,135,105
686-687,6,306,206,246,136,106
688-690,5,305,205,245,135,105
691-693,6,306,206,246,136,106
700-714,4,304,204,244,134,104
716,5,305,205,245,135,105
717-718,4,304,204,244,134,104
719-732,5,305,205,245,135,105
733,3,303,203,-,-,103
734-735,4,304,204,244,134,104
736-744,5,305,205,245,135,105
745,4,304,204,-,134,104
746,5,305,205,245,135,105
747,4,304,204,-,134,104
748-749,5,305,205,245,135,105
750-769,4,304,204,244,134,104
770-772,3,303,203,243,133,103
773,4,304,204,244,134,104
774-775,3,303,203,243,133,103
776-778,4,304,204,244,134,104
779-782,3,303,203,243,133,103
783-785,2,302,202,242,132,102
786-789,3,303,203,243,133,103
790-791,5,305,205,245,135,105
792-799,4,304,204,244,134,104
800-802,5,305,205,245,135,105
803,6,306,206,246,136,106
804,5,305,205,245,135,105
805,6,306,206,246,136,106
806-814,5,305,205,245,135,105
815-832,6,306,206,246,136,106
833,7,307,207,247,137,107
834,6,306,206,246,136,106
835-838,7,307,207,247,137,107
840-847,6,306,206,246,136,106
850-853,5,305,205,245,135,105
854,6,306,206,-,-,106
855-863,5,305,205,245,135,105
864,6,306,206,246,136,106
865-881,5,305,205,245,135,105
882,4,304,204,-,134,104
883-884,5,305,205,-,-,105
885,4,304,204,-,-,104
889-893,6,306,206,246,136,106
894-897,7,307,207,247,137,107
898,6,306,206,-,-,106
900-933,6,306,206,246,136,106
934,7,307,207,247,137,107
935,6,306,206,246,136,106
936-961,7,307,207,247,137,107
962-966,-,-,-,-,-,-
967-968,-,-,[2],-,-,[2]
969,-,-,[1],-,-,[1]
970-974,8,308,208,248,138,108
975-979,7,307,207,247,137,107
980-989,8,308,208,248,138,108
990-994,7,307,207,247,137,107
995-999,-,-,[3],-,-,[3]



"[1] For Virgin Islands, Guam, Marshall Islands, etc., please refer to the Worldwide Rate and Zone information.",,,,,,

"[2] For Hawaii, the following Postal Codes are Zone 124 for Next Day Air and Zone 224 for 2nd Day Air:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96701,96706,96707,96709,96712,96717,96730,96731,96734,96744,96759,96762,96782,96786,96789,96791,96792,96795,96797,96801,96802,96803,96804,96805,96806,96807,96808,96809,96810,96811,96812,96813,96814,96815,96816,96817,96818,96819,96820,96821,96822,96823,96824,96825,96826,96827,96828,96830,96835,96836,96837,96838,96839,96840,96841,96842,96843,96844,96845,96846,96847,96848,96849,96850,96853,96854,96857,96858,96859,96860,96861,96862,96863,96898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Hawaii, the following Postal Codes are Zone 126 for Next Day Air and Zone 226 for 2nd Day Air:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96703,96704,96705,96708,96710,96713,96714,96715,96716,96718,96719,96720,96721,96722,96725,96726,96727,96728,96729,96732,96733,96737,96738,96739,96740,96741,96742,96743,96745,96746,96747,96748,96749,96750,96751,96752,96753,96754,96755,96756,96757,96760,96761,96763,96764,96765,96766,96767,96768,96769,96770,96771,96772,96773,96774,96775,96776,96777,96778,96779,96780,96781,96783,96784,96785,96788,96790,96793,96796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"[3] For Alaska, the following Postal Codes are Zone 124 for Next Day Air and Zone 224 for 2nd Day Air:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99501,99502,99503,99504,99505,99506,99507,99508,99509,99510,99511,99512,99513,99514,99515,99516,99517,99518,99519,99520,99521,99522,99523,99524,99540,99556,99567,99568,99572,99577,99587,99603,99605,99610,99611,99631,99635,99639,99645,99654,99664,99669,99672,99687,99701,99702,99703,99705,99706,99707,99708,99709,99710,99711,99712,99775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
