ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 572-01 to 572-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,6,306,206,246,136,106
006-007,-,-,225,-,-,125
8,-,-,[1],-,-,[1]
9,-,-,225,-,-,125
010-045,6,306,206,246,136,106
046-047,7,307,207,-,137,107
048-089,6,306,206,246,136,106
090-099,-,-,-,-,-,-
100-139,6,306,206,246,136,106
140-147,5,305,205,245,135,105
148-149,6,306,206,246,136,106
150-167,5,305,205,245,135,105
168-199,6,306,206,246,136,106
200-214,6,306,206,246,136,106
215,5,305,205,245,135,105
216-241,6,306,206,246,136,106
242-243,5,305,205,245,135,105
244-245,6,306,206,246,136,106
246-253,5,305,205,245,135,105
254,6,306,206,246,136,106
255-268,5,305,205,245,135,105
270-286,6,306,206,246,136,106
287-289,5,305,205,245,135,105
290-299,6,306,206,246,136,106
300-304,6,306,206,246,136,106
305,5,305,205,245,135,105
306,6,306,206,246,136,106
307,5,305,205,245,135,105
308-328,6,306,206,246,136,106
329-336,7,307,207,247,137,107
337-338,6,306,206,246,136,106
339,7,307,207,247,137,107
340,-,-,-,-,-,-
341-342,7,307,207,247,137,107
344,6,306,206,246,136,106
346,7,307,207,247,137,107
347,6,306,206,246,136,106
349,7,307,207,247,137,107
350-359,5,305,205,245,135,105
360-361,6,306,206,246,136,106
362,5,305,205,245,135,105
363-366,6,306,206,246,136,106
367,5,305,205,245,135,105
368,6,306,206,246,136,106
369-393,5,305,205,245,135,105
394-395,6,306,206,246,136,106
396-397,5,305,205,245,135,105
398-399,6,306,206,246,136,106
400-462,5,305,205,245,135,105
463-466,4,304,204,244,134,104
467-478,5,305,205,245,135,105
479,4,304,204,244,134,104
480-489,5,305,205,245,135,105
490-491,4,304,204,244,134,104
492,5,305,205,245,135,105
493-499,4,304,204,244,134,104
500-511,3,303,203,243,133,103
512-513,2,302,202,242,132,102
514-516,3,303,203,243,133,103
520,4,304,204,244,134,104
521,3,303,203,243,133,103
