ZONE CHART,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,

For shipments originating in ZIP Codes 667-01 to 667-99.  To determine zone,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,

ZONES,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,6,306,206,246,136,106
006-007,-,-,225,-,-,125
008,-,-,[1],-,-,[1]
009,-,-,225,-,-,125
010-043,6,306,206,246,136,106
044,7,307,207,247,137,107
045,6,306,206,246,136,106
046-047,7,307,207,-,137,107
048-089,6,306,206,246,136,106
090-099,-,-,-,-,-,-
100-139,6,306,206,246,136,106
140-179,5,305,205,245,135,105
180-199,6,306,206,246,136,106
200-217,5,305,205,245,135,105
218-219,6,306,206,246,136,106
220-232,5,305,205,245,135,105
233-237,6,306,206,246,136,106
238-278,5,305,205,245,135,105
279,6,306,206,246,136,106
280-299,5,305,205,245,135,105
300-306,5,305,205,245,135,105
307,4,304,204,244,134,104
308-328,5,305,205,245,135,105
329-334,6,306,206,246,136,106
335-338,5,305,205,245,135,105
339,6,306,206,246,136,106
340,-,-,-,-,-,-
341,6,306,206,246,136,106
342-347,5,305,205,245,135,105
349,6,306,206,246,136,106
350-362,4,304,204,244,134,104
363-364,5,305,205,245,135,105
365-367,4,304,204,244,134,104
368,5,305,205,245,135,105
369-374,4,304,204,244,134,104
375,3,303,203,-,-,103
376-379,5,305,205,245,135,105
380-381,3,303,203,243,133,103
382-385,4,304,204,244,134,104
386,3,303,203,243,133,103
387-397,4,304,204,244,134,104
398-399,5,305,205,245,135,105
400-410,4,304,204,244,134,104
411-412,5,305,205,245,135,105
413-414,4,304,204,-,134,104
415-418,5,305,205,245,135,105
420-427,4,304,204,244,134,104
430-449,5,305,205,245,135,105
450-455,4,304,204,244,134,104
456-457,5,305,205,245,135,105
458-479,4,304,204,244,134,104
480-489,5,305,205,245,135,105
490-491,4,304,204,244,134,104
492,5,305,205,245,135,105
493-495,4,304,204,244,134,104
496-499,5,305,205,245,135,105
500-503,3,303,203,243,133,103
504-507,4,304,204,244,134,104
508-509,3,303,203,243,133,103
510-513,4,304,204,244,134,104
