UPS Hundredweight Service®,,,,,,,
Daily Rates for Multiple-Package Domestic Shipments,,,,,,,
"EFFECTIVE JANUARY 6, 2003",,,,,,,
Rates do not include a fuel surcharge.,,,,,,,

UPS 2nd Day Air®,,,,,,,
Hundredweight Shipment Rates per Pound,,,,,,,
Weight Not To Exceed,Zone 202,Zone 203,Zone 204,Zone 205,Zone 206,Zone 207,Zone 208
100 to 499 Lbs.,0.81,0.93,1.26,1.68,1.99,2.22,2.39
500 to 999 Lbs.,0.75,0.88,1.2,1.56,1.89,2.11,2.29
1000+  Lbs.,0.76,0.9,1.22,1.59,1.92,2.15,2.33

Note: The minimum charge for a 2nd Day hundredweight shipment will be based on an ,,,,,,,
average weight of 10 pounds per package.  Minimum shipment of 100 pounds.,,,,,,,

Note:  UPS 2nd Day Air hundredweight rates are for both Commercial and Residential shipments.,,,,,,,
